gameId,periodsMax,periodLengthREGULAR,periodLengthOVERTIME,inOT,attendance,team1Id,team1Code,team1Name,team1Score,team2Id,team2Code,team2Name,team2Score
2791769,4,10,5,0,0,,NEW,Newcastle Eagles,100,,CHE,Cheshire Phoenix,89
2791770,4,10,5,0,0,,CHE,Cheshire Phoenix,112,,NEW,Newcastle Eagles,105
2792597,4,10,5,0,0,,BRI,Bristol Flyers,76,,LON,London Lions,77
2792598,4,10,5,0,2517,,LON,London Lions,77,,BRI,Bristol Flyers,58
2792599,4,10,5,0,0,,SHE,B. Braun Sheffield Sharks,88,,SUR,Surrey 89ers,94
2798637,4,10,5,0,0,,LON,London Lions,74,,NEW,Newcastle Eagles,68
2801738,4,10,5,0,0,,MAN,Manchester Basketball,105,,NEW,Newcastle Eagles,79
2811017,4,10,5,0,0,,LON,London Lions,87,,SUR,Surrey 89ers,72
2811018,4,10,5,0,0,,LON,London Lions,81,,CAL,Caledonia Gladiators,68
2816370,4,10,5,0,6000,,LON,London Lions,83,,MAN,Manchester Basketball,74
2829677,4,10,5,0,0,,LEI,Leicester Riders,87,,SHE,B. Braun Sheffield Sharks,85
2829681,4,10,5,1,0,,SUR,Surrey 89ers,117,,CAL,Caledonia Gladiators,120
