gameId,tno,teamName,period,periodType,pno,player,shirtNumber,actionType,subType,result,made,x,y,actionNumber
2702542,1,Bristol Flyers,1,REGULAR,10,J. Anderson,22,2pt,layup,0,0,9.8299999237061,44.630001068115,8
2702542,1,Bristol Flyers,1,REGULAR,2,O. McCormack,13,3pt,jumpshot,0,0,26.520000457764,18.639999389648,12
2702542,1,Bristol Flyers,1,REGULAR,10,J. Anderson,22,3pt,jumpshot,1,1,34.009998321533,52.819999694824,18
2702542,1,Bristol Flyers,1,REGULAR,7,Z. Anderson,4,3pt,jumpshot,1,1,34.169998168945,36.159999847412,26
2702542,1,Bristol Flyers,1,REGULAR,2,O. McCormack,13,3pt,jumpshot,1,1,28.549999237061,78.809997558594,40
2702542,1,Bristol Flyers,1,REGULAR,4,C. Holden,7,3pt,jumpshot,0,0,32.139999389648,31.360000610352,45
2702542,1,Bristol Flyers,1,REGULAR,10,J. Anderson,22,3pt,jumpshot,1,1,33.229999542236,49.439998626709,98
2702542,1,Bristol Flyers,1,REGULAR,7,Z. Anderson,4,3pt,jumpshot,1,1,18.409999847412,94.919998168945,112
2702542,1,Bristol Flyers,1,REGULAR,6,W. Yoakum,3,3pt,jumpshot,1,1,21.219999313354,91.809997558594,120
2702542,1,Bristol Flyers,1,REGULAR,11,M. Dugalic,25,2pt,jumpshot,0,0,7.960000038147,48.310001373291,138
2702542,1,Bristol Flyers,1,REGULAR,8,J. Brown,9,3pt,jumpshot,0,0,31.049999237061,32.490001678467,146
2702542,1,Bristol Flyers,1,REGULAR,2,O. McCormack,13,3pt,jumpshot,1,1,19.659999847412,6.210000038147,156
2702542,1,Bristol Flyers,1,REGULAR,3,P. Landolfi,40,3pt,jumpshot,0,0,27.299999237061,16.670000076294,162
2702542,1,Bristol Flyers,1,REGULAR,11,M. Dugalic,25,2pt,layup,0,0,8.1099996566772,54.240001678467,164
2702542,1,Bristol Flyers,1,REGULAR,11,M. Dugalic,25,3pt,jumpshot,0,0,16.069999694824,4.5199999809265,186
2702542,1,Bristol Flyers,1,REGULAR,3,P. Landolfi,40,3pt,jumpshot,0,0,11.539999961853,97.459999084473,190
2702542,1,Bristol Flyers,1,REGULAR,12,D. Brodie,51,3pt,jumpshot,1,1,30.579999923706,75.709999084473,194
2702542,1,Bristol Flyers,2,REGULAR,11,M. Dugalic,25,2pt,layup,1,1,8.5799999237061,51.409999847412,222
2702542,1,Bristol Flyers,2,REGULAR,5,M. Delpeche,21,2pt,layup,1,1,10.140000343323,58.470001220703,226
2702542,1,Bristol Flyers,2,REGULAR,10,J. Anderson,22,3pt,jumpshot,0,0,31.829999923706,30.510000228882,240
