country,league,season,scraped_at,Player,player_url,player_name,Nationality,height,position,age,GP,EFF,MPG,PPG,RPG,ORB,DRB,APG,BPG,SPG,PF,FTA,FTM,FT_pct,2PA,2PM,2P_pct,3PA,3PM,3P_pct,TO,team,team_abbrev,team_url
Germany,ProA,2025-2026,2026-05-07T15:44:39.184828,Perry De'Vondre 201-F-27,https://basketball.eurobasket.com/player/Perry-De-Vondre/431004,De'Vondre Perry,USA,201,F,27,16,10.1,30.1,12.4,5.3,1.1,4.3,1.3,0.3,1.4,2.4,2.0,1.6,80.0,6.9,3.4,49.3,3.6,1.4,38.9,2.0,Wolmirstedt,WOLM,https://basketball.eurobasket.com/team/SBB-Baskets-Wolmirstedt/3362
Germany,ProA,2025-2026,2026-05-07T15:44:39.434458,Petrone Nate 188-G-25,https://basketball.eurobasket.com/player/Petrone-Nate/531337,Nate Petrone,CAN,188,G,25,27,5.6,16.3,7.4,1.7,0.3,1.4,1.4,0.0,0.3,1.3,1.4,1.3,92.9,1.8,1.0,55.6,3.6,1.4,38.9,0.8,Artland,ARTL,https://basketball.eurobasket.com/team/Artland-Dragons/1778
Germany,ProA,2025-2026,2026-05-07T15:44:39.687211,Pickett Aitor 203-F/C-27,https://basketball.eurobasket.com/player/Pickett-Aitor/371907,Aitor Pickett,,203,F/C,27,6,5.3,21.5,4.5,5.0,2.2,2.8,0.8,0.2,0.5,3.0,0.7,0.5,71.4,2.8,2.0,71.4,1.2,0.0,0.0,0.5,Bochum,BOCH,https://basketball.eurobasket.com/team/VfL-SparkassenStars-Bochum/1639
Germany,ProA,2025-2026,2026-05-07T15:45:10.141094,Pisic Pavle 194-G-21,https://basketball.eurobasket.com/player/Pisic-Pavle/685617,Pavle Pisic,SRB,194,G,21,13,-0.5,8.8,2.1,0.5,0.2,0.4,0.5,0.1,0.3,1.8,0.5,0.4,80.0,1.1,0.4,36.4,1.4,0.3,21.4,0.2,Karlsruhe PS,KARL,https://basketball.eurobasket.com/team/PS-Karlsruhe-Lions/18525
Germany,ProA,2025-2026,2026-05-07T15:45:10.387498,Plescher Moritz 195-SG-25,https://basketball.eurobasket.com/player/Plescher-Moritz/418282,Moritz Plescher,GER,195,SG,25,16,9.4,31.6,12.6,3.6,0.6,3.1,3.4,0.2,1.3,2.5,2.2,1.9,86.4,2.5,1.3,52.0,7.8,2.8,35.9,2.6,Bayreuth,BAYR,https://basketball.eurobasket.com/team/BBC-Bayreuth/134
Germany,ProA,2025-2026,2026-05-07T15:45:10.635972,Pluskota Maurice 209-C-34,https://basketball.eurobasket.com/player/Pluskota-Maurice/198464,Maurice Pluskota,GER,209,C,34,24,11.6,28.2,13.1,7.3,2.8,4.5,2.0,0.8,0.4,2.8,5.7,4.0,70.2,6.8,3.2,47.1,2.7,0.9,33.3,2.2,Karlsruhe PS,KARL,https://basketball.eurobasket.com/team/PS-Karlsruhe-Lions/18525
Germany,ProA,2025-2026,2026-05-07T15:45:10.891335,Pook Finn 193-G-22,https://basketball.eurobasket.com/player/Pook-Finn/537073,Finn Pook,GER,193,G,22,2,2.5,5.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,100.0,2.5,1.0,40.0,0.0,Phoenix Hagen,PHOE,https://basketball.eurobasket.com/team/Phoenix-Hagen/2480
Germany,ProA,2025-2026,2026-05-07T15:45:11.168456,Pope Tylan 198-F-25,https://basketball.eurobasket.com/player/Pope-Tylan/503183,Tylan Pope,USA,198,F,25,26,13.8,26.2,15.3,5.6,1.8,3.7,1.1,0.7,1.2,2.5,2.4,1.8,75.0,8.5,4.9,57.6,3.0,1.2,40.0,1.6,Kirchheim,KIRC,https://basketball.eurobasket.com/team/Bozic-Estriche-Knights-Kirchheim/4190
Germany,ProA,2025-2026,2026-05-07T15:45:11.527066,Pruitt Nigel 201-F-31,https://basketball.eurobasket.com/player/Pruitt-Nigel/265975,Nigel Pruitt,,201,F,31,12,8.1,21.0,10.7,2.5,0.4,2.1,0.8,0.1,0.7,2.1,1.5,1.3,86.7,1.1,0.6,54.5,5.8,2.8,48.3,0.8,Wolmirstedt,WOLM,https://basketball.eurobasket.com/team/SBB-Baskets-Wolmirstedt/3362
Germany,ProA,2025-2026,2026-05-07T15:45:11.776606,Rahming Cantia 201-F-24,https://basketball.eurobasket.com/player/Rahming-Cantia/610375,Cantia Rahming,,201,F,24,26,7.3,17.5,6.2,6.5,1.9,4.7,0.5,0.0,0.5,2.6,1.7,1.1,64.7,3.4,1.8,52.9,1.4,0.5,35.7,0.8,Bayreuth,BAYR,https://basketball.eurobasket.com/team/BBC-Bayreuth/134
Germany,ProA,2025-2026,2026-05-07T15:45:12.036546,Ramstedt Adam 210-C-31,https://basketball.eurobasket.com/player/Ramstedt-Adam/259329,Adam Ramstedt,SWE,210,C,31,26,8.2,16.3,7.1,4.2,1.4,2.8,1.2,0.5,0.3,2.0,1.4,0.7,50.0,3.6,2.8,77.8,0.7,0.2,28.6,1.1,Goettingen,GOET,https://basketball.eurobasket.com/team/BG-Goettingen/214
