Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
BG Göttingen,10,Hendrik Helge Drescher,,37,22.3,824.4,341,9.2,124,273,45.4,46,143,32.2,47,60,78.3,40,141,181,61,27,11,59,88,53.8,56.9,19.8,95.1,12.0,5.0,6.1,20.3,13.4,11.8,1.7,1.4,16.5,0.22,4.5,1.95,2.55,116,75,64.7,14,3,21.4,0,0,0,17,27,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
FC Bayern München Basketball,4,Xavier Rathan-Mayes,,2,2.4,4.8,4,2.0,1,2,50.0,0,1,0.0,2,2,100.0,0,1,1,1,0,0,0,1,50.0,69.4,26.9,138.9,2.5,0.6,0.0,22.8,12.2,41.5,0.0,0.0,0.0,1.0,4.47,2.55,1.92,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBC Bayreuth,23,KeVaughn Allen,,34,25.4,865.0,413,12.1,146,344,42.4,63,188,33.5,58,66,87.9,10,71,81,97,33,4,48,67,51.6,55.4,22.0,98.1,15.4,7.0,1.4,9.9,5.7,19.7,2.0,0.5,11.4,0.19,4.43,1.96,2.47,71,42,59.2,85,41,48.2,0,0,0,20,22,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
SBB Baskets,2,Travis Henson,,13,21.4,278.7,166,12.8,55,124,44.4,21,61,34.4,35,41,85.4,8,25,33,9,9,7,8,21,52.8,58.4,24.9,110.6,16.5,6.1,3.4,10.0,6.8,6.9,1.7,2.6,5.3,0.33,4.41,2.36,2.06,32,21,65.6,31,13,41.9,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMA365 Bamberg Baskets,33,Patrick Heckmann,,3,14.2,42.7,14,4.7,4,8,50.0,1,5,20.0,5,6,83.3,1,9,10,4,2,0,2,5,56.2,65.8,14.0,110.8,6.0,2.1,3.3,25.1,15.0,13.1,2.4,0.0,15.8,0.75,4.41,1.31,3.1,2,2,100,1,1,100,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoenix Hagen,77,Anzac Joseph Dennis Rissetto,,27,16.1,435.4,162,6.0,59,102,57.8,8,18,44.4,36,67,53.7,30,58,88,23,7,6,26,57,61.8,61.6,15.8,102.9,7.5,0.8,8.4,14.6,11.7,7.7,0.8,1.5,16.5,0.66,4.37,2.0,2.36,78,47,60.3,6,4,66.7,0,0,0,7,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FC Bayern München Basketball,7,Johannes Voigtmann,,1,5.1,5.1,0,0.0,0,0,0,0,0,0,0,2,0.0,0,2,2,0,1,0,0,0,0,0.0,7.6,0.0,0.0,0.0,0.0,41.0,21.3,0.0,10.2,0.0,0.0,0,4.36,1.68,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bozic Estriche Knights Kirchheim,1,Phillip Montreal Russell,,9,24.4,219.7,94,10.4,31,80,38.8,14,43,32.6,18,24,75.0,4,13,17,32,8,0,18,17,47.5,51.9,22.4,86.6,13.7,6.3,2.1,6.4,4.4,23.8,1.9,0.0,16.6,0.3,4.35,1.57,2.78,20,9,45,17,8,47.1,0,0,0,10,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BG Göttingen,1,Adam Ramstedt,,35,14.9,522.0,220,6.3,93,134,69.4,8,27,29.6,26,50,52.0,44,90,134,38,9,16,33,71,72.4,70.5,16.5,116.4,8.2,1.0,10.4,20.8,15.7,12.2,0.9,3.3,17.5,0.37,4.33,1.96,2.37,99,83,83.8,8,2,25,0,0,0,8,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Nürnberg Falcons BC,30,Vincent Friederici,,33,26.2,864.5,441,13.4,143,341,41.9,68,182,37.4,87,101,86.1,27,33,60,68,36,5,47,80,51.9,57.2,23.4,102.0,17.5,7.2,4.1,4.6,4.4,13.5,2.2,0.6,10.9,0.3,4.32,2.58,1.74,117,55,47,42,20,47.6,0,0,0,21,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
