Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
Copleston High School EABL,"E. Tamakloe, I. Little, J. Mussington, M. Liddamore, T. Rafiu",1,87,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,3,4,114.4,105.9,122.9,22.7,19.5,0,0,0,0,50,100,0,0,0,7,2,3,66.7,0,1,0,3,6,50,1,0,1,0,1,0,0,0,4,66.7,62.1,0,50,33.3,157.1,0,0,0,0,0,0,0,0,0,1,1,0,1,-157.1,0,0,0,2,2,100,1,0,0,0,0,0,0,0,0,0,5,2,6
Itchen College EABL,"B. Cope, G. Andrews, J. Osei-Owusu, M. Edwards, T. Blower",1,134,0.0,4,2,5,40,0,2,0,0,0,0,2,0,2,1,1,0,1,0,4,77.4,68.8,86,34.9,27.9,40,40,50,66.7,0,14.3,0,40,104.2,7,3,3,100,1,1,100,0,0,0,0,1,1,0,1,0,2,0,5,116.7,116.7,40,0,33.3,145.8,0,0,0,3,2,66.7,2,0,0,1,0,0,0,-41.7,0,0,0,2,2,100,1,1,100,1,1,0,0,2,2,4,0,3,3
Myerscough College EABL,"A. Ibirinde, C. Sanchez Falette, J. Bobkowski, O. Esingle, S. Latidan",2,154,0.0,7,1,2,50,0,0,0,5,8,62.5,1,1,2,1,1,1,0,0,4,78.7,67.6,89.8,35.5,26.7,50,63.4,100,50,50,0,400,0,161.3,2,1,3,33.3,0,0,0,0,0,0,1,1,2,1,0,0,4,4,6,33.3,33.3,57.1,50,0,34.7,0,0,0,2,1,50,0,0,0,0,0,0,0,126.6,0,0,0,3,1,33.3,0,0,0,1,1,0,1,4,1,4,0,0,0
Manchester Magic Academy EABL,"A. Sagay Isiorho, H. Blake, J. Odongo, J. Walton, T. Kamal Kazmi",1,115,0.0,0,0,4,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,4,80.1,80.1,80.1,29.9,29.9,0,0,0,33.3,50,20,0,0,0,0,0,2,0,0,2,0,0,0,0,1,2,3,0,1,0,3,1,4,0,0,60,50,100,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0
City of London Academy - Southwark EABL,"D. Banjoko, J. Hannick, L. Thompson, R. Cryer, T. Gass",2,148,0.0,4,2,4,50,0,0,0,0,0,0,0,2,2,2,0,0,0,1,4,62.3,62.3,62.3,38.5,38.5,50,50,100,0,100,0,0,0,104.2,5,2,4,50,1,3,33.3,0,0,0,0,2,2,1,0,0,0,1,4,62.5,62.5,0,0,75,130.2,0,0,0,4,2,50,0,0,0,0,0,0,0,-26,0,0,0,1,1,100,3,1,33.3,0,0,0,0,2,2,0,0,0,0
Barking Abbey EABL,"A. Maitland, F. Oguntuase, K. Mabaya, R. Connolly, S. Dobson Smith",1,137,0.0,7,3,5,60,1,3,33.3,0,1,0,1,1,2,3,0,0,0,0,4,70,74.7,65.3,32.1,36.8,70,64.3,100,100,33.3,0,20,60,164.2,3,1,3,33.3,0,0,0,1,2,50,2,0,2,1,0,0,2,1,4,33.3,38.7,34,66.7,0,80.5,0,0,0,2,2,100,3,1,33.3,0,0,0,0,83.7,0,0,0,3,1,33.3,0,0,0,1,0,1,0,0,2,2,0,0,0
Barking Abbey EABL,"F. Cole, J. Mendes, M. Filho, M. Myamutenha, S. Dobson Smith",1,79,0.0,9,3,3,100,2,2,100,1,1,100,0,0,0,2,1,0,1,1,4,108.5,129.5,87.5,18.5,27.4,133.3,130.8,66.7,0,0,15.5,33.3,66.7,211.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3,0,0,100,0,0,0,0,0,0,1,1,100,2,2,100,1,0,0,0,211.1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,8,0,0,0
Barking Abbey EABL,"H. Mclauchlan, J. Mendes, K. Mabaya, M. Filho, O. Visockas",1,116,0.0,4,2,4,50,0,1,0,0,0,0,0,0,0,2,2,0,0,0,4,79.4,79.4,79.4,30.2,30.2,50,50,100,0,0,0,0,25,104.2,3,1,2,50,1,2,50,0,0,0,0,1,1,1,0,0,2,0,4,75,75,50,0,100,78.1,0,0,0,3,2,66.7,1,0,0,0,0,0,0,26,0,0,0,0,0,0,2,1,50,2,0,0,0,0,2,4,0,0,0
Barking Abbey EABL,"F. Cole, K. Mabaya, M. Myamutenha, R. Connolly, S. Dobson Smith",1,75,0.0,4,2,3,66.7,0,0,0,0,0,0,0,1,1,1,2,0,1,2,4,122.9,122.9,122.9,19.5,19.5,66.7,66.7,50,0,100,20,0,0,104.2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,3,0,4,0,0,75,0,100,0,0,0,0,3,2,66.7,0,0,0,1,0,0,0,104.2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,4,2,0,0,0
Barking Abbey EABL,"E. Albrecht, J. Mendes, K. N'gabala, M. Filho, R. Connolly",1,137,0.0,7,3,3,100,1,1,100,0,0,0,0,2,2,1,1,0,1,1,4,74.7,67.3,82.1,35.7,29.2,116.7,116.7,33.3,0,100,20,0,33.3,182.3,5,1,3,33.3,1,2,50,2,2,100,0,0,0,0,0,0,1,0,5,50,64.4,20.5,0,66.7,106.7,0,0,0,2,2,100,1,1,100,0,1,0,0,75.6,0,0,0,1,0,0,2,1,50,1,0,0,0,0,5,2,0,0,0
