Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Derby College Trailblazers EABL,"K. Zidonis, K. Otaye, L. Ngomti, J. Lemanski, F. Tuck",1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,165.9,115.2,216.6,20.8,11.1,0,0,0,0,0,100,0,0,0,4,1,1,100,0,0,0,2,2,100,0,0,0,1,1,0,0,0,1,100,106.4,0,0,0,221.6,-221.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0
Derby College Trailblazers EABL,"K. Zidonis, R. Hobday, L. Ngomti, J. Howlett, W. Tallon",1,36,2,1,1,100,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,64,64,64,37.5,37.5,100,100,100,0,50,0,0,0,208.3,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,50,0,0,208.3,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Derby College Trailblazers EABL,"K. Zidonis, R. Hobday, E. Rice, W. Tallon, J. Howlett",1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,361,384,337.9,6.2,7.1,0,0,0,0,0,100,0,0,0,2,0,0,0,0,0,0,2,2,100,0,0,0,0,1,0,0,0,0,0,113.6,0,0,0,236.7,-236.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derby College Trailblazers EABL,"K. Zidonis, G. Pastor, L. Ngomti, E. Rice, J. Howlett",1,32,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72,72,33.3,33.3,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Derby College Trailblazers EABL,"K. Zidonis, G. Pastor, K. Otaye, M. Smith-Fjordland, E. Rice",1,18,1,0,0,0,0,0,0,1,2,50,0,0,0,0,0,0,0,0,0,63,112.6,13.3,21.3,180.0,0,56.8,0,0,0,0,0,0,118.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derby College Trailblazers EABL,"K. Otaye, R. Hobday, E. Rice, W. Tallon, E. Norman",1,39,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59.1,59.1,59.1,40.6,40.6,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Derby College Trailblazers EABL,"R. Hobday, G. Pastor, J. Lemanski, W. Tallon, J. Howlett",1,32,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,72,72,72,33.3,33.3,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Derby College Trailblazers EABL,"R. Hobday, L. Ngomti, J. Lemanski, F. Tuck, W. Tallon",1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,18.5,18.5,130.0,130.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HHS Reading Rockets EABL,"M. Hassan-Taylor, N. Dent, J. Mackinnon, C. Okumus, A. King",1,38,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,90.9,60.6,121.3,39.6,19.8,0,0,0,0,100,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
HHS Reading Rockets EABL,"M. Hassan-Taylor, L. Francis, J. Waterhouse, J. Mackinnon, C. Okumus",1,35,0,0,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,65.8,65.8,65.8,36.5,36.5,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,100,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
