Canonical,Team,Numbers,Variations
R. Nunn,City of London Academy - Southwark EABL,11/4/6,R. Nunn
A. Morentin,City of London Academy - Southwark EABL,9,A. Morentin
S. Shirwac,City of London Academy - Southwark EABL,10/13/14/7,S. Shirwac
N. Senessie,City of London Academy - Southwark EABL,10/11/14,N. Senessie
A. Nwokolo,City of London Academy - Southwark EABL,15,A. Nwokolo
J. Ofman,Itchen College EABL,4,J. Ofman
B. Cope,Itchen College EABL,3/5,B. Cope
E. Round,Itchen College EABL,6,E. Round
E. Lotriet,Itchen College EABL,8,E. Lotriet
D. Cimochowski,Itchen College EABL,1/15,D. Cimochowski
G. Andrews,Itchen College EABL,7,G. Andrews
T. Blower,Itchen College EABL,2/9,T. Blower
R. Radu,Itchen College EABL,10,R. Radu
M. Yeates,Itchen College EABL,11/12/14/15,M. Yeates
M. Edwards,Itchen College EABL,11/12,M. Edwards
J. Osei-Owusu,Itchen College EABL,13/14,J. Osei-Owusu
A. Ben-Uloko,Itchen College EABL,14,A. Ben-Uloko
J. Agbeze,BMET City of Birmingham Rockets EABL,0/5,J. Agbeze
S. Chikukwa,BMET City of Birmingham Rockets EABL,14/15/16/23/4,S. Chikukwa
S. Wahid,SGS College EABL,7,S. Wahid
L. Diala-Bevan,Itchen College EABL,14/15,L. Diala-Bevan
N. Wilkinson,Copleston High School EABL,3/4/6,N. Wilkinson
C. Fobister,Copleston High School EABL,0/2/5,C. Fobister
T. Rafiu,Copleston High School EABL,0/2/6/9,T. Rafiu
J. Mussington,Copleston High School EABL,9,J. Mussington
M. Liddamore,Copleston High School EABL,10,M. Liddamore
I. Little,Copleston High School EABL,7,I. Little
M. Wells,Copleston High School EABL,8,M. Wells
O. Drane,Copleston High School EABL,11,O. Drane
A. Hickey,Copleston High School EABL,12/14/30,A. Hickey
I. Carty-Peters,Copleston High School EABL,13,I. Carty-Peters
E. Tamakloe,Copleston High School EABL,14/23/90,E. Tamakloe
G. Millar,Copleston High School EABL,12/15,G. Millar
N. Byfield,Myerscough College EABL,4/7,N. Byfield
D. Okhuoya,Myerscough College EABL,21,D. Okhuoya
R. Cryer,City of London Academy - Southwark EABL,10/11/4/7,R. Cryer
L. Thompson,City of London Academy - Southwark EABL,6,L. Thompson
K. N'gabala,Barking Abbey EABL,8,K. N'gabala
Y. He,Copleston High School EABL,12/24,Y. He
O. Visockas,Barking Abbey EABL,25/9,O. Visockas
E. Albrecht,Barking Abbey EABL,11,E. Albrecht
H. Mclauchlan,Barking Abbey EABL,14,H. Mclauchlan
W. Harper,Barking Abbey EABL,13/24,W. Harper
J. Hardy,Charnwood College Riders EABL,4/55,J. Hardy
Z. Gleadell-Smith,Charnwood College Riders EABL,15,Z. Gleadell-Smith
L. Matthews,SGS College EABL,3,L. Matthews
A. Bennett,SGS College EABL,11,A. Bennett
T. Richardson,Manchester Magic Academy EABL,3/4/6,T. Richardson
A. Adetula,Manchester Magic Academy EABL,1/12/16/9,A. Adetula
R. Hobday,Derby College Trailblazers EABL,12,R. Hobday
K. Otaye,Derby College Trailblazers EABL,0/1/10/11/21/9,K. Otaye
F. Tuck,Derby College Trailblazers EABL,5,F. Tuck
I. Idemudia,Myerscough College EABL,8,I. Idemudia
A. Moloney,HHS Reading Rockets EABL,6,A. Moloney
L. Francis,HHS Reading Rockets EABL,12,L. Francis
D. Ekwukoma,City of London Academy - Southwark EABL,6,D. Ekwukoma
D. Kostadinov,Oaklands Wolves EABL,1,D. Kostadinov
L. Mcintosh,Oaklands Wolves EABL,10,L. Mcintosh
H. Morrell,Oaklands Wolves EABL,14,H. Morrell
G. Mitchell,Oaklands Wolves EABL,15,G. Mitchell
E. Da Cruz Fatuda,Oaklands Wolves EABL,17/4,E. Da Cruz Fatuda
