Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
Рилски спортист,"Алън Арнет, Деян Карамфилов, Майкъл Едуардс, Мирослав Васов, Христо Бъчков",14,2839,12.6,132,47,69,68.1,9,16,56.2,29,38,76.3,12,41,53,28,11,7,16,17,90,76.4,76,76.7,31.6,31.3,74.6,77,59.6,50,83.7,12.3,55.1,23.2,146.7,70,26,77,33.8,7,35,20,11,15,73.3,8,12,20,16,4,1,16,34,91,38.3,41.9,16.1,16.3,45.5,77.2,36,32,88.9,13,5,38.5,4,3,75,4,9,0,3,69.6,31,16,51.6,8,2,25,7,1,14.3,9,6,0,1,25,31,26,4,12,6
Черно море Тича,"Георги Боянов, Джелани Уотсън-Гейл, Ламонт Уест, Николай Стоянов, Цветомир Чернокожев",13,2830,18.7,107,42,80,52.5,15,35,42.9,8,10,80,10,27,37,20,6,0,17,17,90,74.8,76.4,73.2,31.4,32.8,61.9,63.4,47.6,27.8,77.1,14,12.5,43.8,118.7,110,44,78,56.4,10,26,38.5,12,15,80,8,26,34,22,8,2,10,20,86,62.8,65,10.6,22.9,33.3,127.5,32,21,65.6,9,4,44.4,11,5,45.5,4,10,0,3,-8.7,36,26,72.2,14,7,50,4,3,75,3,5,0,2,13,19,16,8,29,18
Миньор 2015,"Алекс Уандие, Игор Кесар, Лазар Станкович, Лъчезар Тошков, Филип Бакич",8,2813,16.0,100,37,83,44.6,8,34,23.5,18,24,75,17,24,41,34,11,4,16,31,90,78.2,76.9,79.6,31.2,30.2,49.4,53.4,91.9,39.5,80,11.1,28.9,41,111,98,36,70,51.4,8,25,32,18,24,75,6,26,32,18,12,2,20,23,93,57.1,60.8,19.9,20,35.7,105.1,37,27,73,6,1,16.7,5,0,0,9,6,0,1,5.9,27,22,81.5,7,3,42.9,6,3,50,11,6,0,3,20,29,32,6,31,26
Локомотив Пловдив,"Грант Сингълтън, Йоанис Кикрилис, Кръстомир Михов, Кхалил Милър, Шоу Андерсън",16,2561,6.6,118,40,78,51.3,17,42,40.5,21,31,67.7,8,33,41,29,7,6,5,18,88,81.1,82.5,79.7,29.1,30.1,62.2,64.4,72.5,21.1,82.5,4,39.7,53.8,134,91,36,74,48.6,11,29,37.9,8,14,57.1,7,30,37,20,3,3,12,24,85,56.1,56.8,13,17.5,39.2,107,23,16,69.6,6,3,50,10,4,40,1,4,0,0,27,23,14,60.9,15,9,60,7,2,28.6,7,5,0,0,16,19,21,7,15,13
Шумен,"Баръш Мустафа, Джейлън Барр, Костадин Лазаров, Майкъл Марш, Уилям Елис",10,2666,2.6,107,39,85,45.9,14,36,38.9,15,25,60,16,28,44,18,5,2,9,25,88,76.9,79.1,74.8,30.3,32.1,54.1,55.7,46.2,34.8,82.4,7.3,29.4,42.4,121.8,93,32,64,50,7,20,35,22,32,68.8,6,30,36,17,7,6,11,20,83,55.5,59.6,12.3,17.6,31.2,112,23,14,60.9,6,3,50,15,7,46.7,3,6,0,0,9.8,24,17,70.8,7,1,14.3,6,2,33.3,4,6,0,1,12,11,15,5,26,11
Академик Бултекс 99,"Васил Бачев, Джакуез Йоу, Николай Михайлов, Райт-Рииво Лаане, Роджър Хемпфил",10,2600,14.0,91,31,64,48.4,11,31,35.5,18,23,78.3,7,22,29,24,12,1,18,25,85,76.8,78.1,75.5,30.7,31.8,57,61.4,77.4,21.2,57.9,15.5,35.9,48.4,107.5,92,35,70,50,7,22,31.8,15,24,62.5,16,26,42,18,12,1,17,19,82,55,57.1,17.4,42.1,31.4,112.5,22,15,68.2,9,4,44.4,2,1,50,8,8,0,2,-5,32,19,59.4,8,3,37.5,3,2,66.7,9,5,0,3,9,23,29,18,29,29
Спартак Плевен,"Джулиен Люйс, Кавон Скот, Мартин Русев, Мартин Сотиров, Ноел Браун",7,2525,23.0,90,35,67,52.2,7,22,31.8,13,19,68.4,10,38,48,25,3,0,18,18,82,78.2,77.9,78.5,30.8,30.6,57.5,59.7,71.4,33.3,97.4,15.2,28.4,32.8,109.8,63,23,63,36.5,2,28,7.1,15,22,68.2,1,20,21,12,12,3,11,21,83,38.1,43.3,13.1,2.6,44.4,76.3,34,24,70.6,5,2,40,1,0,0,7,10,0,1,33.5,22,16,72.7,3,1,33.3,3,0,0,4,3,0,4,16,17,10,2,21,19
Черно море Тича,"Алонзо Гафни, Георги Боянов, Деанте Джонсън, Джелани Уотсън-Гейл, Николай Стоянов",8,2549,14.3,89,33,79,41.8,10,28,35.7,13,16,81.2,15,25,40,22,9,3,9,15,79,73.6,74,73.2,32.4,32.8,48.1,51.7,66.7,33.3,83.3,7.7,20.3,35.4,113.2,76,29,63,46,11,26,42.3,7,11,63.6,5,30,35,19,5,0,16,15,78,54.8,56,19.1,16.7,41.3,97.7,31,18,58.1,13,3,23.1,6,3,50,5,2,0,2,15.5,22,13,59.1,10,4,40,4,2,50,10,4,0,2,11,18,31,6,11,10
Шумен,"Андрия Блатанчич, Костадин Лазаров, Майкъл Марш, Мирослав Денчев, Уилям Елис",5,2421,15.3,82,33,57,57.9,3,14,21.4,13,23,56.5,6,25,31,16,8,1,17,15,78,77.9,77.7,78.1,30.9,30.7,60.5,61.1,48.5,22.2,65.8,17,40.4,24.6,104.6,90,35,72,48.6,9,30,30,11,19,57.9,13,21,34,23,12,0,12,13,79,54.9,56,13,34.2,41.7,114.2,29,24,82.8,7,5,71.4,3,1,33.3,8,7,0,2,-9.6,21,13,61.9,8,5,62.5,2,1,50,5,6,0,1,10,18,20,18,24,25
Миньор 2015,"Алекс Уандие, Васил Попов, Игор Кесар, Лазар Станкович, Лъчезар Тошков",11,2353,14.0,80,27,60,45,5,23,21.7,21,23,91.3,10,25,35,21,9,3,18,25,76,78,77.9,78.1,30.8,30.7,49.2,57,77.8,33.3,73.5,16.5,38.3,38.3,104.8,75,26,64,40.6,9,27,33.3,14,19,73.7,9,20,29,13,8,1,15,22,77,47.7,51.8,17.2,26.5,42.2,97.9,23,18,78.3,8,3,37.5,2,0,0,6,7,0,5,6.9,23,12,52.2,11,4,36.4,8,4,50,10,2,0,3,11,25,18,10,20,23
