Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Шумен,"Мирослав Денчев, Никола Върбанов, Баръш Мустафа, Владислав Станев, Клемен Вуга",1,84,3,0,2,0,0,2,0,3,3,100,0,1,1,1,1,0,1,1,4,118.9,123.4,114.3,19.4,21.0,0,45.2,0,0,100,18.8,150,100,69.4,2,1,3,33.3,0,1,0,0,0,0,0,2,2,0,0,0,1,1,4,33.3,33.3,25,0,33.3,50,19.4,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,50,0,0,0,0,0,0,1,0,0,0
Шумен,"Мирослав Денчев, Антон Уеб, Джейлън Барр, Владислав Станев, Клемен Вуга",1,113,0,0,2,0,0,0,0,0,0,0,1,2,3,0,0,0,3,1,4,84.2,83.5,85,28.8,28.2,0,0,0,50,100,60,0,0,0,3,1,4,25,1,2,50,0,0,0,0,1,1,0,3,0,0,1,4,37.5,37.5,0,0,50,75,-75,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,1,100,0,0,0,0
Шумен,"Мирослав Денчев, Джейлън Барр, Андрия Блатанчич, Майкъл Марш, Баръш Мустафа",1,136,7,3,6,50,0,1,0,1,1,100,2,0,2,0,0,0,1,2,4,71.6,93.5,49.6,25.7,48.4,50,54.3,0,66.7,0,13.4,16.7,16.7,132.1,6,2,3,66.7,0,1,0,2,2,100,1,1,2,0,0,0,0,1,2,66.7,77.3,0,100,33.3,213.5,-81.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Шумен,"Никола Саздов, Антон Уеб, Андрия Блатанчич, Костадин Лазаров, Баръш Мустафа",1,103,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,2,1,4,90.2,113.7,66.6,21.1,36.0,0,0,0,0,0,41,100,0,0,4,2,4,50,0,1,0,0,0,0,1,3,4,2,1,0,1,1,3,50,50,20,100,25,139.9,-139.9,1,0,0,0,0,0,0,0,0,2,0,0,0,2,2,100,0,0,0,0,0,0,0,1,0,0
Шумен,"Никола Саздов, Костадин Лазаров, Баръш Мустафа, Владислав Станев, Клемен Вуга",2,166,7,3,5,60,1,2,50,0,0,0,1,2,3,2,0,1,1,1,4,67.3,55.8,78.8,43.0,30.4,70,70,66.7,100,66.7,12.5,0,40,181.3,5,2,6,33.3,0,0,0,1,2,50,1,0,1,2,1,0,0,0,5,33.3,36.3,0,33.3,0,91.7,89.7,2,1,50,0,0,0,1,1,100,1,0,0,0,6,2,33.3,0,0,0,0,0,0,0,0,0,0
Шумен,"Милен Чолаков, Антон Уеб, Джейлън Барр, Андрия Блатанчич, Костадин Лазаров",1,186,1,0,4,0,0,2,0,1,4,25,1,2,3,1,0,0,1,2,4,69.1,76.2,62.1,31.5,38.7,0,8.7,0,20,66.7,12.9,100,50,16.9,6,2,5,40,0,1,0,2,2,100,1,4,5,1,1,1,0,3,4,40,51,0,33.3,20,124.7,-107.8,1,0,0,1,0,0,1,0,0,1,0,0,0,3,1,33.3,1,1,100,1,0,0,0,0,0,0
Шумен,"Никола Върбанов, Джейлън Барр, Костадин Лазаров, Майкъл Марш, Баръш Мустафа",1,78,2,1,4,25,0,1,0,0,0,0,1,0,1,0,1,0,1,2,4,104.8,120.9,88.6,19.8,27.1,25,25,0,33.3,0,20,0,25,50.9,5,1,1,100,1,1,100,2,2,100,0,2,2,1,1,1,1,0,2,150,133,34.7,0,100,173.6,-122.7,3,1,33.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Шумен,"Никола Върбанов, Джейлън Барр, Костадин Лазаров, Баръш Мустафа, Димитър Стамов",1,129,7,3,4,75,1,1,100,0,0,0,0,1,1,1,0,0,0,1,4,64,74.4,53.6,32.2,44.8,87.5,87.5,33.3,0,100,0,0,25,175,4,1,2,50,0,1,0,2,2,100,0,1,1,1,0,0,0,1,2,50,69.4,0,0,50,138.9,36.1,3,2,66.7,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0
Шумен,"Антон Уеб, Андрия Блатанчич, Костадин Лазаров, Баръш Мустафа, Димитър Стамов",1,130,4,2,3,66.7,0,1,0,0,0,0,0,1,1,1,0,0,1,0,4,73.8,73.8,73.8,32.5,32.5,66.7,66.7,50,0,100,20,0,33.3,100,6,3,4,75,0,1,0,0,0,0,0,0,0,2,0,0,0,0,4,75,75,0,0,25,150,-50,1,1,100,1,1,100,0,0,0,0,1,0,0,3,3,100,0,0,0,0,0,0,0,0,0,0
Шумен,"Антон Уеб, Костадин Лазаров, Майкъл Марш, Баръш Мустафа, Владислав Станев",2,188,2,1,4,25,0,2,0,0,0,0,0,2,2,0,0,0,0,1,4,59,51.1,67,47.0,35.8,25,25,0,0,66.7,0,0,50,50,8,2,5,40,1,3,33.3,3,3,100,1,3,4,0,0,0,0,0,5,50,63.3,0,33.3,60,152.4,-102.4,1,1,100,0,0,0,0,0,0,0,0,0,0,2,1,50,0,0,0,0,0,0,0,0,0,0
Академик Бултекс 99,"Иван Комитски, Джакуез Йоу, Николай Михайлов, Обрад Томич, Максим Чоков",1,116,2,0,3,0,0,2,0,2,2,100,1,0,1,0,0,0,1,1,3,70.4,78.8,62.1,30.4,38.7,0,25.8,0,33.3,0,20.5,66.7,66.7,52.5,3,1,1,100,1,1,100,0,0,0,0,2,2,0,1,0,2,2,3,150,150,66.7,0,100,100,-47.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,100,2,0,0,0
Академик Бултекс 99,"Иван Комитски, Васил Бачев, Асен Великов, Роджър Хемпфил, Райт-Рииво Лаане",1,77,4,2,3,66.7,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,107.2,93.5,120.9,25.7,19.8,66.7,66.7,0,0,100,0,0,0,133.3,5,1,2,50,1,2,50,2,2,100,0,1,1,0,0,1,1,1,3,75,86.8,25.8,0,100,128.9,4.5,3,2,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Академик Бултекс 99,"Иван Комитски, Васил Бачев, Обрад Томич, Петър Ралчев, Демаркъс Шарп",1,117,3,1,2,50,1,2,50,0,0,0,0,0,0,1,0,0,1,0,3,49.8,61.5,38.2,39.0,62.9,75,75,100,0,0,25,0,100,100,4,2,4,50,0,1,0,0,0,0,1,1,2,2,0,0,0,0,2,50,50,0,100,25,215.1,-115.1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,100,2,1,50,0,0,0,0,0,0,0
Академик Бултекс 99,"Иван Комитски, Асен Великов, Обрад Томич, Райт-Рииво Лаане, Максим Чоков",1,62,2,1,2,50,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,96.8,116.1,77.4,20.7,31.0,50,50,100,0,100,25,0,0,66.7,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,50,0,66.7,2,1,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Академик Бултекс 99,"Иван Комитски, Асен Великов, Роджър Хемпфил, Райт-Рииво Лаане, Максим Чоков",1,94,3,1,3,33.3,1,3,33.3,0,0,0,0,2,2,1,0,1,0,0,3,75.7,76.6,74.8,31.3,32.1,50,50,100,0,66.7,0,0,100,100,0,0,3,0,0,2,0,0,0,0,1,2,3,0,0,0,1,0,3,0,0,25,33.3,66.7,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Академик Бултекс 99,"Иван Комитски, Андрей Чалъков, Роджър Хемпфил, Петър Ралчев, Максим Чоков",1,125,7,2,3,66.7,1,2,50,2,2,100,1,1,2,1,0,0,1,1,3,73.2,73.2,73.2,32.8,32.8,83.3,90.2,50,100,50,17,66.7,66.7,183.7,6,2,4,50,0,0,0,2,2,100,1,0,1,0,1,0,0,1,2,50,61.5,0,50,0,157.5,26.2,1,1,100,0,0,0,1,0,0,1,0,0,0,2,1,50,2,1,50,0,0,0,0,0,0,0
Академик Бултекс 99,"Джакуез Йоу, Васил Бачев, Николай Михайлов, Асен Великов, Райт-Рииво Лаане",1,91,5,1,2,50,1,2,50,2,4,50,0,1,1,1,0,0,0,2,3,112.4,99.2,125.5,24.2,19.1,75,66.5,100,0,100,0,200,100,133,5,1,3,33.3,0,2,0,3,4,75,0,3,3,1,0,0,0,2,4,33.3,52.5,0,0,66.7,105,27.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0
Академик Бултекс 99,"Джакуез Йоу, Васил Бачев, Обрад Томич, Кирил Иванов, Райт-Рииво Лаане",1,94,2,1,3,33.3,0,2,0,0,0,0,0,1,1,1,0,0,0,2,3,74.2,76.6,71.7,31.3,33.5,33.3,33.3,100,0,50,0,0,66.7,66.7,4,1,3,33.3,1,2,50,1,2,50,1,2,3,1,0,0,0,0,3,50,51.5,0,50,66.7,142.3,-75.7,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Академик Бултекс 99,"Джакуез Йоу, Васил Бачев, Обрад Томич, Роджър Хемпфил, Райт-Рииво Лаане",1,107,5,2,3,66.7,1,2,50,0,0,0,0,2,2,1,0,0,0,0,3,56.1,67.3,44.9,35.7,53.5,83.3,83.3,50,0,100,0,0,66.7,166.7,0,0,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,100,0,166.7,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
