Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
Liverpool Senior Men,"Andre Gayle, Kaphel Ulett-Waul, Kieran Mcnally, Louis Rogerson-Evans",2,269,0.1,11,4,7,57.1,1,3,33.3,2,5,40,0,3,3,3,0,0,2,1,11,99.3,99.9,98.7,24.0,24.3,64.3,59.8,75,0,60,14.1,71.4,42.9,98.2,10,3,8,37.5,1,3,33.3,3,5,60,2,5,7,1,2,0,3,7,11,43.8,49,22.7,40,37.5,90.4,1,0,0,1,1,100,0,0,0,0,0,0,0,7.8,2,1,50,1,0,0,0,0,0,0,0,0,0,0,4,8,6,0,0
Greenwich Titans Senior Men,"Alex Charles, Dawit Ghebremedhin, Kamil Jezewski, Lance Macaraig, Teddy Barns",1,265,1.6,6,2,8,25,0,3,0,2,2,100,1,3,4,0,4,0,3,0,11,94.2,97.9,90.6,24.5,26.5,25,33.8,0,16.7,100,25.3,25,37.5,55.5,2,1,5,20,0,3,0,0,0,0,0,5,5,1,1,0,5,1,10,20,20,50,0,60,20,3,2,66.7,0,0,0,0,0,0,0,0,0,0,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0
Myerscough Basketball Academy Senior Men I,"Cesar Sanchez Falette, Finlay Morgan, Harry Sheehan, Olivier Esingle, Sayomie Laditan-Adebiyi",2,311,0.1,11,3,9,33.3,2,5,40,3,3,100,0,3,3,2,1,0,1,0,11,83.2,87.4,78.9,27.5,30.4,44.4,53.3,66.7,0,50,7.5,33.3,55.6,97.2,9,4,10,40,1,3,33.3,0,1,0,3,6,9,1,1,0,3,3,10,45,43.1,22.3,50,30,88,2,1,50,0,0,0,0,0,0,0,0,0,0,9.2,6,3,50,0,0,0,1,1,100,0,0,0,0,0,2,3,4,0,0
Oxford Hoops Senior Men,"Adam Marzec, Brandon Read Strahan, Errol Otto, Jezzrael Sapigao, Patrick Wrencher Jr",2,283,0.0,13,5,10,50,2,4,50,1,1,100,1,2,3,3,1,0,2,3,11,93.8,96.4,91.3,24.9,26.3,60,62.3,60,20,100,13,10,40,114.3,8,2,4,50,2,4,50,2,4,50,0,4,4,1,2,0,5,2,11,75,69.4,46.5,0,100,74.3,1,1,100,1,0,0,2,2,100,0,0,0,0,40,0,0,0,0,0,0,2,2,100,0,0,0,0,3,4,2,0,4,0
Cardiff Met Archers Senior Men I,"Casey Smith, Gareth Williams, Georgi Lokmadzhiev, Lucas Scotland, Macaulay Jones",1,261,0.0,10,3,8,37.5,3,6,50,1,2,50,0,6,6,3,0,0,2,2,11,99.5,100,98.9,24.0,24.3,56.2,56.3,100,0,100,14.4,25,75,91.9,2,0,5,0,0,3,0,2,4,50,0,2,2,0,2,0,4,2,11,0,14.8,37.2,0,60,18.6,1,0,0,0,0,0,0,0,0,0,0,0,0,73.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1
London Stars Senior Men,"Bradley Kaboza, Brandon Moncrieffe, Jamie Hayes, Nojus Zajankauskas, Ryan Martin",3,363,2.3,9,4,11,36.4,1,6,16.7,0,0,0,0,4,4,1,1,0,0,4,11,64.4,72.7,56.2,33.0,42.7,40.9,40.9,25,0,44.4,0,0,54.5,81.8,7,3,13,23.1,0,6,0,1,1,100,5,7,12,1,0,0,1,1,8,23.1,26,6.9,55.6,46.2,82.4,1,0,0,1,1,100,0,0,0,0,0,0,0,-0.6,3,1,33.3,2,2,100,0,0,0,0,0,0,0,0,0,0,0,3,0
Cardiff Met Archers Senior Men I,"Alonzo Rosario, Gareth Williams, Georgi Lokmadzhiev, James Dawe, Macaulay Jones",1,247,0.0,6,3,9,33.3,0,2,0,0,0,0,0,4,4,1,0,0,2,3,11,100.5,106.9,94.2,22.5,25.5,33.3,33.3,33.3,0,80,16.7,0,22.2,54.5,8,3,8,37.5,0,3,0,2,4,50,1,5,6,0,2,0,1,0,10,37.5,41,9.3,20,37.5,82.6,4,2,50,1,1,100,0,0,0,0,0,0,0,-28,4,3,75,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2
Cobham Cobras Senior Men,"Abdul Oladipupo, Charlie Ollis, John Stewart, Marcel Alexandre Dias Mendes, Ray Onome Akpofure",1,291,4.3,12,4,9,44.4,2,3,66.7,2,4,50,2,2,4,3,3,0,2,0,11,84.7,87.6,81.9,27.4,29.3,55.6,55.8,75,40,66.7,12.7,44.4,33.3,113,13,5,8,62.5,3,6,50,0,0,0,1,3,4,5,1,0,3,3,10,81.2,81.2,27.3,33.3,75,130.9,3,1,33.3,0,0,0,0,0,0,0,0,0,0,-17.9,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,3
Oxford Hoops Senior Men,"Alejandro Prescott-Cornejo, Brandon Read Strahan, Jamie Cummins, Jezzrael Sapigao, Mukhtar Adelakun",1,312,0.0,15,6,11,54.5,2,5,40,1,2,50,3,4,7,3,0,0,2,3,11,82,82.1,81.9,29.2,29.3,63.6,63.1,50,60,66.7,11.8,18.2,45.5,140.6,11,3,7,42.9,1,3,33.3,4,7,57.1,2,2,4,0,2,0,2,1,11,50,54.6,16.6,33.3,42.9,103.3,2,2,100,3,1,33.3,0,0,0,0,0,0,0,37.3,2,1,50,0,0,0,0,0,0,0,0,0,0,7,1,2,5,0,2
Solent Kestrels Senior Men,"Andre Arissol, Ashley Briggs, Ethan Round, Greg Durand, Javen Osei-Owusu",3,373,0.0,17,5,8,62.5,2,3,66.7,5,7,71.4,1,4,5,6,1,0,1,6,11,65.4,70.8,60,33.9,40.0,75,76.7,120,33.3,33.3,5.5,87.5,37.5,154.4,10,4,16,25,2,7,28.6,0,2,0,8,2,10,3,1,0,1,5,9,31.2,29.6,5.6,66.7,43.8,107.3,1,1,100,0,0,0,0,0,0,0,0,0,0,47.1,4,1,25,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0
Richmond Knights Senior Men,"Babawale Oyeyemi, Callum Vines, Jordan Murray-White, Kai Hypolite-Sealy, Mazzariou Diallo",1,279,0.0,11,4,7,57.1,0,2,0,3,5,60,2,4,6,4,1,0,3,1,11,88.1,91.1,85,26.3,28.2,57.1,59.8,100,50,100,18.5,71.4,28.6,103.8,6,2,6,33.3,1,2,50,1,2,50,0,2,2,1,3,0,3,3,10,41.7,43.6,30.4,0,33.3,60.7,3,2,66.7,0,0,0,0,0,0,0,0,0,0,43.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,3,0
Cardiff Met Archers Senior Men I,"Edris Kizito, Gareth Williams, Macaulay Jones, Mark James, Rhys Cornelius",1,321,0.0,11,5,8,62.5,0,1,0,1,1,100,0,1,1,3,1,0,3,3,11,82.7,85.5,79.9,28.1,30.0,62.5,65.2,60,0,50,20.8,12.5,12.5,96.2,16,5,7,71.4,3,5,60,3,4,75,1,3,4,2,1,0,3,1,11,92.9,91.3,25.5,50,71.4,149.7,3,3,100,2,1,50,0,0,0,0,0,0,0,-53.5,2,2,100,1,1,100,1,1,100,0,0,0,0,0,0,2,3,2,5
Barking Abbey Senior Men I,"Dwayne Orija, Joshua Mendes, Kervy Mabaya, Raffy Connolly, Solomon Dobson-Smith",2,336,0.0,13,6,13,46.2,1,4,25,0,0,0,3,2,5,3,3,1,1,0,11,77.4,77.1,77.7,31.1,30.9,50,50,50,42.9,100,5.9,0,30.8,120.5,7,2,6,33.3,1,3,33.3,2,2,100,0,4,4,1,1,0,4,1,11,41.7,50.9,36.8,0,50,64.3,4,2,50,2,2,100,0,0,0,0,0,0,0,56.1,1,1,100,1,0,0,0,0,0,0,0,0,0,5,2,9,0,2,0
St Helens Saints Senior Men,"Connor Murtagh, Ellis Evans, Kieran Jones, Shomari Simmonds, William Self",1,331,5.5,9,4,11,36.4,1,4,25,0,0,0,2,2,4,3,0,3,2,2,11,73.1,76.2,70.1,31.5,34.2,40.9,40.9,75,33.3,50,12.5,0,36.4,85.7,14,5,11,45.5,2,3,66.7,2,2,100,2,4,6,3,2,0,1,2,10,54.5,58.9,7.8,50,27.3,144.8,1,1,100,2,0,0,0,0,0,0,0,0,0,-59.1,5,2,40,0,0,0,0,0,0,0,0,0,0,4,0,0,5,4,2
