# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 361
# Qualified players exported: 265
# Total stints used: 13373
# Garbage time stints excluded: 171
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
Panathinaikos AKTOR Athens,25,Kendrick Nunn,1942,2.04,-0.78,1.26
FC Barcelona,6,Jan Vesely,1372,-0.05,1.29,1.24
Hapoel IBI Tel Aviv,25,Dan Oturu,1781,0.05,1.05,1.1
Kosner Baskonia Vitoria-Gasteiz,0,Markus Howard,662,0.96,0.13,1.1
Anadolu Efes Istanbul,8,Nick Weiler-Babb,1747,0.16,0.91,1.07
LDLC ASVEL Villeurbanne,30,Glynn Watson,1345,0.15,0.89,1.04
Baskonia Vitoria-Gasteiz,6,Hamidou Diallo,469,0.21,0.82,1.03
Virtus Bologna,35,Mouhamet Diouf,1073,0.19,0.81,1.0
EA7 Emporio Armani Milan,2,Lorenzo Brown,304,0.16,0.83,1.0
Kosner Baskonia Vitoria-Gasteiz,10,Matteo Spagnolo,728,1.1,-0.13,0.97
Valencia Basket,2,Josep Puerto,1093,1.07,-0.13,0.93
Maccabi Rapyd Tel Aviv,4,Gur Lavi,299,1.14,-0.27,0.87
Maccabi Rapyd Tel Aviv,3,Marcio Santos,937,2.76,-1.9,0.86
Kosner Baskonia Vitoria-Gasteiz,18,Khalifa Diop,490,1.58,-0.72,0.86
Baskonia Vitoria-Gasteiz,9,Timothe Luwawu-Cabarrot,559,1.23,-0.58,0.65
FC Bayern Munich,44,Kamar Baldwin,253,0.78,-0.14,0.64
Olympiacos Piraeus,16,Kostas Papanikolaou,914,0.52,0.11,0.63
Olympiacos Piraeus,94,Evan Fournier,1451,0.71,-0.08,0.63
Hapoel IBI Tel Aviv,24,Ish Wainright,1733,-0.15,0.77,0.63
Zalgiris Kaunas,12,Maodo Lo,1274,2.6,-1.98,0.62
FC Bayern Munich,7,Johannes Voigtmann,540,-0.38,0.98,0.61
Partizan Mozzart Bet Belgrade,88,Tyrique Jones,655,0.78,-0.18,0.6
Zalgiris Kaunas,7,Moses Wright,1718,1.39,-0.8,0.59
FC Bayern Munich,26,Spencer Dinwiddie,433,-1.21,1.79,0.58
Crvena Zvezda Meridianbet Belgrade,13,Ognjen Dobric,540,0.44,0.11,0.54
Zalgiris Kaunas,91,Deividas Sirvydis,548,-2.42,2.94,0.52
Zalgiris Kaunas,14,Dustin Sleva,1284,0.47,0.02,0.49
Panathinaikos AKTOR Athens,22,Jerian Grant,1736,-1.83,2.25,0.43
Dubai Basketball,51,Bruno Caboclo,263,0.23,0.15,0.38
Valencia Basket,8,Jean Montero,1547,1.6,-1.23,0.37
Paris Basketball,35,Derek Willis,876,0.09,0.25,0.35
Hapoel IBI Tel Aviv,1,Chris Jones,1504,1.54,-1.19,0.34
EA7 Emporio Armani Milan,42,Bryant Dunston,308,-2.44,2.72,0.27
LDLC ASVEL Villeurbanne,3,Shaquille Harrison,960,-0.8,1.03,0.23
