# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 514
# Qualified players exported: 225
# Total stints used: 13207
# Garbage time stints excluded: 459
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
HAKRO Merlins Crailsheim,12,Xavier Trent Johnson,1059,1.59,-0.75,0.84
SBB Baskets ,28,Alieu Ceesay,1090,1.46,-0.69,0.77
Nürnberg Falcons BC,2,Carter Dean Whitt,1021,0.55,0.2,0.75
PS Karlsruhe LIONS,4,Isaiah Rayshaud Hart,1578,-0.72,1.46,0.73
RheinStars Köln,34,Hall B Elisias,538,0.13,0.56,0.69
VfL SparkassenStars Bochum,8,Kilian Dietz,844,-1.59,2.26,0.67
BBC Bayreuth,55,Lenny Liedtke,1589,2.08,-1.49,0.59
Phoenix Hagen,8,Devin Lawrence Schmidt,1600,0.15,0.38,0.54
BMA365 Bamberg Baskets,24,Cobe Williams,260,1.32,-0.81,0.51
GIESSEN 46ers,7,Kyle Anthony Castlin,2427,0.9,-0.41,0.49
Eisbären Bremerhaven,3,Jacob David Biss,1640,0.73,-0.24,0.49
Bozic Estriche Knights Kirchheim,1,Phillip Montreal Russelll,1381,0.67,-0.19,0.48
HAKRO Merlins Crailsheim,20,Nicholas Christian Welp,252,1.32,-0.84,0.48
BBC Bayreuth,3,Rayshawn Rene Mart,1679,-0.62,1.09,0.47
GIESSEN 46ers,55,Simon Krajcovic,1806,-0.09,0.53,0.43
HAKRO Merlins Crailsheim,9,Anthony Malik Gaines,2007,-1.4,1.83,0.42
PS Karlsruhe LIONS,12,Kilian Binapfl,1377,1.48,-1.15,0.34
Bayer Giants Leverkusen,8,Kobe Langley,1737,1.15,-0.89,0.25
Phoenix Hagen,77,Anzac Joseph Dennis Rissetto,968,-0.11,0.36,0.25
Bayer Giants Leverkusen,22,Dennis Heinzmann,1612,1.97,-1.77,0.2
Uni Baskets Münster,27,Curtis Tarell Jones Jr,587,1.2,-1.02,0.18
Uni Baskets Münster,8,Neil Masnic,1293,-1.13,1.24,0.11
BBC Bayreuth,39,Willem Brandwijk,1182,-1.7,1.79,0.09
Tigers Tübingen,10,Isaiah Jevon Sanders,808,0.01,0.02,0.02
HAKRO Merlins Crailsheim,7,Nico Santana Mojica,487,0.13,-0.12,0.01
Uni Baskets Münster,17,Oliver Pahnke,545,1.34,-1.37,-0.02
BBC Bayreuth,6,Moritz Plescher,957,0.16,-0.27,-0.11
EPG Baskets Koblenz,14,Jannis Sonnefeld,743,-2.91,2.8,-0.11
BG Göttingen,1,Adam Ramstedt,996,-1.57,1.44,-0.12
Uni Baskets Münster,19,Adam Touray,464,-0.14,0.01,-0.13
Artland Dragons,15,Linus Trettin,327,-1.75,1.59,-0.16
Bozic Estriche Knights Kirchheim,15,Nil Failenschmid Clavera,1408,1.24,-1.43,-0.18
Artland Dragons,11,Robert Oehle,471,0.8,-1.02,-0.22
Paderborn Baskets,13,Jalen Lee Johnson,1210,0.97,-1.19,-0.22
Bozic Estriche Knights Kirchheim,1,Phillip Montreal Russell,725,-0.12,-0.13,-0.25
RheinStars Köln,39,Kenny André Calliste Kéannou Baptiste,698,0.33,-0.69,-0.37
BBC Bayreuth,0,Kyle Sturdivant,335,-0.28,-0.12,-0.4
GIESSEN 46ers,25,Viktor Kovacevic,1137,-0.18,-0.24,-0.42
Tigers Tübingen,7,Silas Kaan Osezua Oriane,862,-0.21,-0.24,-0.45
SBB Baskets ,4,De'Vondre Malik Perry,1211,-2.38,1.9,-0.48
SBB Baskets Wolmirstedt,1,Trey Thompson Stewart,288,-0.13,-0.39,-0.52
Uni Baskets Münster,24,Jesse Chidera Ani,973,-0.3,-0.25,-0.56
RheinStars Köln,6,Jasper Günther,1170,-1.7,1.12,-0.58
VfL SparkassenStars Bochum,7,Lars Kamp,1402,-0.32,-0.37,-0.7
SBB Baskets ,6,Martin Bogdanov,1382,-2.83,2.12,-0.71
BG Göttingen,10,Hendrik Helge Drescher,1610,-1.03,0.29,-0.74
VfL SparkassenStars Bochum,3,Marios Giotis,567,-0.58,-0.19,-0.77
HAKRO Merlins Crailsheim,1,Jose Gabriel de Oliveira Neto,1210,-1.94,1.09,-0.85
Artland Dragons,13,Dejan Bruce,416,-1.04,0.16,-0.88
Nürnberg Falcons BC,7,Christian Feneberg,1088,-0.76,-0.21,-0.97
EPG Baskets Koblenz,13,Marko Bacak,1239,-0.92,-0.11,-1.02
RheinStars Köln,15,Björn Rohwer,1370,0.45,-1.48,-1.03
SBB Baskets Wolmirstedt,34,Fabien Kondo,270,-1.82,0.77,-1.05
Tigers Tübingen,11,Jordan Nathaniel Johnson,785,-0.29,-0.78,-1.08
GIESSEN 46ers,5,Devon Goodman,404,-2.22,1.12,-1.1
SBB Baskets ,34,Fabien Kondo,876,-0.5,-0.64,-1.14
RheinStars Köln,9,Maximilian Begue,873,-0.79,-0.36,-1.15
EPG Baskets Koblenz,5,Timothy Smith,1084,0.05,-1.22,-1.17
PS Karlsruhe LIONS,22,Mikal Dawson,536,-2.45,1.26,-1.19
Nürnberg Falcons BC,5,Tim Köpple,1081,-0.71,-0.49,-1.2
Phoenix Hagen,3,Ryan Schwieger,257,0.16,-1.38,-1.22
EPG Baskets Koblenz,1,Julian Lamont Larry,584,-1.58,0.29,-1.29
EPG Baskets Koblenz,11,Devonte Jasai McCall,992,-1.26,-0.08,-1.34
Nürnberg Falcons BC,30,Vincent Friederici,1623,1.35,-2.76,-1.42
Paderborn Baskets,24,Eyassu Worku,534,-1.36,-0.06,-1.42
RheinStars Köln,0,Cedric Cezell Russell Jr,1502,0.72,-2.23,-1.51
Uni Baskets Münster,22,Cosmo Grühn,965,-1.5,-0.04,-1.54
EPG Baskets Koblenz,22,Alexander Möller,980,1.22,-2.79,-1.58
Bayer Giants Leverkusen,2,Viktor Ziring,328,0.63,-2.28,-1.65
Artland Dragons,20,Linus Ruf,1363,-0.85,-0.85,-1.69
