Canonical,Team,Numbers,Variations
Marek Ayers Nelson,BK Olomoucko,0,Marek Ayers Nelson
Kobe Elvis,BK Olomoucko,1,Kobe Elvis
Šimon Čermák,BK Olomoucko,3,Šimon Čermák
Adam Goga,BK Olomoucko,4,Adam Goga
Jordan Oupoh,BK Olomoucko,7,Jordan Oupoh
Ondřej Šiška,BK Olomoucko,3/51/9,Ondřej Šiška
Jonathan Leonard Andre,BK Olomoucko,10,Jonathan Leonard Andre
Miroslav Kvapil,BK Olomoucko,12,Miroslav Kvapil
Jaren Jamir Holmes,BK Olomoucko,13,Jaren Jamir Holmes
Kyler Filewich,BK Olomoucko,14,Kyler Filewich
Dominik Žák,BK Olomoucko,22,Dominik Žák
Jiří Svojanovský,BK Olomoucko,51,Jiří Svojanovský
Kareem Lamonte Brewton,BK GAPA Hradec Králové,2,Kareem Lamonte Brewton
Tomáš Tkadlec,BK GAPA Hradec Králové,3,Tomáš Tkadlec
Kameron Jamal Chatman,BK GAPA Hradec Králové,5,Kameron Jamal Chatman
Matija Popović,BK GAPA Hradec Králové,10,Matija Popović
Alessandro Petric,BK GAPA Hradec Králové,11,Alessandro Petric
David Škranc,BK GAPA Hradec Králové,12,David Škranc
Tomáš Mikyska,BK GAPA Hradec Králové,13,Tomáš Mikyska
Jan Bubeníček,BK GAPA Hradec Králové,16,Jan Bubeníček
Aleš Jancur,BK GAPA Hradec Králové,17,Aleš Jancur
Tomáš Merta,BK GAPA Hradec Králové,23,Tomáš Merta
Martin Roub,BK GAPA Hradec Králové,24,Martin Roub
Vojtěch Martinek,BK GAPA Hradec Králové,33,Vojtěch Martinek
Wesley Lavon Person Jr,BK Opava,1,Wesley Lavon Person Jr
Pavel Czudek,BK Opava,4,Pavel Czudek
Jan Švandrlík,BK Opava,8,Jan Švandrlík
Jan Přecechtěl,BK Opava,10,Jan Přecechtěl
Kryštof Kavan,BK Opava,11,Kryštof Kavan
Clevon Brown Jr,BK Opava,13,Clevon Brown Jr
David Motyčka,BK Opava,14,David Motyčka
Šimon Puršl,BK Opava,20,Šimon Puršl
Radovan Kouřil,BK Opava,21,Radovan Kouřil
Jakub Šiřina,BK Opava,24,Jakub Šiřina
Marek Vyroubal,BK Opava,25,Marek Vyroubal
Jakub Slavík,BK Opava,33,Jakub Slavík
Michal Svojanovský,BK KVIS Pardubice,2,Michal Svojanovský
Robert Lee Bonham,BK KVIS Pardubice,3,Robert Lee Bonham
Jamonda Roshawn Bryant,BK KVIS Pardubice,4,Jamonda Roshawn Bryant
Adam Lukeš,BK KVIS Pardubice,7,Adam Lukeš
Kamil Švrdlík,BK KVIS Pardubice,9,Kamil Švrdlík
Filip Horváth,BK KVIS Pardubice,11,Filip Horváth
Ryan Everett Moffatt,BK KVIS Pardubice,13,Ryan Everett Moffatt
Petr Šťovíček,BK KVIS Pardubice,17,Petr Šťovíček
Luboš Kovář,BK KVIS Pardubice,21,Luboš Kovář
Zed Jackson Key,BK KVIS Pardubice,23,Zed Jackson Key
Jakub Tůma,BK KVIS Pardubice,98,Jakub Tůma
Lukáš Dejmek,USK Praha,2,Lukáš Dejmek
Matěj Šafařík,USK Praha,5,Matěj Šafařík
Cortesao Joao Eduardo,USK Praha,7,Cortesao Joao Eduardo
Tomáš Palas,USK Praha,8,Tomáš Palas
Samuel Macht,USK Praha,11,Samuel Macht
Dalibor Vlk,USK Praha,13,Dalibor Vlk
Ondřej Švec,USK Praha,16,Ondřej Švec
František Fuxa,USK Praha,21,František Fuxa
Jakub Soldán,USK Praha,23,Jakub Soldán
Touko Tainamo,USK Praha,25,Touko Tainamo
Esli Edigin,USK Praha,41,Esli Edigin
Adam Kolář,USK Praha,77,Adam Kolář
Dashawn Calvin Davis,BK ARMEX ENERGY Děčín,2,Dashawn Calvin Davis
Tomáš Pomikálek,BK ARMEX ENERGY Děčín,5,Tomáš Pomikálek
