Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
BK KVIS Pardubice,Jamonda Roshawn Bryant,4,Jamonda Roshawn Bryant,53,26.6,1407.5,1036.0,19.5,334.0,745.0,44.8,91.0,275.0,33.1,277.0,315.0,87.9,51.0,181.0,232.0,194.0,97.0,7.0,135.0,141.0,928.9,34.3,38.2,7.1,8.5,417,1453.0,27.4,53.5,48,2.5,34,28,51.8,52.3,19,7.77,1.32,6.45,2.3,1.1,214.0,126.0,58.9,107.0,45.0,42.1,69.0,19.0,27.5,54.0,68.0,0.0,13.0,123.0,163.0,229.0
BK KVIS Pardubice,Kamil Švrdlík,9,Kamil Švrdlík,53,16.7,882.9,315.0,5.9,112.0,206.0,54.4,6.0,25.0,24,85.0,137.0,62,101.0,130.0,231.0,30.0,32.0,36.0,29.0,156.0,186.5,11.0,18.5,1.8,13.6,64,379.0,7.2,22.3,6,3.0,2,2,104.2,2.9,2,1.07,-4.23,5.3,5.0,4.0,123.0,84.0,68.3,9.0,2.0,22.2,1.0,0.0,0,9.0,8.0,2.0,10.0,90.0,42.0,60.0
BK KVIS Pardubice,Jakub Tůma,98,Jakub Tůma,52,23.8,1236.2,420.0,8.1,133.0,331.0,40.2,62.0,186.0,33.3,92.0,134.0,68.7,29.0,69.0,98.0,182.0,45.0,5.0,92.0,98.0,434.8,18.3,17.6,7.6,4.1,384,804.0,15.5,33.7,15,1.2,15,2,47.2,15.9,13,0.26,-3.49,3.75,1.7,2.8,53.0,32.0,60.4,29.0,9.0,31,31.0,6.0,19.4,57.0,29.0,0.0,6.0,38.0,60.0,85.0
BK KVIS Pardubice,Ryan Everett Moffatt,13,Ryan Everett Moffatt,51,27.5,1403.5,475.0,9.3,164.0,385.0,42.6,105.0,279.0,37.6,42.0,53.0,79.2,68.0,164.0,232.0,91.0,79.0,0.0,22.0,100.0,347.8,12.9,17.6,3.4,8.6,203,678.0,13.3,25.1,0,0.0,3,0,0.0,3.0,2,4.86,-1.14,5.99,2.8,3.7,50.0,36.0,72,19.0,7.0,36.8,13.0,6.0,46.2,14.0,6.0,0.0,2.0,90.0,90.0,123.0
PUMPA Basket Brno,Šimon Svoboda,11,Šimon Svoboda,51,19.2,977.6,364.0,7.1,110.0,288.0,38.2,35.0,125.0,28,109.0,178.0,61.2,69.0,79.0,148.0,37.0,26.0,13.0,66.0,156.0,348.8,18.5,19.2,2.0,7.8,84,448.0,8.8,23.7,7,1.0,6,8,36.8,9.5,7,-4.52,-6.68,2.16,3.4,4.4,95.0,51.0,53.7,18.0,5.0,27.8,5.0,2.0,40,22.0,25.0,3.0,16.0,78.0,49.0,56.0
BK KVIS Pardubice,Martin Nábělek,5,Martin Nábělek,51,6.0,306.7,107.0,2.1,33.0,106.0,31.1,27.0,93.0,29,14.0,15.0,93.3,6.0,17.0,23.0,51.0,9.0,0.0,33.0,49.0,134.0,22.7,18.1,8.6,3.9,103,210.0,4.1,35.5,0,0,0,0,0,0.0,0,-3.86,-6.32,2.46,1.8,3.1,5.0,3.0,60,3.0,1.0,33.3,15.0,7.0,46.7,25.0,2.0,0.0,6.0,12.0,8.0,2.0
BK KVIS Pardubice,Luboš Kovář,21,Luboš Kovář,50,25.2,1262.5,458.0,9.2,169.0,397.0,42.6,63.0,204.0,30.9,57.0,81.0,70.4,63.0,184.0,247.0,67.0,26.0,23.0,54.0,148.0,406.7,16.7,18.8,2.8,10.1,150,608.0,12.2,25.0,8,1.6,4,2,82.0,4.9,5,-0.24,-4.57,4.33,4.0,4.1,91.0,70.0,76.9,40.0,13.0,32.5,7.0,2.0,28.6,24.0,20.0,0.0,10.0,75.0,44.0,81.0
PUMPA Basket Brno,Milan Tomáš Stráněl,7,Milan Tomáš Stráněl,50,12.9,645.0,230.0,4.6,86.0,179.0,48,13.0,51.0,25.5,45.0,67.0,67.2,53.0,79.0,132.0,32.0,16.0,22.0,42.0,120.0,189.6,15.2,18.4,2.6,10.6,74,304.0,6.1,24.3,0,0.0,1,0,0.0,1.0,1,-2.2,-6.01,3.81,4.3,3.9,81.0,51.0,63,8.0,3.0,37.5,0.0,0.0,0,17.0,12.0,0.0,13.0,49.0,44.0,30.0
PUMPA Basket Brno,Tomáš Jansa,19,Tomáš Jansa,50,6.6,331.4,106.0,2.1,31.0,93.0,33.3,20.0,72.0,27.8,24.0,34.0,70.6,12.0,35.0,47.0,44.0,13.0,1.0,14.0,41.0,105.6,16.5,16.5,6.9,7.3,87,193.0,3.9,30.1,0,0.0,1,0,0.0,1.0,1,0.49,-3.45,3.94,2.3,3.4,6.0,3.0,50,11.0,8.0,72.7,13.0,1.0,7.7,7.0,5.0,0.0,2.0,10.0,24.0,15.0
BK KVIS Pardubice,Robert Lee Bonham,3,Robert Lee Bonham,49,25.2,1237.2,794.0,16.2,248.0,615.0,40.3,102.0,315.0,32.4,196.0,226.0,86.7,40.0,152.0,192.0,207.0,93.0,8.0,139.0,109.0,780.9,32.8,33.3,8.7,8.0,481,1275.0,26.0,53.5,27,2.5,18,17,53.0,29.5,11,6.29,0.26,6.03,1.9,1.4,128.0,79.0,61.7,68.0,27.0,39.7,157.0,54.0,34.4,77.0,53.0,1.0,8.0,51.0,199.0,174.0
ERA Basketball Nymburk,Matěj Svoboda,11,Matěj Svoboda,49,19.6,960.4,501.0,10.2,174.0,408.0,42.6,78.0,214.0,36.4,75.0,93.0,80.6,36.0,111.0,147.0,95.0,43.0,6.0,67.0,69.0,460.7,24.4,26.6,5.0,7.8,211,712.0,14.5,37.8,2,0.5,4,2,20.5,5.9,4,3.03,-2.55,5.59,2.8,3.7,111.0,63.0,56.8,20.0,3.0,15,10.0,5.0,50,23.0,32.0,0.0,12.0,65.0,129.0,114.0
ERA Basketball Nymburk,Martin Kříž,31,Martin Kříž,49,18.5,905.6,396.0,8.1,145.0,271.0,53.5,36.0,114.0,31.6,70.0,107.0,65.4,64.0,107.0,171.0,76.0,32.0,1.0,47.0,95.0,289.0,16.2,22.3,4.3,9.6,177,573.0,11.7,32.3,8,1.6,5,4,59.2,6.8,5,3.4,-2.62,6.02,3.3,3.6,98.0,75.0,76.5,6.0,3.0,50,1.0,0.0,0,32.0,8.0,0.0,7.0,50.0,79.0,91.0
