game_id,game_date,team_name,team_code,opponent,home_away,score,opp_score,full_score,p1_score,p2_score,p3_score,p4_score,in_ot,timeouts_left,fouls,attendance,period_type,periods_max,officials,coach,tot_sMinutes,tot_sFieldGoalsMade,tot_sFieldGoalsAttempted,tot_sFieldGoalsPercentage,tot_sThreePointersMade,tot_sThreePointersAttempted,tot_sThreePointersPercentage,tot_sTwoPointersMade,tot_sTwoPointersAttempted,tot_sTwoPointersPercentage,tot_sFreeThrowsMade,tot_sFreeThrowsAttempted,tot_sFreeThrowsPercentage,tot_sReboundsDefensive,tot_sReboundsOffensive,tot_sReboundsTotal,tot_sAssists,tot_sTurnovers,tot_sSteals,tot_sBlocks,tot_sBlocksReceived,tot_sFoulsPersonal,tot_sFoulsOn,tot_sFoulsTotal,tot_sPoints,tot_sPointsFromTurnovers,tot_sPointsSecondChance,tot_sPointsFastBreak,tot_sBenchPoints,tot_sPointsInThePaint,tot_sTimeLeading,tot_sBiggestLead,tot_sBiggestScoringRun,tot_sLeadChanges,tot_sTimesScoresLevel,tot_sFoulsTeam,tot_sReboundsTeam,tot_sReboundsTeamDefensive,tot_sReboundsTeamOffensive,tot_sTurnoversTeam,tot_eff_1,tot_eff_2,tot_eff_3,tot_eff_4,tot_eff_5,tot_eff_6,tot_eff_7
2702581,2025-11-21,Caledonia Gladiators,CAL,Leicester Riders,away,79,85,79,24,19,16,20,0,0,5,0,REGULAR,4,referee1: Tahir Akar; referee2: Beyti Ozgur; referee3: Joan Laplana,Jonny Bunyan,199:60,33,65,50,7,25,28,26,40,65,6,8,75,24,5,29,21,11,7,2,0,16,7,16,79,12,6,6,8,36,6.2933333333333,7,9,6,4,0,3,2,1,1,93,2,62.3,241.5,84,93,93
2702582,2025-11-21,Manchester Basketball,MAN,Cheshire Phoenix,home,97,91,97,21,21,23,32,0,0,5,0,REGULAR,4,referee1: Matthew Godsall; referee2: Robert Leszczyk; referee3: Monika Winiarska,Matthew Otten,200:00,33,72,45,7,23,30,26,49,53,24,35,68,32,15,47,17,9,4,7,3,18,25,18,97,15,10,5,32,42,2.3833333333333,9,9,1,7,0,8,3,5,0,113,2,80.1,305.5,117,113,113
2702582,2025-11-21,Cheshire Phoenix,CHE,Manchester Basketball,away,91,97,91,36,21,14,20,0,0,7,0,REGULAR,4,referee1: Matthew Godsall; referee2: Robert Leszczyk; referee3: Monika Winiarska,Ben Thomas,200:00,31,78,39,13,36,36,18,42,42,16,21,76,29,15,44,18,11,7,3,7,25,18,25,91,9,16,6,30,32,34.483333333333,19,7,1,7,0,5,3,2,1,100,2,66.7,207.5,86,100,100
2719735,2025-11-21,Newcastle Eagles,NEW,Surrey 89ers,home,92,89,92,27,28,26,11,0,0,6,0,REGULAR,4,referee1: Paul Walton; referee2: Matthew Armstrong; referee3: Billy Cousins,Marc Steutel,199:60,31,70,44,12,33,36,19,37,51,18,23,78,35,9,44,26,9,3,2,2,21,18,21,92,4,9,14,29,30,34.983333333333,17,10,1,3,0,4,3,1,1,114,2,75.4,277,109,114,0
2719735,2025-11-21,Surrey 89ers,SUR,Newcastle Eagles,away,89,92,89,16,32,18,23,0,0,4,0,REGULAR,4,referee1: Paul Walton; referee2: Matthew Armstrong; referee3: Billy Cousins,Lloyd Gardner,199:60,32,73,43,9,23,39,23,50,46,16,28,57,34,11,45,26,10,6,2,2,19,21,19,89,8,8,15,30,42,3.05,6,8,1,3,0,3,1,2,0,105,2,71.8,277.5,104,105,0
2702583,2025-11-23,London Lions,LON,Newcastle Eagles,home,95,82,95,36,28,16,15,0,0,7,2223,REGULAR,4,referee1: Bob Bhania; referee2: Steve Stredwick; referee3: Jack Davies,Tautvydas Sabonis,199:60,33,64,51,12,22,54,21,42,50,17,22,77,31,12,43,24,17,10,1,3,24,19,24,95,16,16,22,33,42,38.666666666667,23,12,3,1,0,6,5,1,1,120,2,80,283,112,120,120
2702583,2025-11-23,Newcastle Eagles,NEW,London Lions,away,82,95,82,22,20,21,19,0,0,4,2223,REGULAR,4,referee1: Bob Bhania; referee2: Steve Stredwick; referee3: Jack Davies,Marc Steutel,199:60,25,60,41,11,27,40,14,33,42,21,25,84,21,4,25,19,12,9,3,1,19,24,19,82,8,0,24,13,22,0.78333333333333,2,10,3,1,0,2,0,2,0,87,2,62.3,199.5,91,87,87
2702584,2025-11-23,Cheshire Phoenix,CHE,Bristol Flyers,home,111,84,111,32,27,31,21,0,0,4,0,REGULAR,4,referee1: Paul Walton; referee2: Ingus Bankevics; referee3: Matt Reynolds,Ben Thomas,199:60,39,72,54,20,43,46,19,29,65,13,21,61,29,10,39,29,12,10,3,3,17,18,17,111,21,14,32,51,38,38.766666666667,28,9,0,0,0,1,1,0,1,139,2,102.3,368,136,139,139
2702584,2025-11-23,Bristol Flyers,BRI,Cheshire Phoenix,away,84,111,84,21,20,23,20,0,0,6,0,REGULAR,4,referee1: Paul Walton; referee2: Ingus Bankevics; referee3: Matt Reynolds,Andreas Kapoulas,199:60,29,70,41,9,28,32,20,42,47,17,20,85,25,13,38,20,15,6,3,3,18,16,18,84,7,9,14,29,36,0,,6,0,0,0,3,3,0,1,92,2,61.9,219.5,87,92,92
2702586,2025-12-04,Surrey 89ers,SUR,Cheshire Phoenix,home,79,86,79,25,16,16,22,0,0,7,0,REGULAR,4,referee1: Noel Malone; referee2: Steve Stredwick; referee3: Ian Green,Lloyd Gardner,199:60,31,70,44,5,26,19,26,44,59,12,15,80,28,16,44,12,22,7,6,3,21,19,21,79,19,8,2,12,36,5.0166666666667,3,7,12,7,0,7,3,4,0,84,2,50,191.5,79,84,84
2702586,2025-12-04,Cheshire Phoenix,CHE,Surrey 89ers,away,86,79,86,28,15,19,24,0,0,5,0,REGULAR,4,referee1: Noel Malone; referee2: Steve Stredwick; referee3: Ian Green,Ben Thomas,199:60,31,72,43,10,37,27,21,35,60,14,20,70,24,15,39,18,14,14,3,6,19,21,19,86,24,19,18,24,32,31.883333333333,13,7,12,7,0,2,1,1,0,99,2,70.4,237,95,99,99
2702585,2025-12-05,B. Braun Sheffield Sharks,SHE,Newcastle Eagles,home,68,80,68,17,22,18,11,0,0,5,0,REGULAR,4,referee1: Tahir Akar; referee2: Ingus Bankevics; referee3: Monika Winiarska,Atiba Lyons,200:00,26,57,45,2,13,15,24,44,54,14,24,58,34,9,43,15,16,4,7,4,18,19,18,68,8,7,4,40,46,0.71666666666667,2,7,3,3,0,3,2,1,1,80,2,47.2,203,77,80,80
2702585,2025-12-05,Newcastle Eagles,NEW,B. Braun Sheffield Sharks,away,80,68,80,17,27,25,11,0,0,6,0,REGULAR,4,referee1: Tahir Akar; referee2: Ingus Bankevics; referee3: Monika Winiarska,Marc Steutel,200:00,29,77,37,8,30,26,21,47,44,14,17,82,27,16,43,12,6,8,4,7,19,18,19,80,14,16,15,18,36,36.99,14,9,3,3,0,3,0,3,0,90,2,61.4,203,82,90,90
2702587,2025-12-05,Bristol Flyers,BRI,Manchester Basketball,home,78,84,78,17,28,14,19,0,0,6,0,REGULAR,4,referee1: Beyti Ozgur; referee2: Robert Leszczyk; referee3: Andy Broughton,Andreas Kapoulas,199:60,32,69,46,9,27,33,23,42,54,5,14,35,31,8,39,21,12,6,2,3,20,12,20,78,5,0,10,33,42,2.3333333333333,3,8,4,5,0,2,2,0,0,88,2,55.9,214.5,77,88,88
2702587,2025-12-05,Manchester Basketball,MAN,Bristol Flyers,away,84,78,84,28,14,21,21,0,0,3,0,REGULAR,4,referee1: Beyti Ozgur; referee2: Robert Leszczyk; referee3: Andy Broughton,Matthew Otten,199:60,27,67,40,14,26,53,13,41,31,16,26,61,31,12,43,19,13,7,3,2,12,20,12,84,10,3,13,24,24,34.3,13,9,4,5,0,3,2,1,1,93,2,66.2,253,99,93,93
