Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Bristol Hurricanes,55,Vilmantas Dilys,,19,25.1,477.8,239,12.6,96,180,53.3,17,49,34.7,30,78,38.5,37,82,119,30,13,6,27,50,58.1,55.8,22.3,99.0,16.8,3.4,8.1,19.6,13.6,11.7,1.4,1.3,11.2,0.43,2.29,0.43,1.85,80,54,67.5,1,0,0,0,0,0,13,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Reading Rockets,11,Luca Bakary,,4,1.0,4.0,2,0.5,1,2,50.0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,50.0,50.0,22.2,100.0,0.7,0.0,56.5,30.2,43.8,0.0,0.0,0.0,0.0,0.0,2.15,0.63,1.52,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reading Rockets,13,Nick Dent,,4,2.0,8.2,0,0.0,0,1,0.0,0,0,0,0,0,0,1,1,2,0,1,1,1,0,0.0,0.0,10.4,0.0,0.0,0.0,14.1,13.6,13.9,0.0,6.0,14.0,50.0,0.0,2.09,0.19,1.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worthing Thunder,5,Bode Adeluola,,26,23.6,613.3,209,8.0,76,183,41.5,33,94,35.1,24,38,63.2,16,66,82,83,22,2,39,64,50.5,52.3,16.1,87.6,9.5,4.3,2.6,11.6,6.9,19.7,1.7,0.3,16.3,0.21,2.06,-0.15,2.21,30,16,53.3,22,13,59.1,3,1,33.3,24,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Bristol Hurricanes,23,Jules Dang-Akodo,,13,23.3,303.4,128,9.8,41,115,35.7,31,91,34.1,15,21,71.4,1,29,30,22,18,0,15,16,49.1,51.5,20.3,91.9,13.5,9.6,0.3,10.8,5.4,12.2,3.0,0.0,10.8,0.18,2.05,0.12,1.93,8,5,62.5,1,1,100,2,1,50,5,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Reading Rockets,7,Ethan Harrington,,2,0.3,0.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.78,0.2,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worthing Thunder,22,Elijah Maynard,,26,31.7,825.0,329,12.7,127,353,36.0,31,133,23.3,44,71,62.0,38,64,102,54,33,3,34,31,40.4,42.8,21.0,78.7,14.9,6.0,4.5,8.4,6.3,10.0,1.9,0.3,8.1,0.2,1.76,0.54,1.21,54,30,55.6,53,20,37.7,14,4,28.6,15,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemel Storm,21,Veron Eze,,26,17.7,459.1,202,7.8,82,140,58.6,13,40,32.5,25,37,67.6,32,46,78,20,6,10,28,29,63.2,64.6,17.1,109.6,9.7,1.9,8.6,10.0,9.4,6.0,0.6,1.8,15.2,0.26,1.67,1.75,-0.08,71,53,74.6,3,2,66.7,0,0,0,8,14,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Yorkshire Dragons,14,Paul Tew,,1,24.6,24.6,3,3.0,1,4,25.0,0,0,0,1,4,25.0,2,3,5,4,2,0,0,3,25.0,26.0,10.4,52.1,3.9,0.0,8.1,11.4,9.8,23.0,4.2,0.0,0.0,1.0,1.65,-2.16,3.81,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reading Rockets,16,Matthew Daines,,14,1.6,22.8,1,0.1,0,4,0.0,0,3,0.0,1,2,50.0,0,2,2,4,1,0,3,4,0.0,10.2,15.4,12.7,0.1,0.3,0.0,10.5,5.1,21.3,2.3,0.0,38.1,0.5,1.53,-0.14,1.67,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
