Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Worthing Thunder,"D. Evans, M. Bryan-Amaning, E. Maynard, A. Scarborough, B. Adeluola",4,666,19,8,21,38.1,0,7,0,3,5,60,5,9,14,3,1,1,3,2,20,77.6,73.3,81.8,32.7,29.3,38.1,40.9,37.5,55.6,75,10.3,23.8,33.3,93.4,22,8,22,36.4,1,11,9.1,5,6,83.3,3,4,7,2,2,1,2,3,0,38.6,44.6,7.5,25,50,96.9,-3.6,7,5,71.4,0,0,0,0,0,0,0,0,0,0,4,3,75,2,1,50,0,0,0,0,0,0,0
Yorkshire Dragons,"R. Ani, D. Ulph, J. Whelan, J. Mielke, A. Lycoudis",3,586,26,11,21,52.4,2,7,28.6,2,3,66.7,4,6,10,5,3,2,3,6,20,82.5,83.8,81.2,28.6,29.6,57.1,58.2,45.5,44.4,85.7,9.9,14.3,33.3,127,13,5,14,35.7,0,4,0,3,6,50,1,5,6,2,1,1,5,3,0,35.7,39.1,23.1,14.3,28.6,65.6,61.4,12,8,66.7,0,0,0,0,0,0,0,0,0,0,8,5,62.5,0,0,0,0,0,0,0,0,0,0
Yorkshire Dragons,"R. Ani, D. Ulph, J. Mielke, A. Lycoudis, C. Johnson",3,686,18,7,21,33.3,1,10,10,3,3,100,6,9,15,3,2,1,5,2,20,73.8,71.6,76,33.5,31.6,35.7,40.3,42.9,54.5,75,16.5,14.3,47.6,87.9,18,7,18,38.9,1,7,14.3,3,6,50,3,5,8,3,3,0,5,10,0,41.7,43.6,19.5,25,38.9,82.8,5.1,4,4,100,0,0,0,0,0,0,0,0,0,0,8,6,75,0,0,0,0,0,0,0,0,0,0
Bristol Flyers II,"Y. Hafid, L. Ayinla, N. Sagkovits, N. Ladjimi, W. Simba",3,535,16,7,18,38.9,0,3,0,2,4,50,5,5,10,3,1,1,6,4,19,84.8,89.4,80.3,26.8,29.9,38.9,40.5,42.9,45.5,100,20.9,22.2,16.7,80.3,26,10,14,71.4,2,4,50,4,6,66.7,0,6,6,7,5,1,2,2,0,78.6,78.1,10.7,0,28.6,145.3,-65,9,6,66.7,1,0,0,0,0,0,0,0,0,0,8,7,87.5,0,0,0,0,0,0,0,0,0,0
Bristol Flyers II,"Y. Hafid, R. Price, R. Eigbe, N. Ladjimi, E. Ekwegh",6,596,12,5,20,25,2,12,16.7,0,0,0,3,3,6,2,3,0,3,5,19,77.7,77.3,78.1,31.0,30.7,30,30,40,21.4,37.5,12,0,60,62.5,26,11,18,61.1,0,3,0,4,5,80,5,11,16,7,2,2,5,2,0,61.1,64.4,19.8,62.5,16.7,134.1,-71.6,2,1,50,1,1,100,2,0,0,0,0,0,0,7,5,71.4,4,3,75,0,0,0,0,0,0,0
Bristol Flyers II,"Y. Hafid, J. Craggs, N. Ladjimi, T. Browne, E. Ekwegh",3,623,14,3,18,16.7,2,10,20,6,7,85.7,3,4,7,1,1,0,2,4,19,70.8,74.3,67.3,32.3,35.7,22.2,33.2,33.3,23.1,33.3,8.3,38.9,55.6,72.6,24,10,21,47.6,1,6,16.7,3,5,60,8,10,18,4,1,0,3,5,0,50,51.7,11.5,66.7,28.6,137.4,-64.7,3,1,33.3,1,0,0,0,0,0,0,0,0,0,8,4,50,1,1,100,0,0,0,0,0,0,0
Derby Trailblazers,"C. Burr, C. Washington, R. Marsden, C. Brown, R. May-Thompson",4,601,17,7,19,36.8,3,6,50,0,0,0,1,6,7,6,1,1,2,10,19,79.1,76.7,81.6,31.3,29.4,44.7,44.7,85.7,9.1,75,7.4,0,31.6,88.5,25,7,16,43.8,3,9,33.3,8,12,66.7,2,10,12,5,1,2,2,1,0,53.1,58.7,8.6,25,56.2,122.4,-33.8,8,4,50,1,0,0,0,0,0,0,0,0,0,3,3,100,1,0,0,0,0,0,0,0,0,0
Essex Rebels,"K. Martin, R. Udeh, I. Temilola, T. Child, B. Winter",2,591,22,8,18,44.4,4,7,57.1,2,6,33.3,2,6,8,6,3,0,2,7,19,80.5,80.5,80.5,29.8,29.8,55.6,53.3,75,20,75,7,33.3,38.9,111,19,7,14,50,2,6,33.3,3,6,50,2,8,10,4,1,2,6,4,0,57.1,57.1,26.5,25,42.9,95.9,15.1,9,4,44.4,1,0,0,0,0,0,0,0,0,0,6,3,50,1,1,100,0,0,0,0,0,0,0
Essex Rebels,"D. Johnson-Thompson, R. Udeh, M. Brown, A. Idiata-Mendez, T. Child",3,625,23,9,23,39.1,4,10,40,1,2,50,5,7,12,7,2,1,1,4,19,71.4,73.3,69.6,32.7,34.5,47.8,48.2,77.8,38.5,77.8,3.1,8.7,43.5,120.5,19,7,17,41.2,4,6,66.7,1,2,50,2,8,10,3,1,1,3,3,0,52.9,53.1,14.4,22.2,35.3,104.8,15.7,7,4,57.1,1,0,0,0,0,0,0,0,0,0,7,3,42.9,1,0,0,0,0,0,0,0,0,0
Essex Rebels,"R. Udeh, M. Brown, T. Child, H. Gent, Chrishon Briggs",1,610,26,10,18,55.6,3,10,30,3,4,75,1,9,10,7,4,1,2,2,19,80.5,78.4,82.6,30.6,29.0,63.9,65.8,70,12.5,75,7,22.2,55.6,130.5,11,4,17,23.5,1,6,16.7,2,2,100,3,7,10,1,1,1,7,4,0,26.5,30.8,28.1,25,35.3,52.4,78.1,6,5,83.3,1,1,100,0,0,0,0,0,0,0,6,3,50,1,0,0,0,0,0,0,0,0,0
