Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Newcastle Knights,Jaron Thames,11,Jaron Thames; J Thames,26,38.4,999.1,673.0,25.9,255.0,455.0,56,33.0,103.0,32,130.0,162.0,80.2,52.0,147.0,199.0,102.0,44.0,10.0,64.0,42.0,516.7,25.6,33.5,5.1,9.9,259,932.0,35.8,46.3,75,5.8,55,20,58.8,68.8,13,5.57,2.52,3.05,3.2,1.7,185.0,132.0,71.4,24.0,18.0,75,2.0,1.0,50,23.0,33.0,0.0,8.0,82.0,170.0,159.0
Worthing Thunder,Justin Hopkins,15,Justin Hopkins,26,35.3,918.9,630.0,24.2,222.0,438.0,50.7,41.0,121.0,33.9,145.0,192.0,75.5,41.0,105.0,146.0,54.0,35.0,6.0,60.0,55.0,519.8,27.4,33.4,2.9,7.7,118,748.0,28.8,39.6,41,3.7,39,20,42.9,49.8,11,3.42,0.12,3.3,3.1,1.5,193.0,131.0,67.9,18.0,8.0,44.4,4.0,0.0,0,17.0,21.0,0.0,22.0,56.0,185.0,114.0
Reading Rockets,Victor Olarerin,8,Victor Olarerin,26,31.2,810.6,488.0,18.8,188.0,404.0,46.5,44.0,158.0,27.8,68.0,79.0,86.1,60.0,87.0,147.0,68.0,57.0,7.0,51.0,55.0,412.6,27.1,31.9,4.5,9.6,154,642.0,24.7,42.0,42,3.8,36,5,55.0,41.2,11,6.91,0.75,6.15,2.8,2.8,126.0,85.0,67.5,3.0,1.0,33.3,6.0,3.0,50,21.0,26.0,0.0,4.0,88.0,142.0,130.0
Birmingham Rockets,Zack Powell,14,Zack Powell,26,30.4,789.2,481.0,18.5,176.0,375.0,46.9,27.0,83.0,32.5,102.0,134.0,76.1,33.0,98.0,131.0,126.0,38.0,8.0,77.0,53.0,458.8,29.1,30.4,8.0,8.3,258,739.0,28.4,46.8,13,1.4,21,12,24.7,27.3,9,3.91,-1.52,5.44,2.4,1.9,109.0,81.0,74.3,53.0,22.0,41.5,1.0,0.0,0,27.0,41.0,0.0,9.0,38.0,129.0,88.0
London Cavaliers,Juan Manning,10,Juan Manning,26,34.4,894.4,479.0,18.4,167.0,361.0,46.3,89.0,202.0,44.1,56.0,70.0,80,18.0,82.0,100.0,108.0,22.0,10.0,83.0,45.0,438.5,25.5,27.9,6.3,5.8,257,736.0,28.3,42.9,34,4.2,29,0,58.6,34.0,8,3.23,0.99,2.24,2.1,1.6,85.0,49.0,57.6,21.0,12.0,57.1,7.0,6.0,85.7,48.0,30.0,1.0,4.0,50.0,114.0,74.0
Derby Trailblazers,Jai Pathmarajah,22,Jai Pathmarajah,26,32.4,842.3,457.0,17.6,179.0,388.0,46.1,30.0,82.0,36.6,69.0,95.0,72.6,21.0,75.0,96.0,124.0,50.0,9.0,62.0,61.0,452.0,27.9,28.1,7.6,5.9,268,725.0,27.9,44.5,30,2.7,29,9,45.5,40.0,11,1.27,-2.23,3.5,1.9,2.5,148.0,91.0,61.5,37.0,20.0,54.1,2.0,1.0,50,30.0,23.0,0.0,9.0,46.0,142.0,99.0
Loughborough Riders,Jalen Cook,12/21/31/7,Jalen Cook,26,29.3,762.3,457.0,17.6,166.0,378.0,43.9,77.0,218.0,35.3,48.0,56.0,85.7,25.0,81.0,106.0,44.0,21.0,8.0,27.0,32.0,388.5,25.7,30.2,2.9,7.0,178,635.0,24.4,42.0,18,2.2,27,5,30.8,33.2,8,3.08,0.56,2.52,3.0,2.5,55.0,36.0,65.5,33.0,23.0,69.7,10.0,4.0,40,7.0,15.0,0.0,5.0,36.0,119.0,89.0
Birmingham Rockets,Ronald Blain,0,Ronald Blain,26,33.4,867.5,449.0,17.3,180.0,326.0,55.2,21.0,67.0,31.3,68.0,114.0,59.6,36.0,129.0,165.0,101.0,50.0,15.0,59.0,53.0,383.2,22.1,25.8,5.8,9.5,225,674.0,25.9,38.8,42,3.5,29,15,59.0,43.6,12,5.25,-1.68,6.93,2.9,2.4,165.0,115.0,69.7,15.0,4.0,26.7,0.0,0.0,0,25.0,22.0,0.0,12.0,41.0,122.0,70.0
London Cavaliers,Daniel Braster,23,Daniel Braster,26,28.9,752.2,439.0,16.9,184.0,371.0,49.6,23.0,77.0,29.9,48.0,75.0,64,63.0,164.0,227.0,60.0,25.0,14.0,77.0,46.0,401.3,27.8,30.4,4.2,15.7,143,582.0,22.4,40.3,27,3.0,24,4,52.4,31.8,9,1.79,-1.42,3.21,4.1,2.6,159.0,106.0,66.7,40.0,23.0,57.5,1.0,0.0,0,31.0,26.0,0.0,20.0,65.0,77.0,82.0
Derby Trailblazers,Sean Mo Walker,3,S Walker; Sean Mo Walker,26,25.1,652.6,411.0,15.8,175.0,288.0,60.8,19.0,47.0,40.4,42.0,64.0,65.6,74.0,154.0,228.0,60.0,13.0,19.0,54.0,57.0,284.3,22.6,32.6,4.8,18.1,133,544.0,20.9,43.1,48,3.7,30,6,73.5,40.6,13,4.94,1.12,3.82,5.0,1.8,174.0,125.0,71.8,7.0,0.0,0,0.0,0.0,0,19.0,27.0,0.0,8.0,98.0,23.0,60.0
