Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
London Cavaliers,"Aj Roberts, Daniel Braster, Juan Manning, Marquel Beasley, Mekhi Collins",25,20456,174.6,782,307,629,48.8,97,233,41.6,71,119,59.7,107,255,362,160,44,32,117,95,664,76.8,77.9,75.7,30.8,31.7,56.5,57.4,52.1,35.2,78.2,12.2,18.9,37,117.8,689,273,629,43.4,87,262,33.2,56,82,68.3,71,197,268,152,64,17,78,114,645,50.3,51.8,10.5,21.8,41.7,106.8,243,148,60.9,47,23,48.9,12,10,83.3,0,0,0,0,11,221,131,59.3,38,23,60.5,4,3,75,0,0,0,0,102,149,105,77,138,93
Birmingham Rockets,"Eric Donaldson, Lucas Mcgregor, Luke Okosieme, Ronald Blain, Zack Powell",22,16512,186.1,555,212,465,45.6,43,127,33.9,88,142,62,60,219,279,149,47,31,104,74,549,79.1,79.7,78.6,30.1,30.6,50.2,52.6,70.3,23.6,74,13.3,30.5,27.3,101.2,524,202,518,39,71,225,31.6,49,75,65.3,77,194,271,122,56,21,89,119,540,45.8,47.5,13.9,26,43.4,97,153,101,66,45,17,37.8,2,1,50,0,0,0,0,4.2,142,71,50,37,16,43.2,3,1,33.3,0,0,0,0,57,135,79,87,86,108
Derby Trailblazers,"Charlie Brown, Connor Washington, Jai Pathmarajah, Raheem May-Thompson, Sean Mo Walker",20,14679,168.2,559,221,433,51,55,127,43.3,62,91,68.1,52,175,227,142,56,17,79,59,480,77.8,78.5,77.2,30.6,31.1,57.4,59.1,64.3,25.2,79.5,11.4,21,29.3,116.4,509,202,434,46.5,69,180,38.3,36,52,69.2,45,154,199,120,47,16,80,96,472,54.5,55.7,14.9,20.5,41.5,107.8,176,124,70.5,38,18,47.4,3,2,66.7,0,0,0,0,8.7,129,84,65.1,35,17,48.6,6,1,16.7,0,0,0,0,71,94,95,42,91,93
Milton Keynes Breakers,"Chase Thompson, Dashawn Jackson, Jonas Dietrich, Jordan Spencer, Xavier Wilson",19,13196,126.9,519,202,429,47.1,66,168,39.3,49,71,69,64,169,233,144,36,26,53,63,431,77.9,78.4,77.5,30.6,31.0,54.8,56.4,71.3,30.6,75.1,8.1,16.6,39.2,120.3,421,163,397,41.1,56,159,35.2,39,65,60,56,145,201,101,40,20,74,72,426,48.1,49.5,14.8,24.9,40.1,98.9,132,84,63.6,47,18,38.3,17,8,47.1,0,0,0,0,21.5,103,61,59.2,46,15,32.6,20,6,30,0,0,0,0,84,99,85,59,72,56
Hemel Storm,"Brayden Inger, Darien Nelson-Henry, Kai Walker, Matt Norman, Sam Newman",10,7837,73.1,334,141,249,56.6,34,83,41,18,24,75,31,103,134,80,32,7,46,38,264,79.7,80.7,78.7,29.7,30.5,63.5,64.3,56.7,31.3,78,11.9,9.6,33.3,126.7,258,101,240,42.1,27,90,30,29,38,76.3,29,68,97,47,31,7,40,31,257,47.7,50.2,13.5,22,37.5,100.4,103,76,73.8,9,5,55.6,2,2,100,0,0,0,0,26.3,72,42,58.3,14,7,50,3,2,66.7,0,0,0,0,45,58,43,27,43,46
Yorkshire Dragons,"Corey Johnson, David Ulph, Jack Melke, Jordan Whelan, Nick Lewis",7,7363,39.5,280,104,240,43.3,35,106,33,37,52,71.2,41,90,131,63,30,12,37,48,249,82.2,81,83.4,29.6,28.8,50.6,53.3,60.6,31.5,75,10.2,21.7,44.2,112.7,255,95,223,42.6,29,87,33.3,36,49,73.5,30,89,119,60,19,8,52,48,256,49.1,52.1,17.5,25,39,99.6,100,57,57,4,2,50,2,0,0,0,0,0,0,13,75,52,69.3,15,6,40,1,0,0,0,0,0,0,46,50,54,26,23,33
Reading Rockets,"Cooper Creek, Eliaz (Zain) Poorman, Jax Bouknight, Ty Nsangu, Victor Olarerin",19,7647,90.9,291,116,240,48.3,33,88,37.5,26,36,72.2,53,76,129,74,36,11,46,40,239,73.6,75,72.3,32.0,33.2,55.2,56.9,63.8,44.5,76.8,12.2,15,36.7,121.8,224,89,205,43.4,37,91,40.7,9,9,100,23,66,89,56,23,6,54,37,230,52.4,53.6,20.5,23.2,44.4,97.2,83,50,60.2,6,2,33.3,2,1,50,0,0,0,0,24.6,49,27,55.1,7,4,57.1,3,2,66.7,0,0,0,0,49,61,64,17,40,56
Nottingham Hoods,"Byrce Johnson, Donell Nixon Ii, Elliot Bailey, Sam Akano, Tyrone Williams",12,6296,10.6,300,113,206,54.9,35,83,42.2,39,55,70.9,28,73,101,64,29,11,32,47,225,86.2,85.7,86.7,28.0,27.7,63.3,65.2,56.6,30.4,75.3,9.8,26.7,40.3,133.4,229,91,192,47.4,16,61,26.2,31,50,62,24,64,88,64,20,4,47,46,228,51.6,53.5,18,24.7,31.8,100.7,75,55,73.3,2,1,50,0,0,0,0,0,0,0,32.8,69,46,66.7,3,1,33.3,0,0,0,0,0,0,0,29,73,64,24,38,26
Worthing Thunder,"Danny Evans, Elijah Maynard, Elliott Dadds, Justin Hopkins, Matthew Bryan-Amaning",17,6319,25.1,227,94,204,46.1,18,62,29,21,35,60,21,61,82,44,20,6,27,30,216,83.2,82.2,84.2,29.2,28.5,50.5,51.7,46.8,19.8,64.9,9.3,17.2,30.4,104.9,253,98,204,48,26,67,38.8,31,41,75.6,33,85,118,67,19,8,42,35,222,54.4,57,15.9,35.1,32.8,114.1,77,50,64.9,11,5,45.5,2,0,0,0,0,0,0,-9.2,81,54,66.7,9,4,44.4,2,0,0,0,0,0,0,19,38,45,34,47,31
Newcastle Knights,"Bradley Dean, Hafeez Abdul, Jaron Thames, Messiah Jones, Sam Trunley",5,6668,52.9,248,91,200,45.5,39,105,37.1,27,35,77.1,24,67,91,58,18,5,29,33,212,76.2,76.2,76.3,31.5,31.5,55.2,57.6,63.7,25,68.4,9.6,17.5,52.5,117.2,232,92,192,47.9,20,76,26.3,28,47,59.6,31,72,103,53,15,6,39,32,212,53.1,54.5,15.5,31.6,39.6,109.5,37,27,73,7,6,85.7,1,1,100,0,0,0,0,7.7,69,50,72.5,4,1,25,0,0,0,0,0,0,0,23,33,41,36,26,26
