Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
London Cavaliers,"Joe Richards, Daniel Delsol-Lowry, Mekhi Collins, Aj Roberts, Aaron Pyne","London Cavaliers|11,12,13,4,7",1,0.6,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
Hemel Storm,"Darien Nelson-Henry, Taylor Johnson, Matt Norman, Di-Jani Parkinson, Brayden Inger","Hemel Storm|10,12,2,23,3",1,0.5,28.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.0,0.0,208.3,-208.3,0.0,-4
Yorkshire Dragons,"David Ulph, Logan Rooney, J. Melke, Andreas Lycoudis, Corey Johnson","Yorkshire Dragons|10,14,5,7,9",1,0.5,32.0,2,0,1,0.0,0,1,0.0,2,2,100.0,0,0,0,0,0,0,0,0,2,1.8,110.8,53.7,57.1,3.75,0
Worthing Thunder,"Danny Evans, Matthew Bryan-Amaning, Justin Hopkins, Adrian Scarborough, Bode Adeluola","Worthing Thunder|0,11,15,4,5",1,0.5,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0
Essex Rebels,"Kyron Martin, Remy Udeh, Miles Brown, Tom Child, Harry Gent","Essex Rebels|10,14,2,22,36",1,0.5,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0
Milton Keynes Breakers,"Dashawn Jackson, Luke Gregory, Mike New Jr., Jordan Spencer, Blayne Freckleton","Milton Keynes Breakers|1,13,15,23,7",2,0.5,27.0,2,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,208.3,0.0,208.3,4.44,2
Milton Keynes Breakers,"Jonas Dietrich, Xavier Wilson, Jordan Spencer, Blayne Freckleton, Chase Thompson","Milton Keynes Breakers|12,21,23,7,8",1,0.5,29.0,2,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,208.3,0.0,208.3,4.14,2
Hemel Storm,"Mergim Sokoli, Veron Eze, Brayden Inger, Sam Newman, Jovan Rai","Hemel Storm|0,21,3,4,5",1,0.5,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0.0,208.3,-208.3,0.0,-2
Birmingham Rockets,"Orlan Jackman, Zack Powell, Lucas Mcgregor, Faaris Mughaal, Martyn Gayle","Birmingham Rockets|13,14,6,7,8",1,0.5,28.0,2,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,208.3,0.0,208.3,4.29,2
Milton Keynes Breakers,"Dashawn Jackson, Mike New Jr., Jordan Spencer, Blayne Freckleton, Chase Thompson","Milton Keynes Breakers|1,15,23,7,8",1,0.5,31.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
Essex Rebels,"Michael Amako, Isaac Temilola, Miles Brown, Tom Child, Ben Winter","Essex Rebels|1,15,2,22,5",1,0.5,29.0,2,0,0,0,0,0,0,2,2,100.0,0,0,0,0,0,0,0,0,0,0.8,236.7,0.0,236.7,4.14,2
