league,season,team,team_abbrev,player_name,Nationality,height,position,age,GP,MIN,PTS,FGM,FGA,FG_pct,ThreePM,ThreePA,ThreeP_pct,FTM,FTA,FT_pct,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PPG,MPG,RPG,APG,SPG,BPG,TOPG,FPG,MIN_pct,POSS,PACE_EST,PTS_per100,AST_per100,REB_per100,OREB_per100,DREB_per100,STL_per100,BLK_per100,TOV_per100,FGA_per100,FTA_per100,ThreePA_per100,ThreePM_per100,PF_per100,TS_pct,eFG_pct,TS_pct_calc,eFG_pct_calc,TM_TS_pct,ThreePA_rate,FT_rate,Total_S_pct,ORB_pct,DRB_pct,TRB_pct,AST_pct,TOV_pct,TOV_pct_calc,STL_pct,BLK_pct,USG_pct,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,AST_TO,AST_ratio,OREB_ratio,DREB_ratio,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_FT,GmSc,GmSc_per_game,BPM,OBPM,DBPM,VORP,Linear_BPM,BPM_Mode,Position_Est,Off_Role_Est,player_url,team_url
SLB,2025-2026,London Lions,,Aaryndeep Rai,,,,,1,26.1,7.0,3.0,5.0,60.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,7.0,1.0,2.0,3.0,2.0,3.0,7.0,26.1,7.0,1.0,2.0,3.0,2.0,3.0,65.3,48.3,48.3,14.5,2.1,14.5,6.2,8.3,4.1,6.2,4.1,10.3,2.1,2.1,2.1,6.2,64.3,70.0,64.3,70.0,58.3,20.0,0.2,140.0,14.8,18.1,16.5,5.9,26.9,26.9,4.1,12.7,13.6,0.4,1.4,211.2,97.9,113.3,11.4,8.8,0.5,11.8,42.9,57.1,57.1,42.9,0.0,9.2,9.2,0.0,0.0,0.0,0.0,0.0,none,3.3,4.0,,
SLB,2025-2026,Cheshire Phoenix,,Patrick Robinson,,,,,32,837.5,641.0,218.0,381.0,57.2,29.0,69.0,0.0,176.0,241.0,0.0,44.0,87.0,131.0,142.0,29.0,4.0,68.0,53.0,20.03125,26.171875,4.09375,4.4375,0.90625,0.125,2.125,1.65625,65.4,1757.2,54.9,36.5,8.1,7.5,2.5,5.0,1.7,0.2,3.9,21.7,13.7,3.9,1.7,3.0,65.8,61.0,65.8,61.0,57.7,18.1,0.633,168.2,5.6,11.6,8.5,29.1,12.3,12.3,1.7,0.4,28.0,1.2,1.7,226.9,108.1,118.8,454.6,14.1,2.09,20.4,33.6,66.4,59.0,13.6,27.5,534.4,16.7,6.8,6.5,0.3,2.2,13.1,position (auto),2.3,2.7,,
SLB,2025-2026,London Lions,,Chaundee Brown Jr,,,,,20,471.6,256.0,98.0,173.0,56.6,31.0,75.0,0.0,29.0,38.0,0.0,18.0,63.0,81.0,24.0,10.0,3.0,12.0,37.0,12.8,23.580000000000002,4.05,1.2,0.5,0.15,0.6,1.85,59.0,873.2,43.7,29.3,2.7,9.3,2.1,7.2,1.1,0.3,1.4,19.8,4.4,8.6,3.6,4.2,67.5,65.6,67.5,65.6,58.3,43.4,0.22,148.0,4.9,15.8,10.6,9.2,5.9,5.9,1.1,0.7,20.5,0.7,1.5,251.8,97.9,153.9,183.8,9.7,2.0,10.6,22.2,77.8,52.3,36.3,11.3,204.1,10.2,7.1,4.9,2.2,1.3,11.7,position (team),3.2,4.6,,
SLB,2025-2026,Surrey 89ers,,Kino Lily Jr,,,,,35,1213.9,638.0,230.0,498.0,46.2,128.0,282.0,0.0,50.0,62.0,0.0,18.0,69.0,87.0,149.0,38.0,1.0,67.0,39.0,18.228571428571428,34.682857142857145,2.4857142857142858,4.257142857142857,1.0857142857142856,0.02857142857142857,1.9142857142857144,1.1142857142857143,86.7,2403.2,68.7,26.5,6.2,3.6,0.7,2.9,1.6,0.0,2.8,20.7,2.6,11.7,5.3,1.6,60.7,59.0,60.7,59.0,57.1,56.6,0.124,128.1,1.7,6.2,4.1,20.0,11.3,11.3,1.6,0.1,21.8,0.8,1.3,192.9,111.5,81.4,412.5,8.2,2.22,20.1,20.7,79.3,32.0,60.2,7.8,470.3,13.4,2.2,3.8,-1.5,1.6,10.3,position (auto),2.2,3.7,,
SLB,2025-2026,London Lions,,Joel Scott,,,,,25,579.3,325.0,119.0,217.0,54.8,20.0,48.0,0.0,67.0,90.0,0.0,61.0,78.0,139.0,28.0,16.0,8.0,24.0,55.0,13.0,23.171999999999997,5.56,1.12,0.64,0.32,0.96,2.2,57.9,1072.6,42.9,30.3,2.6,13.0,5.7,7.3,1.5,0.7,2.2,20.2,8.4,4.5,1.9,5.1,63.3,59.4,63.3,59.4,58.3,22.1,0.415,149.8,13.5,15.9,14.8,8.7,8.6,8.6,1.5,1.5,23.2,0.7,1.5,240.7,97.9,142.8,248.5,10.6,1.17,9.1,43.9,56.1,60.9,18.5,20.6,272.8,10.9,6.3,4.5,1.8,1.5,10.7,position (auto),3.5,4.7,,
SLB,2025-2026,London Lions,,Tarik Phillip,,,,,34,681.2,321.0,106.0,244.0,43.4,31.0,98.0,0.0,78.0,102.0,0.0,23.0,95.0,118.0,123.0,43.0,3.0,59.0,62.0,9.441176470588236,20.03529411764706,3.4705882352941178,3.6176470588235294,1.2647058823529411,0.08823529411764706,1.7352941176470589,1.8235294117647058,50.1,1261.3,37.1,25.4,9.8,9.4,1.8,7.5,3.4,0.2,4.7,19.3,8.1,7.8,2.5,4.9,55.6,49.8,55.6,49.8,58.3,40.2,0.418,131.6,4.3,16.5,10.7,29.7,17.0,17.0,3.4,0.5,24.4,0.9,1.3,184.1,97.9,86.2,273.0,8.8,2.08,26.1,19.5,80.5,46.7,29.0,24.3,275.0,8.1,6.5,2.3,4.1,1.8,10.6,position (auto),2.5,3.6,,
SLB,2025-2026,Leicester Riders,,Donald Carey Jr,,,,,16,516.3,259.0,81.0,183.0,44.3,32.0,85.0,0.0,65.0,73.0,0.0,13.0,59.0,72.0,114.0,28.0,0.0,63.0,28.0,16.1875,32.26875,4.5,7.125,1.75,0.0,3.9375,1.75,80.7,1021.2,63.8,25.4,11.2,7.1,1.3,5.8,2.7,0.0,6.2,17.9,7.1,8.3,3.1,2.7,60.2,53.0,60.2,53.0,56.5,46.4,0.399,141.5,2.9,12.7,7.9,38.2,22.7,22.7,2.7,0.0,24.4,1.1,1.4,172.8,110.7,62.1,216.6,9.1,1.81,29.1,18.1,81.9,37.8,37.1,25.1,220.5,13.8,3.0,2.5,0.5,0.8,10.2,position (team),2.0,2.8,,
SLB,2025-2026,Newcastle Eagles,,Ray'sean Taylor,,,,,35,1033.8,626.0,203.0,441.0,46.0,71.0,211.0,0.0,149.0,186.0,0.0,28.0,131.0,159.0,163.0,53.0,3.0,73.0,92.0,17.885714285714286,29.537142857142857,4.542857142857143,4.6571428571428575,1.5142857142857142,0.08571428571428572,2.085714285714286,2.6285714285714286,73.8,2116.2,60.5,29.6,7.7,7.5,1.3,6.2,2.5,0.1,3.4,20.8,8.8,10.0,3.4,4.3,59.9,54.1,59.9,54.1,56.0,47.8,0.422,142.0,2.9,15.3,8.8,28.1,12.3,12.3,2.5,0.3,25.9,1.0,1.4,180.1,109.2,70.9,451.8,10.7,2.23,21.5,17.6,82.4,42.2,34.0,23.8,502.0,14.3,4.1,3.5,0.6,1.9,11.7,position (auto),2.5,3.0,,
SLB,2025-2026,B. Braun Sheffield Sharks,,Dirk Williams,,,,,35,1112.8,520.0,192.0,405.0,47.4,85.0,211.0,0.0,51.0,70.0,0.0,15.0,122.0,137.0,98.0,34.0,29.0,52.0,60.0,14.857142857142858,31.794285714285714,3.914285714285714,2.8,0.9714285714285714,0.8285714285714286,1.4857142857142858,1.7142857142857142,79.5,2154.6,61.6,24.1,4.5,6.4,0.7,5.7,1.6,1.3,2.4,18.8,3.2,9.8,3.9,2.8,59.7,57.9,59.7,57.9,56.7,52.1,0.173,128.4,1.6,12.6,7.2,14.8,10.7,10.7,1.6,2.8,20.3,0.7,1.3,186.7,107.8,78.9,375.5,7.9,1.88,16.7,10.9,89.1,41.2,49.0,9.8,399.7,11.4,2.7,2.3,0.4,1.6,10.2,position (auto),2.7,4.2,,
SLB,2025-2026,Manchester Basketball,,Patrick Smith Jr,,,,,35,923.5,484.0,165.0,359.0,46.0,80.0,192.0,0.0,74.0,86.0,0.0,31.0,102.0,133.0,125.0,36.0,6.0,61.0,57.0,13.82857142857143,26.385714285714286,3.8,3.5714285714285716,1.0285714285714285,0.17142857142857143,1.7428571428571429,1.6285714285714286,66.0,1863.5,53.2,26.0,6.7,7.1,1.7,5.5,1.9,0.3,3.3,19.3,4.6,10.3,4.3,3.1,61.0,57.1,61.0,57.1,56.9,53.5,0.24,134.8,3.8,11.9,7.9,21.5,13.3,13.3,1.9,0.6,21.9,0.9,1.3,191.0,107.9,83.1,367.5,9.4,2.05,21.4,23.3,76.7,35.1,49.6,15.3,390.1,11.1,4.1,3.6,0.4,1.7,10.6,position (auto),2.5,3.7,,
