# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 200
# Qualified players exported: 129
# Total stints used: 6630
# Garbage time stints excluded: 266
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
Košice Wolves,3,Todd Jacob Wolfe,1327,-4.2,2.52,-1.68
Nitra Blue Wings,4,Jordan Lamont Jones,2514,-1.64,-0.06,-1.71
MBK Baník Handlová,11,Jordan Lamont Harris,1499,-2.33,0.57,-1.76
BC Komárno,7,Martin Pospišil,946,-1.53,-0.25,-1.78
Spišskí Rytieri,88,Andrija Drašković,278,-0.64,-1.21,-1.84
BKM Mimel Lučenec,0,Donavan Ashley Yap Jr,1209,-0.79,-1.09,-1.88
Košice Wolves,33,Filip Halada,2077,-0.03,-1.92,-1.95
Spišskí Rytieri,12,Matej Zuščák,329,-1.84,-0.24,-2.08
Košice Wolves,32,David Lee Early,392,-0.6,-1.52,-2.13
BKM Mimel Lučenec,6,Shaun Gregory Willett,862,-1.63,-0.53,-2.16
BC Prievidza,24,Bonke Robert Maring,816,-0.2,-2.04,-2.24
MBK Baník Handlová,0,Austin Calvin Johnson,325,-2.64,0.37,-2.27
BC Prievidza,5,James Edward Bishop Iv,927,-3.61,1.32,-2.29
BC Prievidza,55,Jaaden Allister Luke Lewis,481,-3.15,0.77,-2.38
Iskra Svit,98,Maishe Ramel Dailey,927,-3.05,0.62,-2.43
MBK Baník Handlová,71,Jeremy Lamar Mc Laughlin,1182,-0.04,-2.41,-2.44
BC Prievidza,10,Dávid Novák,1236,-4.32,1.63,-2.69
Nitra Blue Wings,77,Lukáš Bolek,2092,-1.46,-1.29,-2.76
Iskra Svit,5,Avery Kordell Sullivan,1141,-0.84,-2.04,-2.87
Iskra Svit,15,Július Matušek,1439,-0.51,-2.49,-3.0
Košice Wolves,25,Myles Derek Howard,767,-3.02,-0.07,-3.09
MBK Baník Handlová,24,Juraj Láštic,1167,-2.57,-0.62,-3.18
MBK Baník Handlová,9,Nemanja Nikolić,250,-0.88,-2.42,-3.3
Iskra Svit,0,Donavan Ashley Yap Jr,540,-3.07,-0.31,-3.38
Patrioti Levice,3,Patrik Pažický,1223,-1.68,-1.72,-3.4
Nitra Blue Wings,95,Michael Fusek,601,-3.14,-0.28,-3.42
BC Komárno,3,Tyron Desean Henry,503,-1.88,-1.6,-3.48
BC Prievidza,25,Fahro Alihodzic,466,-2.73,-0.79,-3.52
Patrioti Levice,47,Alex Krajčovič,329,-2.57,-1.07,-3.65
