Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
Nitra Blue Wings,"Jordan Lamont Jones, Lukáš Bolek, Maroš Šimko, Radoslav Teličák, Tristan Ekong Ikpe",1,38,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,121.3,121.3,121.3,19.8,19.8,0,0,0,0,0,50,0,0,0,5,2,2,100,1,1,100,0,0,0,0,1,1,1,1,1,0,0,2,125,125,0,0,50,260.4,1,0,0,0,0,0,0,0,0,0,0,0,0,-260.4,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
BC Slovan Bratislava,"Christian Tyler James, Lester Fezell Medford Jr, Matej Majerčák, Raynere Zynique Thornton, Tomáš Pavelka",2,95,0.0,3,1,2,50,1,2,50,0,0,0,0,2,2,1,0,0,0,0,2,59.2,48.5,69.8,49.5,34.4,75,75,100,0,100,0,0,100,156.2,3,1,2,50,1,1,100,0,2,0,0,1,1,0,0,0,0,0,3,75,52.1,0,0,50,108.5,0,0,0,0,0,0,0,0,0,0,0,0,0,47.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBK Baník Handlová,"Djimon Tyler Henson, Jakub Petráš, Jordan Lamont Harris, Peter Kováčik, Viliam Ďurečko",1,78,0.0,4,1,1,100,0,0,0,2,3,66.7,0,2,2,1,0,0,0,0,2,78.6,68.5,88.6,35.0,27.1,100,86.2,100,0,100,0,300,0,179.6,3,1,3,33.3,1,2,50,0,0,0,0,1,1,1,0,0,0,2,3,50,50,0,0,66.7,104.2,1,1,100,0,0,0,0,0,0,0,0,0,0,75.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Košice Wolves,"Dmytro Sokolovskyi (*hgp), Jalen Makanaokeakua Gaffney, Myles Derek Howard, Oleksandr Peresunko, Róbert Seman",1,82,0.0,2,1,2,50,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,76.4,68.6,84.3,35.0,28.5,50,41,0,0,0,0,50,0,85.4,4,2,2,100,0,0,0,0,0,0,0,2,2,1,0,0,1,1,3,100,100,33.3,0,0,138.9,0,0,0,2,1,50,0,0,0,0,0,0,0,-53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Komárno,"Adeniyi Gabriel Olabode, Carrington Roderick Wiggins, Martin Pospišil, Máté Balogh, Tyler Terell Millin",1,70,0.0,5,2,2,100,1,1,100,0,0,0,0,0,0,1,0,1,0,0,2,65.8,65.8,65.8,36.5,36.5,125,125,50,0,0,0,0,50,260.4,3,1,2,50,1,1,100,0,0,0,0,0,0,1,0,0,0,0,2,75,75,0,0,50,156.2,0,0,0,1,1,100,0,0,0,0,0,0,0,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Košice Wolves,"Adam Monček, Dmytro Sokolovskyi (*hgp), Filip Halada, Myles Derek Howard, Oleksandr Peresunko",1,91,0.0,0,0,3,0,0,2,0,0,0,0,1,1,2,0,0,0,0,0,2,63.3,50.6,76,47.4,31.6,0,0,0,33.3,100,0,0,66.7,0,2,1,2,50,0,0,0,0,0,0,0,2,2,0,0,0,1,1,3,50,50,33.3,0,0,69.4,0,0,0,1,0,0,0,0,0,0,0,0,0,-69.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Košice Wolves,"Adam Monček, Alex Nagy, Dmytro Sokolovskyi (*hgp), Filip Halada, Jalen Makanaokeakua Gaffney",1,52,0.0,0,0,2,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,2,88.6,88.6,88.6,27.1,27.1,0,0,0,0,66.7,0,0,50,0,0,0,3,0,0,1,0,0,0,0,1,2,3,0,0,0,0,1,2,0,0,0,33.3,33.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Komárno,"Adeniyi Gabriel Olabode, Corey Kaydon Mckeithan, Máté Balogh, Samuel Volárik, Tyler Terell Millin",1,52,0.0,0,0,3,0,0,1,0,0,0,0,1,2,3,0,0,0,0,1,2,88.6,88.6,88.6,27.1,27.1,0,0,0,33.3,100,0,0,33.3,0,0,0,2,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,2,0,0,0,0,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Košice Wolves,"Adam Monček, Alex Nagy, Dmytro Sokolovskyi (*hgp), Jalen Makanaokeakua Gaffney, Myles Derek Howard",1,26,0.0,1,0,1,0,0,0,0,1,2,50,0,0,0,1,0,0,0,0,2,127.6,166.6,88.6,14.4,27.1,0,26.6,0,0,0,0,200,0,55.4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Košice Wolves,"Adam Monček, Alex Nagy, Dmytro Sokolovskyi (*hgp), Michal Krcho, Myles Derek Howard",1,54,0.0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,2,106.7,85.3,128,28.1,18.8,0,0,0,0,50,0,0,50,0,0,0,2,0,0,0,0,0,0,0,1,2,3,0,0,0,2,0,3,0,0,50,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
