Canonical,Team,Numbers,Variations
Jaheim Kesto,BMET City of Birmingham Rockets EABL,4,Jaheim Kesto
Issac Gisbourne,BMET City of Birmingham Rockets EABL,11/15/5/7/8,Issac Gisbourne
George Angoy,BMET City of Birmingham Rockets EABL,13/6,George Angoy
Patrick Walsh,BMET City of Birmingham Rockets EABL,1/7/8,Patrick Walsh
Billy Rose,BMET City of Birmingham Rockets EABL,11/15/16/4/8/9,Billy Rose
Jude Hyland,BMET City of Birmingham Rockets EABL,14/9,Jude Hyland
Philip Basioudis,BMET City of Birmingham Rockets EABL,10,Philip Basioudis
Daniel Pittaway,BMET City of Birmingham Rockets EABL,11,Daniel Pittaway
Abdou Camara,BMET City of Birmingham Rockets EABL,12/21,Abdou Camara
Jesse Ogbeide,BMET City of Birmingham Rockets EABL,11/14/8,Jesse Ogbeide
Larry Duru,BMET City of Birmingham Rockets EABL,15/16/22,Larry Duru
Guridat Singh,BMET City of Birmingham Rockets EABL,1/14/15/16/23,Guridat Singh
Karim Zidonis,Derby College Trailblazers EABL,0/1/10/2/8,Karim Zidonis
Liyo Ngomti,Derby College Trailblazers EABL,1/17/2/9,Liyo Ngomti
Matheo Smith-Fjordland,Derby College Trailblazers EABL,2/22,Matheo Smith-Fjordland
Julian Lemanski,Derby College Trailblazers EABL,3/5,Julian Lemanski
Elias Rice,Derby College Trailblazers EABL,4,Elias Rice
George Pastor,Derby College Trailblazers EABL,13/14/5,George Pastor
William Tallon,Derby College Trailblazers EABL,6/9,William Tallon
Elias Norman,Derby College Trailblazers EABL,7,Elias Norman
Jarom Howlett,Derby College Trailblazers EABL,8,Jarom Howlett
Dovydas Kilmas,Derby College Trailblazers EABL,9,Dovydas Kilmas
Casey Burr,Derby College Trailblazers EABL,0/10,Casey Burr
Oskar Krysa,Derby College Trailblazers EABL,12,Oskar Krysa
Nathan Brown,Manchester Magic Academy EABL,1,Nathan Brown
Samy Sidi-Boumedine,Manchester Magic Academy EABL,2,Samy Sidi-Boumedine
Kayden Litchmore,Manchester Magic Academy EABL,3/5,Kayden Litchmore
Abraham Sagay Isiorho,Manchester Magic Academy EABL,5,Abraham Sagay Isiorho; Abraham Isiorho
Tarique Kamal Kazmi,Manchester Magic Academy EABL,2/5/6,Tarique Kamal Kazmi
Harley Blake,Manchester Magic Academy EABL,7,Harley Blake
Jack Walton,Manchester Magic Academy EABL,8,Jack Walton
Jack Odongo,Manchester Magic Academy EABL,10,Jack Odongo
David Allotey,Manchester Magic Academy EABL,11,David Allotey
Lewis Clayton,Manchester Magic Academy EABL,12,Lewis Clayton
Oluwademilade Babalola,Manchester Magic Academy EABL,13,Oluwademilade Babalola
Tiego Weekes,Manchester Magic Academy EABL,14,Tiego Weekes
Asa Oyerinde,Charnwood College Riders EABL,5/99,Asa Oyerinde
Tristan Curran,Charnwood College Riders EABL,6,Tristan Curran
Luca Boothe,Charnwood College Riders EABL,4/7,Luca Boothe
Davin Hanousek,Charnwood College Riders EABL,8,Davin Hanousek
Rudy Buckingham,Charnwood College Riders EABL,0/9,Rudy Buckingham
Pharrell Kattah,Charnwood College Riders EABL,1/10,Pharrell Kattah
Davincy Stephens,Charnwood College Riders EABL,12,Davincy Stephens
Lewis Stevenson,Charnwood College Riders EABL,13,Lewis Stevenson
Stanley Morris,Charnwood College Riders EABL,14/19,Stanley Morris
Tom Pearson,Charnwood College Riders EABL,14/15/8,Tom Pearson
Fahad Saeed,Charnwood College Riders EABL,20/23,Fahad Saeed
Harrison Mcglone,Charnwood College Riders EABL,21/24,Harrison Mcglone
Tekai Wallace-Gayle,SGS College EABL,1,Tekai Wallace-Gayle
Shaquan Nelson,SGS College EABL,2/4,Shaquan Nelson
Martin Alburo,SGS College EABL,4/9,Martin Alburo
Dylan Lloyd,SGS College EABL,5,Dylan Lloyd
Marcos Perez Tosca,SGS College EABL,6,Marcos Perez Tosca
Che Benjamin,SGS College EABL,7,Che Benjamin
