# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 199
# Qualified players exported: 90
# Total stints used: 2186
# Garbage time stints excluded: 172
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
Charnwood College Riders EABL,10,Pharrell Kattah,524,-3.08,-0.43,-3.5
Charnwood College Riders EABL,23,Fahad Saeed,292,-1.89,-1.72,-3.61
BMET City of Birmingham Rockets EABL,7,Patrick Walsh,274,-1.53,-2.16,-3.69
Derby College Trailblazers EABL,5,George Pastor,422,-2.23,-1.67,-3.9
Copleston High School EABL,7,Isaac Little,649,-2.82,-1.19,-4.01
BMET City of Birmingham Rockets EABL,9,Jude Hyland,656,-0.64,-3.83,-4.47
BMET City of Birmingham Rockets EABL,6,George Angoy,699,-1.85,-3.32,-5.17
SGS College EABL,2,Shaquan Nelson,360,-3.43,-2.79,-6.22
Copleston High School EABL,6,Timothy Rafiu,670,-3.66,-2.87,-6.53
HHS Reading Rockets EABL,10,Malachi Hassan-Taylor,665,-3.43,-3.91,-7.34
Copleston High School EABL,4,Noah Wilkinson,712,-2.84,-4.95,-7.79
Copleston High School EABL,10,Matthew Liddamore,820,-5.82,-3.99,-9.81
