Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
SKYLINERS Juniors,7,Joscha Zentgraf,,21,19.1,400.2,73,3.5,24,78,30.8,1,19,5.3,24,42,57.1,51,54,105,29,18,2,31,46,31.4,37.8,14.3,57.3,4.6,1.2,14.7,16.6,15.7,11.2,2.4,0.5,24.3,0.54,-1.04,-1.23,0.19,59,23,39,0,0,0,0,0,0,14,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FC Bayern Basketball II,21,Isayah Luaan Baptiste Bernard Marcin,,8,2.7,21.5,2,0.2,1,4,25.0,0,3,0.0,0,1,0.0,0,0,0,1,0,1,2,1,25.0,22.5,12.7,31.1,0.3,0.5,0.0,0.0,0.0,6.9,0.0,4.5,31.1,0.25,-1.05,-1.9,0.85,2,2,100,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC Rist Wedel,22,Danny Egbe,,14,8.5,118.9,23,1.6,7,25,28.0,1,12,8.3,8,8,100.0,9,8,17,7,6,1,3,24,30.0,40.3,11.7,73.0,2.2,1.1,8.6,8.0,8.3,9.7,2.7,0.9,9.5,0.32,-1.06,-1.31,0.26,12,5,41.7,1,1,100,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSV Neustadt temps Shooters,77,Elias Pohl,,14,0.4,5.1,0,0.0,0,1,0.0,0,1,0.0,0,0,0,0,1,1,1,1,0,0,0,0.0,0.0,8.4,0.0,0.0,0.1,0.0,21.4,10.7,27.3,9.8,0.0,0.0,0.0,-1.07,-1.39,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BSW Sixers,32,Elia de Almeida Rosa,,22,5.2,115.4,17,0.8,6,27,22.2,1,13,7.7,4,6,66.7,10,17,27,5,5,1,7,20,24.1,28.7,14.3,46.4,1.0,0.8,9.6,16.1,12.8,7.2,2.3,0.9,19.1,0.22,-1.12,-1.68,0.57,11,4,36.4,3,1,33.3,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Iserlohn Kangaroos,19,David Pavljak,,25,10.1,252.7,35,1.4,12,41,29.3,2,16,12.5,9,19,47.4,16,24,40,20,12,2,16,50,31.7,35.5,11.5,53.5,1.8,0.8,7.3,11.3,9.3,12.9,2.4,0.9,24.5,0.46,-1.13,-1.97,0.84,23,10,43.5,2,0,0,0,0,0,5,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
TSV Neustadt temps Shooters,9,Rijad Ibiševic,,16,0.3,4.1,2,0.1,1,1,100.0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,100.0,100.0,10.3,200.0,0.2,0.0,27.2,0.0,13.5,0.0,0.0,0.0,0.0,0.0,-1.18,-1.41,0.24,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iserlohn Kangaroos,8,Julius Gebauer,,20,4.7,94.7,14,0.7,4,13,30.8,1,6,16.7,5,8,62.5,2,3,5,14,6,0,17,4,34.6,42.4,15.8,41.8,0.9,0.4,2.5,3.8,3.1,23.7,3.2,0.0,50.7,0.62,-1.2,-1.59,0.39,4,1,25,3,2,66.7,0,0,0,5,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Iserlohn Kangaroos,64,Malik Diagne,,24,3.7,88.8,14,0.6,5,13,38.5,3,11,27.3,1,4,25.0,4,7,11,0,2,1,4,6,50.0,47.4,9.4,74.6,0.8,0.6,5.3,9.6,7.4,0.0,1.2,1.3,21.3,0.31,-1.22,-1.33,0.11,2,2,100,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RASTA Vechta II,24,Roy Krupnikas,,25,23.9,596.3,314,12.6,98,288,34.0,25,123,20.3,93,120,77.5,10,86,96,90,34,0,93,50,38.4,46.1,32.5,72.4,15.7,6.1,1.9,16.2,9.1,31.7,2.9,0.0,21.4,0.42,-1.29,-1.83,0.54,130,61,46.9,35,12,34.3,0,0,0,50,34,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
