Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Porsche BBA Ludwigsburg,Bink de Goede,24,Bink de Goede,11,2.7,29.7,6.0,0.5,3.0,6.0,50,0.0,1.0,0,0.0,0.0,0,3.0,3.0,6.0,1.0,0.0,0.0,6.0,8.0,8.6,15.6,0.3,0.0,0.3,2,8.0,0.7,0.4,0,0,0,0,0,0.0,0,-15.82,-16.62,0.8,3.5,4.3,5.0,3.0,60,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0
Dresden Titans,Leonard Alejandro Benitez Arocha,23,Leonard Alejandro Benitez Arocha,11,3.0,33.2,5.0,0.5,2.0,7.0,28.6,1.0,4.0,25,0.0,2.0,0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,5.0,9.5,14.6,0.2,0.1,0.0,6,11.0,1.0,0.5,0,0,0,0,0,0.0,0,-7.53,-11.54,4.01,2.3,4.5,1.0,1.0,100,2.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
FC Bayern Basketball II,Kventin Kostan,35,Kventin Kostan,11,2.4,26.7,4.0,0.4,2.0,4.0,50,0.0,1.0,0,0.0,0.0,0,1.0,4.0,5.0,2.0,0.0,0.0,1.0,0.0,3.8,7.2,0.2,0.1,0.2,5,9.0,0.8,0.4,0,0.0,1,0,0.0,1.0,1,-1.37,-4.37,3.01,3.1,4.1,2.0,1.0,50,1.0,1.0,100,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
TSV Neustadt temps Shooters,Henri Vogt,55,Henri Vogt,11,0.2,2.6,3.0,0.3,1.0,2.0,50,1.0,1.0,100,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,37.4,0.1,0.0,0.0,0,3.0,0.3,0.1,0,0,0,0,0,0.0,0,23.09,20.51,2.57,3.0,3.7,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETB Miners,Simon Rentz,14,Simon Rentz,11,1.1,12.1,1.0,0.1,0.0,2.0,0,0.0,1.0,0,1.0,2.0,50,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,5.6,24.7,0.0,0.0,0.0,0,1.0,0.1,0.0,0,0,0,0,0,0.0,0,-18.84,-19.0,0.16,3.2,4.4,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
TV Langen,Leon Niederdraeing,10,Leon Niederdraeing,11,2.4,26.7,0.0,0.0,0.0,4.0,0,0.0,4.0,0,0.0,2.0,0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,3.0,4.7,9.0,0.0,0.0,0.2,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,-15.26,-13.28,-1.98,4.0,4.7,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dresden Titans,Georg Kupke,55,Georg Kupke,10,29.0,290.2,71.0,7.1,25.0,61.0,41,4.0,12.0,33.3,17.0,33.0,51.5,14.0,35.0,49.0,50.0,30.0,0.0,29.0,35.0,86.9,15.3,3.5,2.4,2.4,117,188.0,18.8,9.2,4,0.7,9,5,17.9,12.2,6,-0.03,-6.69,6.66,2.1,3.3,46.0,21.0,45.7,3.0,0.0,0,0.0,0.0,0,13.0,1.0,16.0,6.0,0.0,4.0,2.0,20.0,20.0
Dresden Titans,Samuel Leonard Schally,10,Samuel Leonard Schally,10,15.6,155.7,50.0,5.0,18.0,51.0,35.3,10.0,32.0,31.2,4.0,6.0,66.7,6.0,17.0,23.0,4.0,7.0,2.0,10.0,9.0,55.3,18.1,2.4,0.2,1.1,10,60.0,6.0,2.9,2,0.5,4,0,25.0,5.0,4,-4.21,-6.45,2.24,3.3,4.7,12.0,7.0,58.3,6.0,0.0,0,0.0,0.0,0,2.0,1.0,6.0,3.0,0.0,1.0,1.0,18.0,12.0
Baskets Juniors TSG Westerstede,Finn Stuehlmeyer,15/3,Finn Stuehlmeyer,10,14.1,141.3,38.0,3.8,10.0,15.0,66.7,0.0,0.0,0,18.0,26.0,69.2,23.0,31.0,54.0,2.0,2.0,0.0,10.0,23.0,12.9,4.6,1.5,0.1,2.2,9,47.0,4.7,1.9,3,1.0,2,2,52.1,2.9,3,-2.73,-4.1,1.36,5.0,4.1,14.0,9.0,64.3,1.0,1.0,100,0.0,0.0,0,1.0,0.0,1.0,2.0,0.0,2.0,17.0,1.0,8.0
FC Bayern Basketball II,Roko Jerkic,10,Roko Jerkic,10,11.0,110.3,38.0,3.8,11.0,29.0,37.9,3.0,14.0,21.4,13.0,16.0,81.2,4.0,9.0,13.0,7.0,3.0,1.0,11.0,10.0,41.3,18.7,1.8,0.3,0.6,12,50.0,5.0,2.4,0,0.0,1,0,0.0,1.0,1,-3.43,-6.28,2.86,2.9,3.8,11.0,6.0,54.5,4.0,2.0,50,0.0,0.0,0,4.0,1.0,7.0,3.0,0.0,0.0,2.0,20.0,12.0
CATL Basketball Löwen,Léonar Fliege,3,Léonar Fliege,10,19.9,198.6,34.0,3.4,16.0,34.0,47.1,0.0,8.0,0,2.0,3.0,66.7,11.0,13.0,24.0,11.0,6.0,12.0,15.0,21.0,37.7,9.5,1.8,0.6,1.2,18,52.0,5.2,2.7,6,1.2,4,3,56.4,6.3,5,-4.1,-7.34,3.23,4.3,4.3,17.0,13.0,76.5,9.0,3.0,33.3,0.0,0.0,0,6.0,0.0,6.0,7.0,0.0,2.0,16.0,2.0,6.0
SKYLINERS Juniors,Marvin Esser,16,Marvin Esser,10,14.2,141.8,23.0,2.3,11.0,22.0,50,0.0,0.0,0,1.0,6.0,16.7,18.0,17.0,35.0,9.0,5.0,3.0,8.0,18.0,14.1,5.2,1.2,0.5,1.8,22,45.0,4.5,2.3,0,0.0,2,0,0.0,2.0,1,-1.79,-4.46,2.67,4.1,4.3,22.0,11.0,50,0.0,0.0,0,0.0,0.0,0,8.0,0.0,2.0,3.0,0.0,2.0,13.0,6.0,6.0
RASTA Vechta II,Peja Strobl,1,Peja Strobl,10,8.5,85.3,20.0,2.0,7.0,27.0,25.9,3.0,17.0,17.6,3.0,8.0,37.5,5.0,8.0,13.0,2.0,3.0,1.0,5.0,10.0,29.3,17.3,1.0,0.1,0.6,6,26.0,2.6,1.3,0,0,0,0,0,0.0,0,-10.39,-10.05,-0.34,3.5,5.0,9.0,3.0,33.3,1.0,1.0,100,0.0,0.0,0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,4.0
Dragons Rhöndorf,Malik Idbihi,77,Malik Idbihi,10,7.2,72.1,16.0,1.6,4.0,24.0,16.7,3.0,19.0,15.8,5.0,6.0,83.3,3.0,3.0,6.0,3.0,2.0,0.0,2.0,15.0,24.6,16.4,0.7,0.1,0.3,7,23.0,2.3,1.0,0,0.0,1,0,0.0,1.0,1,-11.16,-10.9,-0.26,2.8,4.8,3.0,1.0,33.3,2.0,0.0,0,0.0,0.0,0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,5.0
FC Bayern Basketball II,Luka Pesic,7,Luka Pesic,10,7.6,76.2,6.0,0.6,2.0,14.0,14.3,0.0,9.0,0,2.0,4.0,50,1.0,6.0,7.0,8.0,0.0,0.0,10.0,11.0,23.8,15.6,0.3,0.4,0.3,18,24.0,2.4,1.2,0,0,0,0,0,0.0,0,-13.92,-14.34,0.42,2.7,4.2,3.0,1.0,33.3,2.0,1.0,50,0.0,0.0,0,1.0,0.0,4.0,3.0,0.0,2.0,4.0,0.0,0.0
Dresden Titans,Jannis Niklas Ernst,9,Jannis Niklas Ernst,10,2.1,21.5,5.0,0.5,1.0,2.0,50,1.0,1.0,100,2.0,2.0,100,1.0,2.0,3.0,0.0,1.0,0.0,0.0,5.0,1.8,4.3,0.2,0.0,0.1,0,5.0,0.5,0.2,0,0,0,0,0,0.0,0,-1.67,-6.43,4.76,3.2,4.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
