# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 423
# Qualified players exported: 297
# Total stints used: 12800
# Garbage time stints excluded: 459
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
SV Fellbach Flashers,8,Jakob Hanzalek,1085,1.99,-0.75,1.25
Itzehoe Eagles,0,Sydnee Ochieng Shaka Bijlsma,702,0.59,0.64,1.23
ETB Miners,11,Gabriel Jung,1392,-2.8,3.99,1.18
Porsche BBA Ludwigsburg,0,Maxwell Dongmo Temoka,915,0.98,0.16,1.13
RASTA Vechta II,7,Moritz Dresing,862,-1.78,2.83,1.05
SC Rist Wedel,3,Aleksandar Postic,865,0.12,0.91,1.03
Porsche BBA Ludwigsburg,12,Abdulhay Kömürkara,536,-0.83,1.84,1.02
TKS 49ers,20,Jannes Hundt,480,-0.05,1.06,1.02
TV Langen,22,Alexander Lagerman,811,0.15,0.83,0.99
ETB Miners,2,Jegor Cymbal,658,0.03,0.95,0.98
Porsche BBA Ludwigsburg,11,Yohann Tchouaffe,801,1.45,-0.49,0.95
TSV Neustadt temps Shooters,2,Aimé Olma,1519,0.59,0.34,0.94
LOK BERNAU,7,Anton Nufer,877,1.12,-0.2,0.93
SKYLINERS Juniors,4,Desmond Tyson Watson,517,2.01,-1.13,0.89
BBC Coburg,17,Ole Theiß,490,1.22,-0.37,0.85
SC Rist Wedel,4,Tomas Atli Bjarkason,827,0.51,0.33,0.84
Ahorn Camp Baskets,22,Oskar Humpert,901,-1.12,1.94,0.82
Itzehoe Eagles,4,Jonathan Elzie,432,-0.77,1.59,0.82
Hertener Löwen,11,Christian Matthew Hinckson,1014,-0.2,0.96,0.76
BG Hessing Leitershofen,1,Brendan Gregori,1114,1.93,-1.24,0.69
SC Rist Wedel,5,Niklas Krause,946,-1.06,1.73,0.67
RASTA Vechta II,24,Roy Krupnikas,1144,-1.17,1.81,0.64
Hertener Löwen,22,Faton Jetullahi,1250,0.05,0.53,0.58
Hertener Löwen,14,Tarik Jakupovic,494,0.54,-0.02,0.52
Baskets Juniors TSG Westerstede,15,Finn Stuehlmeyer,289,0.55,-0.04,0.51
Itzehoe Eagles,11,Finn Fleute,1522,2.77,-2.26,0.51
EN BASKETS Schwelm,12,Jascal Niclas Knörig,1041,-3.22,3.73,0.5
EN BASKETS Schwelm,8,Robert Peter Merz,1138,0.12,0.37,0.49
Ahorn Camp Baskets,21,Paul Stupperich,270,-0.15,0.63,0.48
Baskets Juniors TSG Westerstede,12,Simon Kohlhoff,911,1.29,-0.82,0.47
Dresden Titans,55,Georg Kupke,478,-0.71,1.13,0.42
CATL Basketball Löwen,1,Michael Tyrone Mitchell Jr.,942,-1.04,1.45,0.41
Dresden Titans,11,Duje Putnik,1112,1.1,-0.7,0.4
FC Bayern Basketball II,24,Andrija Susic,913,-0.28,0.67,0.39
ETB Miners,10,Mychael Paulo,1516,-0.79,1.17,0.37
TKS 49ers,18,Leonard Paul Hampl,1041,-3.83,4.2,0.37
OrangeAcademy,17,Tobias Rainer Holbach,711,0.01,0.34,0.35
BBC Coburg,6,Erik Neunhoeffer,650,0.21,0.11,0.32
TV Langen,5,Niklas Pons,1325,0.07,0.17,0.24
Ahorn Camp Baskets,3,Dennis Diala,1063,-0.4,0.64,0.24
SC Rist Wedel,11,Al-Fayed Alegbe-Issifou,764,1.07,-0.84,0.23
Seawolves Academy,4,Svante Schmundt,872,-0.63,0.85,0.22
LOK BERNAU,0,Anthony Watkins,1306,-1.47,1.69,0.22
VR-Bank Würzburg Baskets Akademie,32,David Gerhard,1031,2.25,-2.06,0.19
BSW Sixers,10,Toby Okwuokei,1537,0.67,-0.49,0.18
SKYLINERS Juniors,7,Joscha Zentgraf,705,-0.15,0.31,0.16
Seawolves Academy,5,Jussi Knorr,367,0.61,-0.46,0.15
Iserlohn Kangaroos,3,Sadiq Ajagbe,794,-1.21,1.35,0.14
TKS 49ers,8,Yannick Hildebrandt,539,1.46,-1.34,0.12
CATL Basketball Löwen,8,Musa Abra,1070,-0.56,0.61,0.05
OrangeAcademy,6,Felix Kiehlneker,306,0.73,-0.69,0.04
Dresden Titans,10,Samuel Leonard Schally,317,-1.41,1.41,0.0
FC Bayern Basketball II,25,Gob Makuag Gabriel,365,-0.11,0.08,-0.03
FC Bayern Basketball II,1,Niko Jerkic,460,0.17,-0.2,-0.04
ETB Miners,25,Leon Kalinic,894,-1.63,1.58,-0.05
SKYLINERS Juniors,5,Jamie Edoka,1039,-2.64,2.48,-0.17
Porsche BBA Ludwigsburg,13,Kenan Youdom,843,-0.93,0.76,-0.17
Hertener Löwen,20,Dario Fiorentino,1270,-2.15,1.96,-0.19
TSV Neustadt temps Shooters,8,Leonard Toshio Musahl,481,0.87,-1.08,-0.22
SKYLINERS Juniors,14,Dusan Nikolic,761,0.18,-0.4,-0.22
SC Rist Wedel,10,Nelson Jamal Martin,825,-1.6,1.34,-0.26
TV Langen,9,Henk Droste,1170,0.77,-1.05,-0.28
Baskets Juniors TSG Westerstede,7,Fritz Hemschemeier,925,0.84,-1.13,-0.29
SKYLINERS Juniors,35,Lukas Smazak,881,0.03,-0.32,-0.29
OrangeAcademy,44,Zoran Milicic,1109,-0.05,-0.25,-0.3
TSV Neustadt temps Shooters,4,Amar Licina,899,-0.27,-0.03,-0.3
BBC Coburg,77,Leo Cosic,845,-3.77,3.44,-0.32
Porsche BBA Ludwigsburg,17,Julis Baumer,751,-1.44,1.08,-0.36
TV Langen,63,Leon Fertig,289,0.57,-0.99,-0.42
FC Bayern Basketball II,17,Kilian Maurice Fischer,646,-1.91,1.47,-0.44
Baskets Juniors TSG Westerstede,25,Luca Mevius,339,-0.18,-0.26,-0.45
