Canonical,Team,Numbers,Variations
Kohei Fukuzawa,ALVARK TOKYO,25,Kohei Fukuzawa
Ira Brown,ALVARK TOKYO,33,Ira Brown
Taiki Osakabe,ALVARK TOKYO,75,Taiki Osakabe
Makoto Hiejima,UTSUNOMIYA BREX,6,Makoto Hiejima
Yusuke Endo,UTSUNOMIYA BREX,9,Yusuke Endo
Kosuke Takeuchi,UTSUNOMIYA BREX,10,Kosuke Takeuchi
Blake Aoki,UTSUNOMIYA BREX,11,Blake Aoki
Shinji Takashima,UTSUNOMIYA BREX,12,Shinji Takashima
Hironori Watanabe,UTSUNOMIYA BREX,13,Hironori Watanabe
Yudai Ishikawa,UTSUNOMIYA BREX,15,Yudai Ishikawa
Kaisei Hoshikawa,UTSUNOMIYA BREX,17,Kaisei Hoshikawa
Seiji Ikaruga,UTSUNOMIYA BREX,18,Seiji Ikaruga
DJ Newbill,UTSUNOMIYA BREX,25,DJ Newbill
Gavin Edwards,UTSUNOMIYA BREX,33,Gavin Edwards
Grant Jerrett,UTSUNOMIYA BREX,34,Grant Jerrett
Isaac Fotu,UTSUNOMIYA BREX,42,Isaac Fotu
Didi Louzada,SUNROCKERS SHIBUYA,0,Didi Louzada
Donte Grantham,SUNROCKERS SHIBUYA,1,Donte Grantham
John Lawrence Harper Jr,SUNROCKERS SHIBUYA,3,John Lawrence Harper Jr
Troy Murphy Jr,SUNROCKERS SHIBUYA,4,Troy Murphy Jr
Josh Hawkinson,SUNROCKERS SHIBUYA,8,Josh Hawkinson
Leo Vendrame,SUNROCKERS SHIBUYA,9,Leo Vendrame
Reiya Nozaki,SUNROCKERS SHIBUYA,12,Reiya Nozaki
Daiki Tanaka,SUNROCKERS SHIBUYA,13,Daiki Tanaka
Toyoshige Kano,SUNROCKERS SHIBUYA,14,Toyoshige Kano
Morihisa Yamauchi,SUNROCKERS SHIBUYA,32,Morihisa Yamauchi
Thomas Welsh,SUNROCKERS SHIBUYA,40,Thomas Welsh
Yuya Nagayoshi,SUNROCKERS SHIBUYA,43,Yuya Nagayoshi
Kouei Omori,SUNROCKERS SHIBUYA,77,Kouei Omori
Tsubasa Kurihara,AKITA NORTHERN HAPPINETS,2,Tsubasa Kurihara
Shigehiro Taguchi,AKITA NORTHERN HAPPINETS,5,Shigehiro Taguchi
Raita Akaho,AKITA NORTHERN HAPPINETS,6,Raita Akaho
Yanni Wetzell,AKITA NORTHERN HAPPINETS,10,Yanni Wetzell
Taiyo Motoda,AKITA NORTHERN HAPPINETS,12,Taiyo Motoda
Teru Sugawara,AKITA NORTHERN HAPPINETS,14,Teru Sugawara
Tanner Leissner,AKITA NORTHERN HAPPINETS,15,Tanner Leissner
Takuya Nakayama,AKITA NORTHERN HAPPINETS,17,Takuya Nakayama
Ali Mezher,AKITA NORTHERN HAPPINETS,22,Ali Mezher
Kanji Takahira,AKITA NORTHERN HAPPINETS,24,Kanji Takahira
Keanu Pinder,AKITA NORTHERN HAPPINETS,25,Keanu Pinder
Alistair Tokio Tsuchiya,AKITA NORTHERN HAPPINETS,77,Alistair Tokio Tsuchiya
Omar Jamaleddine,KAWASAKI BRAVE THUNDERS,1,Omar Jamaleddine
Roy Hideki Igwe,KAWASAKI BRAVE THUNDERS,2,Roy Hideki Igwe
Kanta Mizuno,KAWASAKI BRAVE THUNDERS,3,Kanta Mizuno
Emanuel Terry,KAWASAKI BRAVE THUNDERS,5,Emanuel Terry
Ryusei Shinoyama,KAWASAKI BRAVE THUNDERS,7,Ryusei Shinoyama
Shota Tsuyama,KAWASAKI BRAVE THUNDERS,13,Shota Tsuyama
Dušan Ristić,KAWASAKI BRAVE THUNDERS,14,Dušan Ristić
Ryo Iida,KAWASAKI BRAVE THUNDERS,17,Ryo Iida
Rosco Allen,KAWASAKI BRAVE THUNDERS,25,Rosco Allen
Takumi Hasegawa,KAWASAKI BRAVE THUNDERS,33,Takumi Hasegawa
Jaheru Ryuto Yamauchi,KAWASAKI BRAVE THUNDERS,45,Jaheru Ryuto Yamauchi
Tatsuya Ito,HIROSHIMA DRAGONFLIES,3,Tatsuya Ito
Kaine Roberts,HIROSHIMA DRAGONFLIES,4,Kaine Roberts
Ryugo Matsumura,HIROSHIMA DRAGONFLIES,5,Ryugo Matsumura
Christopher Smith,HIROSHIMA DRAGONFLIES,8,Christopher Smith
Toshiki Kamisawa,HIROSHIMA DRAGONFLIES,10,Toshiki Kamisawa
Dwayne Evans II,HIROSHIMA DRAGONFLIES,13,Dwayne Evans II
Kofi Cockburn,HIROSHIMA DRAGONFLIES,23,Kofi Cockburn
Nick Mayo,HIROSHIMA DRAGONFLIES,24,Nick Mayo
Ryo Yamazaki,HIROSHIMA DRAGONFLIES,30,Ryo Yamazaki
Kevin Hareyama,HIROSHIMA DRAGONFLIES,32,Kevin Hareyama
Keijiro Mitani,HIROSHIMA DRAGONFLIES,34,Keijiro Mitani
Ryosei Sato,HIROSHIMA DRAGONFLIES,88,Ryosei Sato
Thomas Kennedy,SEAHORSES MIKAWA,1,Thomas Kennedy
Sei Motozawa,SEAHORSES MIKAWA,5,Sei Motozawa
Satoshi Nagano,SEAHORSES MIKAWA,7,Satoshi Nagano
Toshiya Taira,SEAHORSES MIKAWA,9,Toshiya Taira
Jake Layman,SEAHORSES MIKAWA,10,Jake Layman
Yoshiaki Kubota,SEAHORSES MIKAWA,11,Yoshiaki Kubota
Yutaro Suda,SEAHORSES MIKAWA,13,Yutaro Suda
Koyo Nishida,SEAHORSES MIKAWA,16,Koyo Nishida
Ryogo Sumino,SEAHORSES MIKAWA,18,Ryogo Sumino
Yudai Nishida,SEAHORSES MIKAWA,19,Yudai Nishida
Kosuke Ishii,SEAHORSES MIKAWA,27,Kosuke Ishii
Aaron White,SEAHORSES MIKAWA,30,Aaron White
Davante Gardner,SEAHORSES MIKAWA,54,Davante Gardner
Yuma Fujii,GUNMA CRANE THUNDERS,0,Yuma Fujii
Koh Flippin,GUNMA CRANE THUNDERS,1,Koh Flippin
Trey Jones,GUNMA CRANE THUNDERS,4,Trey Jones
Takuto Nakamura,GUNMA CRANE THUNDERS,6,Takuto Nakamura
Kerry BlackshearJr,GUNMA CRANE THUNDERS,8,Kerry BlackshearJr
Naoto Tsuji,GUNMA CRANE THUNDERS,9,Naoto Tsuji
Makoto Sato,GUNMA CRANE THUNDERS,14,Makoto Sato
AJ Edu,GUNMA CRANE THUNDERS,15,AJ Edu
Kenny Asano,GUNMA CRANE THUNDERS,16,Kenny Asano
Kazuki Hosokawa,GUNMA CRANE THUNDERS,29,Kazuki Hosokawa
Johannes Thiemann,GUNMA CRANE THUNDERS,32,Johannes Thiemann
Daichi Taniguchi,GUNMA CRANE THUNDERS,55,Daichi Taniguchi
Jamorko Pickett,FIGHTING EAGLES NAGOYA,0,Jamorko Pickett
Narito Namizato,FIGHTING EAGLES NAGOYA,3,Narito Namizato
Tyrell Taku Sudo,FIGHTING EAGLES NAGOYA,6,Tyrell Taku Sudo
Haruki Ito,FIGHTING EAGLES NAGOYA,7,Haruki Ito
Riku Utsunomiya,FIGHTING EAGLES NAGOYA,9,Riku Utsunomiya
Tensho Sugimoto,FIGHTING EAGLES NAGOYA,10,Tensho Sugimoto
Katsuki Hiramatsu,FIGHTING EAGLES NAGOYA,12,Katsuki Hiramatsu
Soichiro Kanda,FIGHTING EAGLES NAGOYA,17,Soichiro Kanda
Francis Lopez,FIGHTING EAGLES NAGOYA,20,Francis Lopez
Jeremy Jones,FIGHTING EAGLES NAGOYA,22,Jeremy Jones
Ryuto Yasuoka,FIGHTING EAGLES NAGOYA,23,Ryuto Yasuoka
Sean O'mara,FIGHTING EAGLES NAGOYA,54,Sean O'mara
Yuta Watanabe,CHIBA JETS,1,Yuta Watanabe
Yuki Togashi,CHIBA JETS,2,Yuki Togashi
Naoki Tashiro,CHIBA JETS,4,Naoki Tashiro
Riku Segawa,CHIBA JETS,5,Riku Segawa
Michael Ou,CHIBA JETS,35/7,Michael Ou
Nassir Little,CHIBA JETS,8,Nassir Little
DJ Hogg,CHIBA JETS,10,DJ Hogg
Fumio Nishimura,CHIBA JETS,11,Fumio Nishimura
Ren Kanechika,CHIBA JETS,12,Ren Kanechika
Gaku Arao,CHIBA JETS,25,Gaku Arao
Shuta Hara,CHIBA JETS,31,Shuta Hara
John Mooney,CHIBA JETS,33,John Mooney
Hikaru Futagami,CHIBA JETS,9,Hikaru Futagami
Takumi Saito,NAGOYA DIAMOND DOLPHINS,2,Takumi Saito
Taketo Kato,NAGOYA DIAMOND DOLPHINS,3,Taketo Kato
Hiyuu Ozawa,NAGOYA DIAMOND DOLPHINS,4,Hiyuu Ozawa
Isaiah Murphy,NAGOYA DIAMOND DOLPHINS,5,Isaiah Murphy
Yuto Imanishi,NAGOYA DIAMOND DOLPHINS,7,Yuto Imanishi
Tenketsu Harimoto,NAGOYA DIAMOND DOLPHINS,8,Tenketsu Harimoto
Aaron Henry,NAGOYA DIAMOND DOLPHINS,11,Aaron Henry
Alan Williams,NAGOYA DIAMOND DOLPHINS,15,Alan Williams
Eita Wakano,NAGOYA DIAMOND DOLPHINS,17/4,Eita Wakano
Makoto Kamata,NAGOYA DIAMOND DOLPHINS,21,Makoto Kamata
Jake koki Holtz,NAGOYA DIAMOND DOLPHINS,23,Jake koki Holtz
Yuito Haruta,NAGOYA DIAMOND DOLPHINS,11/27,Yuito Haruta
Keita Imamura,NAGOYA DIAMOND DOLPHINS,14/30,Keita Imamura
Kyle Richardson,NAGOYA DIAMOND DOLPHINS,34,Kyle Richardson
Scott Eatherton,NAGOYA DIAMOND DOLPHINS,43,Scott Eatherton
Kohei Sekino,LEVANGA HOKKAIDO,1,Kohei Sekino
Dwight Ramos,LEVANGA HOKKAIDO,2,Dwight Ramos
Kevin Jones,LEVANGA HOKKAIDO,5,Kevin Jones
Hiroto Kikuchi,LEVANGA HOKKAIDO,6,Hiroto Kikuchi
Yu Kibayashi,LEVANGA HOKKAIDO,8,Yu Kibayashi
Shuto Ichiba,LEVANGA HOKKAIDO,12,Shuto Ichiba
Kyosuke Hoshino,LEVANGA HOKKAIDO,14,Kyosuke Hoshino
Ren Shimatani,LEVANGA HOKKAIDO,15,Ren Shimatani
Teruchika Naito,LEVANGA HOKKAIDO,18,Teruchika Naito
John Harrar,LEVANGA HOKKAIDO,21,John Harrar
Jahlil Okafor,LEVANGA HOKKAIDO,22,Jahlil Okafor
Keisei Tominaga,LEVANGA HOKKAIDO,30,Keisei Tominaga
Kaito Morizane,LEVANGA HOKKAIDO,34,Kaito Morizane
Ryumo Ono,KYOTO HANNARYZ,0,Ryumo Ono
Leon Shibuta,KYOTO HANNARYZ,3,Leon Shibuta
Jamie Malonzo,KYOTO HANNARYZ,9,Jamie Malonzo
Charles Jackson,KYOTO HANNARYZ,10,Charles Jackson
Asato Ogawa,KYOTO HANNARYZ,12,Asato Ogawa
Satoru Maeta,KYOTO HANNARYZ,13,Satoru Maeta
Hayato Kawashima,KYOTO HANNARYZ,15,Hayato Kawashima
Ryunosuke Watanabe,KYOTO HANNARYZ,16,Ryunosuke Watanabe
Angelo Caloiaro,KYOTO HANNARYZ,32,Angelo Caloiaro
Jordan Heath,KYOTO HANNARYZ,35,Jordan Heath
Mone Alex Hall,KYOTO HANNARYZ,39,Mone Alex Hall
Takatoshi Furukawa,KYOTO HANNARYZ,51,Takatoshi Furukawa
Yoshiaki Fujinaga,TOYAMA GROUSES,2,Yoshiaki Fujinaga
Yuzo Okada,TOYAMA GROUSES,3,Yuzo Okada
Nyika Williams,TOYAMA GROUSES,6,Nyika Williams
Kazuki Miyamoto,TOYAMA GROUSES,7,Kazuki Miyamoto
Trey Kell,TOYAMA GROUSES,8,Trey Kell
Takeshi Mito,TOYAMA GROUSES,9,Takeshi Mito
Naoki Uto,TOYAMA GROUSES,11,Naoki Uto
Brock Motum,TOYAMA GROUSES,12,Brock Motum
Matthew Aquino,TOYAMA GROUSES,13,Matthew Aquino
Haruaki Tanaka,TOYAMA GROUSES,17,Haruaki Tanaka
Hayato Kamata,TOYAMA GROUSES,21,Hayato Kamata
Yannis Morin,TOYAMA GROUSES,24,Yannis Morin
Ray Parks Jr,OSAKA EVESSA,1,Ray Parks Jr
Yasunori Aoki,OSAKA EVESSA,4,Yasunori Aoki
Matt Bonds,OSAKA EVESSA,5,Matt Bonds
Yoshiya Uematsu,OSAKA EVESSA,8,Yoshiya Uematsu
Ryan Luther,OSAKA EVESSA,11,Ryan Luther
Joji Takeuchi,OSAKA EVESSA,15,Joji Takeuchi
Rei Goda,OSAKA EVESSA,20,Rei Goda
Makoto Kinoshita,OSAKA EVESSA,31,Makoto Kinoshita
Tatsuya Suzuki,OSAKA EVESSA,35,Tatsuya Suzuki
Volodymyr Gerun,OSAKA EVESSA,52,Volodymyr Gerun
Seiga Sakamoto,OSAKA EVESSA,60,Seiga Sakamoto
Hayato Maki,OSAKA EVESSA,88,Hayato Maki
Yante Maten,SAN-EN NEOPHOENIX,1,Yante Maten
