Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
GUNMA CRANE THUNDERS,55,Daichi Taniguchi,,63,5.2,329.3,122,1.9,42,94,44.7,31,79,39.2,7,9,77.8,4,30,34,14,5,6,10,47,61.2,62.3,16.3,113.0,2.8,1.8,1.6,11.8,6.8,7.0,0.9,2.2,9.3,0.1,2.5,0.98,1.52,3,2,66.7,12,9,75,79,31,39.2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGOYA DIAMOND DOLPHINS,14,Takuma Sato,,25,6.3,158.0,58,2.3,19,39,48.7,13,28,46.4,7,7,100.0,1,9,10,12,1,1,3,15,65.4,68.9,12.7,128.7,3.1,1.5,0.7,7.2,3.7,12.5,0.3,0.7,6.7,0.18,2.47,-0.56,3.02,1,1,100,10,5,50,28,13,46.4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
B.LEAGUE U18 HELIOS,6,Kanta Ogawa,,1,35.6,35.6,11,11.0,4,10,40.0,1,2,50.0,2,4,50.0,0,5,5,3,3,0,2,3,45.0,46.8,17.1,79.9,14.4,2.6,0.0,14.4,6.8,16.4,4.4,0.0,14.5,0.4,2.46,-2.62,5.07,4,2,50,4,1,25,2,1,50,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
KOSHIGAYA ALPHAS,9,Davon Reed,,4,22.1,88.3,40,10.0,13,33,39.4,6,13,46.2,8,9,88.9,5,15,20,4,2,1,2,6,48.5,54.1,22.3,102.7,14.6,4.8,7.2,18.0,13.1,8.3,1.3,1.3,5.1,0.27,2.46,0.88,1.58,2,1,50,18,6,33.3,13,6,46.2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
UTSUNOMIYA BREX,9,Yusuke Endo,,60,17.1,1026.4,293,4.9,101,256,39.5,83,226,36.7,8,14,57.1,16,62,78,77,27,0,34,93,55.7,55.9,13.8,98.9,6.7,5.2,1.9,7.1,4.6,11.3,1.5,0.0,11.5,0.05,2.45,1.79,0.66,12,7,58.3,18,11,61.1,226,83,36.7,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGASAKI VELCA,1,Kenji leon Matsumoto,,54,7.7,416.5,84,1.6,32,52,61.5,1,6,16.7,19,26,73.1,17,26,43,17,6,2,10,70,62.5,66.2,8.1,114.4,2.0,0.1,5.0,7.7,6.3,5.7,0.7,0.5,13.6,0.5,2.41,0.04,2.37,10,8,80,36,23,63.9,6,1,16.7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGASAKI VELCA,13,Kenshin Hoshikawa,,60,5.6,334.8,81,1.4,28,78,35.9,21,60,35.0,4,6,66.7,8,18,26,19,11,3,13,50,49.4,50.2,12.7,86.5,1.7,1.3,2.9,6.6,4.8,7.8,1.7,1.0,13.9,0.08,2.35,0.11,2.24,8,4,50,10,3,30,60,21,35,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
B.LEAGUE U18 JADE,8,Yudai Fukuchi,,1,5.3,5.3,0,0.0,0,2,0.0,0,2,0.0,0,0,0,1,0,1,0,0,1,0,1,0.0,0.0,17.0,0.0,0.0,2.6,19.5,0.0,9.1,0.0,0.0,20.0,0.0,0.0,2.32,-2.05,4.37,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN-EN NEOPHOENIX,14,Hayato Wakugawa,,60,17.8,1068.1,355,5.9,120,277,43.3,51,132,38.6,64,84,76.2,54,102,156,119,47,4,76,164,52.5,56.5,17.0,91.0,7.9,2.9,6.4,12.4,9.4,17.5,2.3,0.4,19.5,0.3,2.27,0.69,1.58,66,41,62.1,79,28,35.4,132,51,38.6,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0
HIROSHIMA DRAGONFLIES,34,Keijiro Mitani,,55,24.8,1362.7,439,8.0,153,419,36.5,96,293,32.8,37,53,69.8,65,93,158,48,44,20,48,131,48.0,49.6,16.6,89.5,10.7,7.1,5.7,8.0,6.9,5.5,1.7,1.5,9.8,0.13,2.25,1.79,0.46,44,28,63.6,82,29,35.4,293,96,32.8,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIMANE SUSANOO MAGIC,21,Yuto Nohmi,,59,22.2,1311.1,376,6.4,129,352,36.6,81,235,34.5,37,44,84.1,22,86,108,233,46,0,109,98,48.2,50.6,17.7,78.3,8.6,5.4,2.1,7.9,5.0,28.2,1.9,0.0,22.7,0.12,2.21,0.09,2.11,44,23,52.3,73,25,34.2,235,81,34.5,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0
B.BLACK,8,Christopher Smith,,1,21.1,21.1,17,17.0,7,14,50.0,3,9,33.3,0,0,0,0,2,2,2,2,0,2,1,60.7,60.7,28.7,106.2,17.6,9.3,0.0,8.4,4.1,10.6,3.9,0.0,12.5,0.0,2.19,6.38,-4.19,5,4,80,0,0,0,9,3,33.3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGASAKI VELCA,32,Lucas Tanaka,,10,2.3,23.1,2,0.2,1,4,25.0,0,2,0.0,0,0,0,1,4,5,2,1,0,0,3,25.0,25.0,8.3,50.0,0.3,0.3,5.1,24.2,13.8,13.3,2.3,0.0,0.0,0.0,2.14,-0.01,2.15,0,0,0,2,1,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SENDAI 89ERS,3,Kazuma Okajima,,58,16.5,956.3,228,3.9,80,252,31.7,45,150,30.0,23,32,71.9,18,56,74,123,40,0,41,51,40.7,42.8,15.1,74.2,5.3,3.5,2.2,7.0,4.6,19.6,2.3,0.0,13.4,0.13,2.13,0.51,1.62,32,16,50,70,19,27.1,150,45,30,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
RYUKYU GOLDEN KINGS,17,Shuto Sakihama,,42,9.3,389.3,72,1.7,25,73,34.2,7,28,25.0,15,21,71.4,16,24,40,50,17,1,20,76,39.0,43.8,12.4,70.4,2.4,0.9,5.0,7.5,6.2,19.2,2.5,0.3,19.6,0.29,2.12,0.08,2.04,17,10,58.8,28,8,28.6,28,7,25,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGASAKI VELCA,4,Masaya Karimata,,67,5.9,397.9,90,1.3,30,101,29.7,27,93,29.0,3,4,75.0,3,18,21,25,9,1,9,63,43.1,43.8,12.9,80.5,1.7,1.8,0.9,5.6,3.2,8.7,1.2,0.3,8.1,0.04,2.1,-0.03,2.13,3,1,33.3,5,2,40,93,27,29,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAHORSES MIKAWA,32,Avi Koki Schafer,,55,13.3,733.9,136,2.5,56,97,57.7,3,9,33.3,21,29,72.4,43,73,116,23,13,5,15,45,59.3,62.0,8.4,109.0,3.5,0.2,7.8,12.2,10.1,4.7,1.0,0.8,12.0,0.3,2.1,1.2,0.9,12,9,75,76,44,57.9,9,3,33.3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
RYUKYU GOLDEN KINGS,10,Hayate Arakawa,,67,7.5,500.4,161,2.4,58,181,32.0,34,143,23.8,11,14,78.6,10,27,37,48,19,2,23,51,41.4,43.0,20.0,76.6,3.5,3.1,2.5,6.5,4.5,15.6,2.2,0.5,10.9,0.08,2.09,0.63,1.46,16,12,75,22,12,54.5,143,34,23.8,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN-EN NEOPHOENIX,00,Steve Zack,,11,27.9,307.3,101,9.2,41,82,50.0,1,5,20.0,18,35,51.4,30,60,90,31,5,2,29,35,50.6,51.8,19.4,79.9,12.5,0.6,11.4,24.2,17.6,18.6,0.9,0.7,22.9,0.43,2.05,0.6,1.46,5,4,80,72,36,50,5,1,20,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
HIROSHIMA DRAGONFLIES,88,Ryosei Sato,,25,19.5,487.8,153,6.1,54,135,40.0,29,91,31.9,16,26,61.5,13,35,48,67,14,0,29,78,50.7,52.2,16.5,87.2,8.2,4.9,3.1,8.2,5.7,20.7,1.5,0.0,16.5,0.19,2.05,1.03,1.01,18,12,66.7,26,13,50,91,29,31.9,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIBA JETS,21,Kenny Lawson Jr,,5,10.9,54.5,20,4.0,8,19,42.1,4,8,50.0,0,1,0.0,6,6,12,2,1,1,2,6,52.6,51.4,18.8,93.3,5.5,2.2,13.3,12.7,13.0,5.9,1.0,2.0,9.3,0.05,2.04,0.81,1.23,1,1,100,10,3,30,8,4,50,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
SAGA BALLOONERS,60,Chase Fieler,,15,14.7,219.8,81,5.4,32,66,48.5,4,24,16.7,13,15,86.7,5,35,40,29,10,5,13,21,51.5,55.8,18.6,94.6,7.3,2.2,2.7,19.9,11.2,23.2,2.5,2.6,15.2,0.23,2.02,0.11,1.91,13,11,84.6,29,17,58.6,24,4,16.7,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
B.WHITE,2,Yuki Togashi,,1,14.6,14.6,8,8.0,3,11,27.3,2,9,22.2,0,0,0,2,0,2,3,0,0,0,1,36.4,36.4,26.1,72.7,8.2,9.2,12.2,0.0,6.0,18.4,0.0,0.0,0.0,0.0,2.01,6.81,-4.8,1,0,0,1,1,100,9,2,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSAKA EVESSA,60,Seiga Sakamoto,,60,16.7,1003.8,260,4.3,98,244,40.2,34,101,33.7,30,45,66.7,47,66,113,151,59,9,64,122,47.1,49.3,15.2,79.3,5.9,2.3,5.6,8.2,6.8,23.8,3.2,0.9,19.5,0.18,1.95,0.05,1.89,39,25,64.1,104,39,37.5,101,34,33.7,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGASAKI VELCA,21,Shota Kanno,,16,1.8,28.5,13,0.8,4,13,30.8,4,12,33.3,1,2,50.0,0,3,3,1,2,0,4,6,46.2,46.8,28.0,72.7,1.0,1.0,0.0,12.8,6.4,5.1,3.6,0.0,22.4,0.15,1.89,-0.11,2.0,0,0,0,1,0,0,12,4,33.3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAHORSES MIKAWA,18,Ryogo Sumino,,62,11.0,679.7,286,4.6,102,266,38.3,53,169,31.4,29,38,76.3,15,46,61,29,20,4,28,32,48.3,50.6,22.5,92.0,6.4,3.8,2.9,8.3,5.7,7.1,1.7,0.7,9.0,0.14,1.84,1.41,0.43,32,21,65.6,65,28,43.1,169,53,31.4,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN-EN NEOPHOENIX,20,Dai Nemoto,,55,15.6,860.2,307,5.6,107,228,46.9,63,142,44.4,30,37,81.1,19,48,67,82,26,7,69,111,60.7,62.8,16.9,98.0,7.4,3.4,2.8,7.2,4.9,15.3,1.6,0.9,22.0,0.16,1.84,0.8,1.03,33,21,63.6,53,23,43.4,142,63,44.4,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIBA JETS,4,Naoki Tashiro,,63,14.3,902.6,164,2.6,60,139,43.2,28,71,39.4,16,23,69.6,45,63,108,59,22,2,26,110,53.2,55.0,9.2,93.7,3.6,1.5,6.1,7.7,7.0,9.6,1.3,0.2,14.8,0.17,1.84,0.03,1.8,20,11,55,48,21,43.8,71,28,39.4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
IBARAKI ROBOTS,8,Tyler Cook,,37,20.4,755.5,426,11.5,163,294,55.4,0,1,0.0,100,178,56.2,47,178,225,90,19,11,93,56,55.4,57.2,30.3,91.5,15.8,0.0,7.9,28.2,18.3,25.3,1.4,1.6,20.0,0.61,1.82,-0.11,1.94,103,86,83.5,190,77,40.5,1,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGOYA DIAMOND DOLPHINS,4,Hiyuu Ozawa,,61,7.3,444.4,166,2.7,58,183,31.7,31,117,26.5,19,24,79.2,25,20,45,24,16,4,12,49,40.2,42.9,20.3,80.8,3.6,2.5,6.0,5.3,5.6,8.7,1.9,0.9,5.8,0.13,1.79,-1.01,2.8,19,11,57.9,47,16,34,117,31,26.5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIMANE SUSANOO MAGIC,0,Olufemi Olujobi,,8,20.0,160.3,83,10.4,25,64,39.1,10,30,33.3,23,32,71.9,10,24,34,10,4,2,11,11,46.9,53.2,26.7,93.2,14.3,5.2,7.3,19.4,13.1,11.1,1.4,1.2,12.3,0.5,1.78,0.71,1.08,4,3,75,30,12,40,30,10,33.3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAHORSES MIKAWA,27,Kosuke Ishii,,62,7.0,434.0,128,2.1,40,113,35.4,27,93,29.0,21,25,84.0,20,33,53,48,19,2,16,59,47.3,51.6,15.9,91.4,2.9,2.1,6.1,9.3,7.8,16.9,2.5,0.5,11.4,0.22,1.77,0.94,0.83,11,8,72.7,9,5,55.6,93,27,29,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIBA JETS,5,Riku Segawa,,63,11.1,697.4,258,4.1,89,230,38.7,18,63,28.6,62,88,70.5,33,38,71,107,25,14,68,91,42.6,48.0,23.0,76.6,5.6,1.4,5.8,6.0,5.9,24.7,2.0,2.0,20.2,0.38,1.72,-0.1,1.82,43,22,51.2,124,49,39.5,63,18,28.6,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIBA JETS,7,Michael Ou,,27,9.9,267.1,82,3.0,36,57,63.2,0,0,0,10,18,55.6,27,31,58,7,2,7,7,41,63.2,63.2,12.8,114.0,4.2,0.0,12.4,12.3,12.4,4.1,0.4,2.6,9.7,0.32,1.71,0.18,1.53,11,10,90.9,46,26,56.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
B.BLACK,14,Keita Imamura,,1,18.0,18.0,9,9.0,3,8,37.5,3,8,37.5,0,0,0,1,0,1,4,0,0,0,1,56.2,56.2,16.8,112.5,9.3,8.3,4.7,0.0,2.4,21.0,0.0,0.0,0.0,0.0,1.71,7.24,-5.53,0,0,0,0,0,0,8,3,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTSUNOMIYA BREX,7,Atsuya Ogawa,,44,16.6,729.9,225,5.1,85,230,37.0,23,99,23.2,32,40,80.0,18,46,64,113,27,5,59,74,42.0,45.4,20.3,73.4,7.1,3.1,3.2,7.5,5.4,24.2,2.1,0.7,19.2,0.17,1.7,0.75,0.95,68,39,57.4,63,23,36.5,99,23,23.2,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
AKITA NORTHERN HAPPINETS,13,Eijiro Ogawa,,9,16.0,144.4,90,10.0,33,61,54.1,18,39,46.2,6,11,54.5,4,16,20,6,7,1,2,17,68.9,68.3,21.6,132.7,13.0,5.7,3.1,15.2,8.6,8.7,2.6,0.8,2.9,0.18,1.59,0.78,0.82,5,5,100,17,10,58.8,39,18,46.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KOSHIGAYA ALPHAS,6,Hamiltongary Kotera,,30,23.2,694.9,74,2.5,35,69,50.7,0,2,0.0,4,15,26.7,46,143,189,100,24,13,49,47,50.7,48.9,8.9,59.4,3.4,0.1,8.0,26.6,17.0,24.1,1.9,2.0,39.3,0.22,1.54,-1.61,3.15,7,6,85.7,60,29,48.3,2,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
HIROSHIMA DRAGONFLIES,3,Tatsuya Ito,,44,15.8,693.2,143,3.2,56,144,38.9,13,43,30.2,18,29,62.1,30,53,83,130,34,0,58,106,43.4,45.6,14.2,66.6,4.3,1.3,5.3,8.8,7.1,27.1,2.6,0.0,27.0,0.2,1.52,0.25,1.27,21,12,57.1,80,31,38.8,43,13,30.2,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
UTSUNOMIYA BREX,18,Seiji Ikaruga,,60,10.5,632.2,159,2.6,58,156,37.2,26,91,28.6,17,30,56.7,19,58,77,106,19,9,47,70,45.5,47.0,16.5,73.5,3.7,2.1,3.8,10.8,7.4,25.1,1.7,1.5,21.7,0.19,1.5,0.79,0.71,20,11,55,45,21,46.7,91,26,28.6,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0
OSAKA EVESSA,31,Makoto Kinoshita,,59,15.8,935.0,355,6.0,129,326,39.6,69,204,33.8,28,40,70.0,16,47,63,114,37,9,55,110,50.2,51.7,19.8,89.1,8.2,4.7,2.1,6.2,4.1,20.6,2.1,1.0,13.8,0.12,1.48,0.33,1.16,51,32,62.7,71,28,39.4,204,69,33.8,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGOYA DIAMOND DOLPHINS,21,Makoto Kamata,,19,0.9,17.2,8,0.4,2,5,40.0,1,2,50.0,3,4,75.0,0,2,2,4,4,0,1,2,50.0,59.2,19.7,103.1,0.6,0.1,0.0,12.9,6.4,35.9,12.2,0.0,12.9,0.8,1.47,-1.45,2.92,0,0,0,3,1,33.3,2,1,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HIROSHIMA DRAGONFLIES,00,Hamiltongary Kotera,,11,9.2,100.7,6,0.5,3,6,50.0,0,0,0,0,0,0,5,15,20,22,4,6,10,15,50.0,50.0,7.3,37.5,0.7,0.0,6.3,16.7,11.9,29.5,2.1,6.0,62.5,0.0,1.44,0.24,1.19,0,0,0,6,3,50,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
GUNMA CRANE THUNDERS,14,Makoto Sato,,52,1.0,52.1,6,0.1,3,15,20.0,0,11,0.0,0,0,0,0,1,1,2,3,0,4,5,20.0,20.0,18.2,31.6,0.2,0.3,0.0,2.5,1.3,5.7,3.4,0.0,21.1,0.0,1.4,0.25,1.15,1,1,100,3,2,66.7,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIMANE SUSANOO MAGIC,5,Shota Arai,,21,18.2,382.1,137,6.5,50,120,41.7,20,58,34.5,17,18,94.4,3,22,25,58,13,0,28,33,50.0,53.5,20.2,87.9,8.9,3.8,1.0,7.1,4.1,27.2,1.9,0.0,18.0,0.15,1.38,-0.31,1.69,18,14,77.8,44,16,36.4,58,20,34.5,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGOYA DIAMOND DOLPHINS,23,Jake koki Holtz,,53,3.2,167.4,62,1.2,27,62,43.5,3,14,21.4,5,11,45.5,20,12,32,13,10,4,12,28,46.0,46.4,20.8,78.6,1.5,0.3,12.8,8.4,10.7,13.3,3.2,2.5,15.2,0.18,1.38,-1.45,2.84,3,2,66.7,45,22,48.9,14,3,21.4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTIRI CHIBA,1,Marial Shayok,,20,14.2,284.1,166,8.3,59,131,45.0,26,60,43.3,22,28,78.6,13,31,44,31,13,2,24,27,55.0,57.9,27.0,99.2,11.3,4.1,5.4,12.8,9.1,21.4,2.5,0.7,14.3,0.21,1.3,0.8,0.49,13,10,76.9,58,23,39.7,60,26,43.3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTIRI CHIBA,11,Kei Sugimoto,,60,23.7,1422.5,369,6.2,142,329,43.2,45,130,34.6,40,55,72.7,40,108,148,243,52,5,121,144,50.0,52.2,15.5,77.8,8.3,2.9,3.5,8.8,6.2,26.7,2.0,0.4,25.5,0.17,1.29,-0.3,1.59,56,34,60.7,143,63,44.1,130,45,34.6,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0
