Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
KOSHIGAYA ALPHAS,Jeffrey Parmer,21,Jeffrey Parmer,10,14.9,148.7,41.0,4.1,14.0,45.0,31.1,3.0,19.0,15.8,10.0,11.0,90.9,10.0,14.0,24.0,14.0,11.0,3.0,16.0,20.0,53.6,19.8,0.9,0.3,0.5,31,72.0,7.2,1.6,4,2.0,4,2,41.0,4.9,2,-5.59,-10.13,4.55,3.0,4.3,4.0,2.0,50,22.0,9.0,40.9,19.0,3.0,15.8,0.0,0.0,0.0,0.0,0.0,13.0,6.0,9.0,12.0
ALVARK TOKYO,Michael Ou,35,Michael Ou,10,4.5,45.1,13.0,1.3,6.0,10.0,60,0.0,0.0,0,1.0,2.0,50,2.0,7.0,9.0,0.0,0.0,1.0,0.0,3.0,8.5,10.4,0.3,0.0,0.2,0,13.0,1.3,0.3,0,0,0,0,0,0.0,0,-1.98,-4.85,2.88,3.9,4.3,1.0,1.0,100,9.0,5.0,55.6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0
GUNMA CRANE THUNDERS,Shori Togaeri,12,Shori Togaeri,10,2.8,27.8,5.0,0.5,1.0,10.0,10,0.0,5.0,0,3.0,3.0,100,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,11.8,24.5,0.1,0.0,0.0,3,8.0,0.8,0.2,0,0,0,0,0,0.0,0,-15.86,-17.01,1.16,3.0,4.6,0.0,0.0,0,5.0,1.0,20,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
KOSHIGAYA ALPHAS,Kanta Inada,23,Kanta Inada,10,0.7,6.7,2.0,0.2,1.0,4.0,25,0.0,1.0,0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.8,39.3,0.0,0.0,0.0,2,4.0,0.4,0.1,0,0,0,0,0,0.0,0,-20.66,-17.31,-3.35,3.0,4.0,1.0,0.0,0,2.0,1.0,50,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0
NAGASAKI VELCA,Lucas Tanaka,32,Lucas Tanaka,10,2.3,23.1,2.0,0.2,1.0,4.0,25,0.0,2.0,0,0.0,0.0,0,1.0,4.0,5.0,2.0,1.0,0.0,0.0,3.0,2.9,6.5,0.0,0.0,0.1,5,7.0,0.7,0.1,0,0,0,0,0,0.0,0,-3.1,-9.18,6.07,3.2,4.3,0.0,0.0,0,2.0,1.0,50,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAGA BALLOONERS,Davon Reed,9,Davon Reed,9,22.7,204.4,95.0,10.6,31.0,79.0,39.2,13.0,34.0,38.2,20.0,23.0,87,10.0,28.0,38.0,31.0,6.0,4.0,17.0,11.0,92.3,24.5,2.1,0.7,0.9,71,166.0,18.4,3.7,16,4.0,10,4,68.0,13.8,4,1.73,-2.21,3.93,3.5,2.8,11.0,6.0,54.5,34.0,12.0,35.3,34.0,13.0,38.2,2.0,4.0,0.0,0.0,0.0,17.0,10.0,21.0,19.0
AKITA NORTHERN HAPPINETS,Eijiro Ogawa,13,Eijiro Ogawa,9,16.0,144.4,90.0,10.0,33.0,61.0,54.1,18.0,39.0,46.2,6.0,11.0,54.5,4.0,16.0,20.0,6.0,7.0,1.0,2.0,17.0,61.3,23.2,2.0,0.1,0.5,15,105.0,11.7,2.4,1,0.5,2,2,17.4,2.9,2,6.22,2.19,4.03,3.1,1.7,5.0,5.0,100,17.0,10.0,58.8,39.0,18.0,46.2,1.0,2.0,0.0,0.0,0.0,1.0,12.0,11.0,24.0
CHIBA JETS,Jeff Gibbs,34,Jeff Gibbs,9,16.5,148.3,40.0,4.4,15.0,30.0,50,3.0,5.0,60,7.0,8.0,87.5,12.0,26.0,38.0,12.0,6.0,2.0,12.0,19.0,32.2,11.9,0.8,0.3,0.8,27,67.0,7.4,1.4,0,0,0,0,0,0.0,0,-0.61,-6.24,5.62,3.7,3.8,4.0,2.0,50,21.0,10.0,47.6,5.0,3.0,60,0.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,6.0
OSAKA EVESSA,Cyril Nesmith II,23,Cyril Nesmith II,9,9.2,82.4,28.0,3.1,12.0,22.0,54.5,0.0,0.0,0,4.0,4.0,100,6.0,10.0,16.0,1.0,1.0,3.0,6.0,16.0,22.8,15.0,0.6,0.0,0.4,3,31.0,3.4,0.7,4,2.0,2,0,100.0,3.0,2,-7.34,-9.81,2.47,4.4,4.1,8.0,6.0,75,14.0,6.0,42.9,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,8.0,12.0
AKITA NORTHERN HAPPINETS,Haruki Naito,11,Haruki Naito,9,7.4,66.8,21.0,2.3,7.0,26.0,26.9,1.0,11.0,9.1,6.0,9.0,66.7,0.0,1.0,1.0,11.0,1.0,0.0,5.0,3.0,33.6,27.4,0.5,0.2,0.0,29,50.0,5.6,1.1,0,0,0,0,0,0.0,0,-11.74,-9.69,-2.05,1.8,3.8,5.0,4.0,80,10.0,2.0,20,11.0,1.0,9.1,2.0,0.0,0.0,0.0,0.0,5.0,2.0,6.0,6.0
