# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 466
# Qualified players exported: 338
# Total stints used: 27747
# Garbage time stints excluded: 944
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
SAN-EN NEOPHOENIX,24,Ryusei Sasaki,1057,2.62,-0.77,1.85
NAGOYA DIAMOND DOLPHINS,3,Taketo Kato,1436,0.43,1.38,1.81
IBARAKI ROBOTS,0,Robert Franks,3043,1.73,0.05,1.79
SAN-EN NEOPHOENIX,00,Steve Zack,555,-0.4,2.15,1.75
AKITA NORTHERN HAPPINETS,13,Eijiro Ogawa,253,1.79,-0.04,1.75
SHIMANE SUSANOO MAGIC,77,Yuta Okada,2276,4.72,-2.97,1.75
NAGOYA DIAMOND DOLPHINS,2,Takumi Saito,2968,2.55,-0.81,1.74
SAGA BALLOONERS,25,Taiki Sumida,3129,1.55,0.19,1.74
FIGHTING EAGLES NAGOYA,23,Ryuto Yasuoka,3060,0.34,1.38,1.72
TOYAMA GROUSES,6,Nyika Williams,2462,0.94,0.77,1.71
YOKOHAMA B-CORSAIRS,21,Maik Kotsar,569,-0.08,1.75,1.67
YOKOHAMA B-CORSAIRS,4,Damien Inglis,2853,1.73,-0.06,1.67
KAWASAKI BRAVE THUNDERS,11,Reoto Yonesu,796,0.6,1.02,1.62
SENDAI 89ERS,11,Hirohide Araya,1424,-0.71,2.24,1.54
SENDAI 89ERS,8,Jarrett Culver,3428,2.07,-0.58,1.49
OSAKA EVESSA,7,Kaisei Takahashi,263,-0.77,2.25,1.47
SAN-EN NEOPHOENIX,5,Sota Oura,2571,2.1,-0.63,1.46
SHIMANE SUSANOO MAGIC,21,Yuto Nohmi,2369,-1.7,3.15,1.46
LEVANGA HOKKAIDO,5,Kevin Jones,2782,4.11,-2.74,1.38
ALVARK TOKYO,22,Ryan Rossiter,2268,1.12,0.24,1.36
ALVARK TOKYO,2,Sota Okura,1387,-0.74,2.04,1.3
KAWASAKI BRAVE THUNDERS,14,Dušan Ristić,2536,0.88,0.41,1.29
SAN-EN NEOPHOENIX,4,Darius Days,744,2.12,-0.88,1.24
SEAHORSES MIKAWA,13,Yutaro Suda,1673,1.95,-0.72,1.23
NAGASAKI VELCA,25,Akil Mitchell,1942,0.83,0.35,1.19
UTSUNOMIYA BREX,6,Makoto Hiejima,2724,2.89,-1.73,1.16
SUNROCKERS SHIBUYA,40,Thomas Welsh,1880,-1.39,2.48,1.09
SEAHORSES MIKAWA,1,Thomas Kennedy,1754,0.64,0.43,1.07
SENDAI 89ERS,15,Shota Watanabe,2297,0.64,0.41,1.05
