Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Surrey 89ers,Nedas Cholevinskas,17,Nedas Cholevinskas,35,19.1,667.1,253.0,7.2,78.0,197.0,39.6,41.0,108.0,38,56.0,73.0,76.7,21.0,68.0,89.0,28.0,13.0,2.0,28.0,68.0,226.7,17.7,9.3,1.0,3.3,48,301.0,8.6,11.0,8,0.9,14,4,25.4,17.8,9,-3.82,-4.91,1.08,3.2,4.1,43.0,22.0,51.2,7.0,2.0,28.6,2.0,1.0,50,0.0,0.0,11.0,12.0,0.0,5.0,21.0,27.0,19.0
Cheshire Phoenix,Matthew Zona,24,Matthew Zona,35,13.3,465.8,222.0,6.3,80.0,177.0,45.2,40.0,110.0,36.4,22.0,38.0,57.9,33.0,74.0,107.0,17.0,16.0,17.0,17.0,73.0,170.6,17.7,7.7,0.6,3.7,39,261.0,7.5,9.0,11,2.2,4,2,112.7,4.9,5,0.57,-2.74,3.31,4.5,3.8,43.0,26.0,60.5,2.0,0.0,0,0.0,0.0,0,0.0,0.0,4.0,3.0,1.0,9.0,31.0,5.0,28.0
Manchester Basketball,Matthew Nicholson,34/4,Matthew Nicholson,35,20.7,724.0,204.0,5.8,80.0,127.0,63,0.0,0.0,0,44.0,95.0,46.3,84.0,152.0,236.0,20.0,19.0,47.0,26.0,87.0,106.4,7.4,7.3,0.7,8.5,43,247.0,7.1,8.9,17,1.7,14,7,49.8,19.1,10,0.58,-3.71,4.3,5.0,4.3,103.0,67.0,65,1.0,1.0,100,0.0,0.0,0,0.0,0.0,10.0,3.0,3.0,10.0,50.0,3.0,24.0
Newcastle Eagles,Emmanuel Kanwei,21,Emmanuel Kanwei,35,13.4,469.9,174.0,5.0,66.0,133.0,49.6,4.0,12.0,33.3,38.0,65.0,58.5,34.0,46.0,80.0,22.0,7.0,10.0,27.0,55.0,148.4,15.8,5.8,0.7,2.7,52,226.0,6.5,7.5,5,1.0,3,5,48.1,5.2,5,-4.6,-6.51,1.91,4.1,4.0,70.0,40.0,57.1,14.0,5.0,35.7,0.0,0.0,0,0.0,0.0,3.0,16.0,0.0,8.0,18.0,16.0,13.0
Surrey 89ers,Tayo Ogedengbe,15,Tayo Ogedengbe,35,18.2,636.3,166.0,4.7,55.0,143.0,38.5,25.0,83.0,30.1,31.0,50.0,62,18.0,38.0,56.0,35.0,18.0,4.0,18.0,44.0,158.4,12.9,6.1,1.3,2.1,65,231.0,6.6,8.5,27,2.2,28,9,42.2,35.0,12,-3.44,-5.12,1.68,2.5,4.6,36.0,26.0,72.2,3.0,0.0,0,0.0,0.0,0,0.0,0.0,10.0,4.0,0.0,4.0,9.0,26.0,17.0
B. Braun Sheffield Sharks,Jordan Ratinho,9,Jordan Ratinho,35,25.5,893.8,164.0,4.7,60.0,134.0,44.8,28.0,76.0,36.8,16.0,28.0,57.1,30.0,63.0,93.0,39.0,30.0,7.0,20.0,62.0,130.9,7.7,6.1,1.5,3.5,87,251.0,7.2,9.4,25,2.8,15,4,74.6,19.8,9,-1.47,-5.14,3.67,2.7,4.6,44.0,26.0,59.1,1.0,1.0,100,1.0,0.0,0,0.0,0.0,8.0,6.0,0.0,6.0,16.0,33.0,32.0
Manchester Basketball,Kyle Carey,1,Kyle Carey,35,12.9,452.6,142.0,4.1,56.0,129.0,43.4,26.0,81.0,32.1,4.0,9.0,44.4,3.0,35.0,38.0,16.0,14.0,6.0,14.0,46.0,138.2,15.4,5.1,0.6,1.4,29,171.0,4.9,6.1,3,0.6,6,0,25.0,6.0,5,-2.63,-5.57,2.94,2.7,4.4,29.0,21.0,72.4,2.0,1.0,50,1.0,0.0,0,0.0,0.0,9.0,4.0,0.0,1.0,25.0,47.0,35.0
B. Braun Sheffield Sharks,Rodney Glasgow Jr,11,Rodney Glasgow Jr,35,15.7,550.2,135.0,3.9,54.0,131.0,41.2,17.0,54.0,31.5,10.0,10.0,100,6.0,25.0,31.0,43.0,8.0,2.0,18.0,27.0,141.5,13.5,5.0,1.6,1.2,96,231.0,6.6,8.6,18,3.6,14,2,60.5,15.9,5,-3.93,-5.63,1.7,2.1,4.2,11.0,5.0,45.5,29.0,17.0,58.6,4.0,1.0,25,0.0,0.0,10.0,5.0,0.0,3.0,12.0,16.0,12.0
B. Braun Sheffield Sharks,Mike Ochereobia,15,Mike Ochereobia,35,13.7,480.0,123.0,3.5,50.0,84.0,59.5,0.0,0.0,0,23.0,40.0,57.5,65.0,58.0,123.0,16.0,12.0,4.0,26.0,75.0,60.1,6.6,4.6,0.6,4.6,34,157.0,4.5,5.9,15,1.5,9,5,67.0,15.2,10,-3.69,-6.1,2.41,4.4,4.3,62.0,42.0,67.7,5.0,3.0,60,0.0,0.0,0,0.0,0.0,1.0,10.0,4.0,11.0,46.0,4.0,14.0
Newcastle Eagles,Maceo Jack,14,Maceo Jack,34,30.7,1042.6,515.0,15.1,183.0,385.0,47.5,38.0,115.0,33,111.0,135.0,82.2,25.0,118.0,143.0,67.0,26.0,10.0,53.0,79.0,453.5,21.7,17.1,2.2,4.8,162,677.0,19.9,22.5,64,4.0,46,16,60.3,60.0,16,-1.27,-3.74,2.46,3.2,3.0,105.0,72.0,68.6,65.0,29.0,44.6,7.0,3.0,42.9,0.0,0.0,11.0,34.0,0.0,8.0,43.0,94.0,81.0
Caledonia Gladiators,Matthew Ragsdale,24,Matthew Ragsdale,34,26.9,914.6,490.0,14.4,186.0,436.0,42.7,88.0,263.0,33.5,30.0,36.0,83.3,9.0,59.0,68.0,54.0,19.0,3.0,44.0,39.0,467.4,26.6,18.4,2.0,2.6,111,601.0,17.7,22.6,44,5.5,34,9,58.0,38.0,8,-2.98,-2.25,-0.73,2.4,2.8,48.0,36.0,75,56.0,33.0,58.9,20.0,5.0,25,0.0,0.0,24.0,11.0,0.0,9.0,39.0,94.0,76.0
Manchester Basketball,Jordan Johnson,11,Jordan Johnson,34,21.9,743.1,477.0,14.0,165.0,367.0,45,56.0,150.0,37.3,91.0,118.0,77.1,15.0,67.0,82.0,167.0,28.0,2.0,70.0,46.0,455.0,30.9,17.1,6.0,2.9,371,848.0,24.9,30.4,79,4.6,50,23,65.7,78.1,17,4.02,2.01,2.02,1.2,1.0,100.0,61.0,61,25.0,10.0,40,17.0,7.0,41.2,0.0,0.0,40.0,24.0,0.0,6.0,35.0,56.0,58.0
Caledonia Gladiators,Ethan Wright,40,Ethan Wright,34,25.1,853.2,432.0,12.7,162.0,369.0,43.9,54.0,156.0,34.6,54.0,69.0,78.3,60.0,138.0,198.0,99.0,44.0,13.0,69.0,68.0,392.0,23.9,16.3,3.7,7.5,216,648.0,19.1,24.4,30,3.3,27,6,50.6,34.6,9,0.86,-1.74,2.61,3.5,2.2,130.0,78.0,60,11.0,4.0,36.4,20.0,6.0,30,0.0,0.0,36.0,24.0,0.0,9.0,60.0,103.0,66.0
Cheshire Phoenix,Frankie Policelli,5,Frankie Policelli,34,25.4,862.0,427.0,12.6,139.0,329.0,42.2,93.0,243.0,38.3,56.0,73.0,76.7,34.0,173.0,207.0,36.0,44.0,16.0,44.0,73.0,356.3,20.0,14.8,1.2,7.2,69,496.0,14.6,17.2,25,2.1,20,7,54.2,26.1,12,2.57,-1.3,3.87,3.9,3.6,51.0,33.0,64.7,5.0,2.0,40,8.0,4.0,50,0.0,0.0,14.0,16.0,0.0,14.0,42.0,88.0,84.0
Leicester Riders,Travis Evee,3,Travis Evee,34,27.2,924.4,413.0,12.1,134.0,323.0,41.5,65.0,172.0,37.8,80.0,102.0,78.4,10.0,75.0,85.0,143.0,42.0,2.0,72.0,55.0,412.7,23.4,15.6,5.4,3.2,305,718.0,21.1,27.1,52,3.1,51,18,44.1,64.9,17,0.22,-1.64,1.85,1.4,2.0,86.0,44.0,51.2,16.0,7.0,43.8,12.0,7.0,58.3,0.0,0.0,31.0,26.0,1.0,14.0,44.0,40.0,57.0
Caledonia Gladiators,Charles Jett Speelman,22,Charles Jet Speelman; Charles Jett Speelman,34,23.8,808.4,352.0,10.4,132.0,296.0,44.6,50.0,123.0,40.7,38.0,47.0,80.9,44.0,106.0,150.0,47.0,12.0,2.0,60.0,74.0,319.4,20.5,13.3,1.8,5.6,99,451.0,13.3,17.0,7,2.3,7,2,44.4,9.9,3,-5.15,-4.97,-0.18,3.6,3.2,74.0,45.0,60.8,23.0,10.0,43.5,3.0,2.0,66.7,0.0,0.0,22.0,21.0,0.0,17.0,57.0,20.0,26.0
London Lions,Tarik Phillip,22,Tarik Phillip,34,20.0,681.2,321.0,9.4,106.0,244.0,43.4,31.0,98.0,31.6,78.0,102.0,76.5,23.0,95.0,118.0,123.0,43.0,3.0,59.0,62.0,311.9,25.2,11.3,4.3,4.1,257,578.0,17.0,20.3,36,3.0,21,26,55.5,35.4,12,6.58,-0.97,7.55,2.0,2.0,80.0,50.0,62.5,25.0,9.0,36,15.0,6.0,40,0.0,0.0,33.0,20.0,0.0,6.0,35.0,57.0,67.0
